time,1,2,3,4,5,6,7,8,9,0,csi_channel_0,csi_channel_1,csi_channel_2,csi_channel_3,csi_channel_4,csi_channel_5,csi_channel_6,csi_channel_7,csi_channel_8,csi_channel_9,csi_channel_10,csi_channel_11,csi_channel_12,csi_channel_13,csi_channel_14,csi_channel_15,csi_channel_16,csi_channel_17,csi_channel_18,csi_channel_19,csi_channel_20,csi_channel_21,csi_channel_22,csi_channel_23,csi_channel_24,csi_channel_25,csi_channel_26,csi_channel_27,csi_channel_28,csi_channel_29,csi_channel_30,csi_channel_31,csi_channel_32,csi_channel_33,csi_channel_34,csi_channel_35,csi_channel_36,csi_channel_37,csi_channel_38,csi_channel_39,csi_channel_40,csi_channel_41,csi_channel_42,csi_channel_43,csi_channel_44,csi_channel_45,csi_channel_46,csi_channel_47,csi_channel_48,csi_channel_49,csi_channel_50,csi_channel_51,csi_channel_52,csi_channel_53,csi_channel_54,csi_channel_55,csi_channel_56,csi_channel_57,csi_channel_58,csi_channel_59,csi_channel_60,csi_channel_61,csi_channel_62,csi_channel_63,csi_channel_64,csi_channel_65,csi_channel_66,csi_channel_67,csi_channel_68,csi_channel_69,csi_channel_70,csi_channel_71,csi_channel_72,csi_channel_73,csi_channel_74,csi_channel_75,csi_channel_76,csi_channel_77,csi_channel_78,csi_channel_79,csi_channel_80,csi_channel_81,csi_channel_82,csi_channel_83,csi_channel_84,csi_channel_85,csi_channel_86,csi_channel_87,csi_channel_88,csi_channel_89,csi_channel_90,csi_channel_91,csi_channel_92,csi_channel_93,csi_channel_94,csi_channel_95,csi_channel_96,csi_channel_97,csi_channel_98,csi_channel_99,csi_channel_100,csi_channel_101,csi_channel_102,csi_channel_103,csi_channel_104,csi_channel_105,csi_channel_106,csi_channel_107,csi_channel_108,csi_channel_109,csi_channel_110,csi_channel_111,csi_channel_112,csi_channel_113,csi_channel_114,csi_channel_115,csi_channel_116,csi_channel_117,csi_channel_118,csi_channel_119,csi_channel_120,csi_channel_121,csi_channel_122,csi_channel_123,csi_channel_124,csi_channel_125,csi_channel_126,csi_channel_127,csi_channel_128,csi_channel_129,csi_channel_130,csi_channel_131,csi_channel_132,csi_channel_133,csi_channel_134,csi_channel_135,csi_channel_136,csi_channel_137,csi_channel_138,csi_channel_139,csi_channel_140,csi_channel_141,csi_channel_142,csi_channel_143,csi_channel_144,csi_channel_145,csi_channel_146,csi_channel_147,csi_channel_148,csi_channel_149,csi_channel_150,csi_channel_151,csi_channel_152,csi_channel_153,csi_channel_154,csi_channel_155,csi_channel_156,csi_channel_157,csi_channel_158,csi_channel_159,csi_channel_160,csi_channel_161,csi_channel_162,csi_channel_163,csi_channel_164,csi_channel_165,csi_channel_166,csi_channel_167,csi_channel_168,csi_channel_169,csi_channel_170,csi_channel_171,csi_channel_172,csi_channel_173,csi_channel_174,csi_channel_175,csi_channel_176,csi_channel_177,csi_channel_178,csi_channel_179,csi_channel_180,csi_channel_181,csi_channel_182,csi_channel_183,csi_channel_184,csi_channel_185,csi_channel_186,csi_channel_187,csi_channel_188,csi_channel_189,csi_channel_190,csi_channel_191,csi_channel_192,csi_channel_193,csi_channel_194,csi_channel_195,csi_channel_196,csi_channel_197,csi_channel_198,csi_channel_199,csi_channel_200,csi_channel_201,csi_channel_202,csi_channel_203,csi_channel_204,csi_channel_205,csi_channel_206,csi_channel_207,csi_channel_208,csi_channel_209,csi_channel_210,csi_channel_211,csi_channel_212,csi_channel_213,csi_channel_214,csi_channel_215,csi_channel_216,csi_channel_217,csi_channel_218,csi_channel_219,csi_channel_220,csi_channel_221,csi_channel_222,csi_channel_223,csi_channel_224,csi_channel_225,csi_channel_226,csi_channel_227,csi_channel_228,csi_channel_229,csi_channel_230,csi_channel_231,csi_channel_232,csi_channel_233,csi_channel_234,csi_channel_235,csi_channel_236,csi_channel_237,csi_channel_238,csi_channel_239,csi_channel_240,csi_channel_241,csi_channel_242,csi_channel_243,csi_channel_244,csi_channel_245,csi_channel_246,csi_channel_247,csi_channel_248,csi_channel_249,csi_channel_250,csi_channel_251,csi_channel_252,csi_channel_253,csi_channel_254,csi_channel_255
2023-04-26 14:57:24.000000,,,2.241744,,,,,,,,(91-25j),(265-450j),(321-598j),(312-641j),(313-700j),(213-606j),(218-654j),(154-613j),(93-576j),(55-459j),(-47-404j),(-127-269j),(-222-87j),(-336+36j),(-441+206j),(-498+273j),(-642+461j),(-673+511j),(-706+714j),(-647+719j),(-640+844j),(-501+671j),(-441+683j),(-343+626j),(-265+572j),(-73+369j),(51+254j),(-10+2j),(23+11j),(102+20j),(109+5j),(45+9j),(-2011+0j),(-13312-32640j),(128+0j),(-56-13j),(-21+32j),(5-7j),(-64-732j),(-182-707j),(-201-699j),(-128-675j),(-195-535j),(-136-376j),(-138-222j),(-139-68j),(-106+57j),(-84+213j),(-109+346j),(-98+478j),(-66+593j),(-41+632j),(-12+662j),(-22+724j),(45+653j),(43+588j),(106+548j),(85+449j),(75+376j),(106+248j),(126+88j),(156-35j),(199-140j),(228-295j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:57:24.100000,,0.201465,2.22337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:57:24.200000,,0.202593,2.242227,0.18567,0.19115,,,,,,(-97-6j),(-249+347j),(-115+384j),(52+272j),(159+94j),(148-89j),(81-269j),(-88-389j),(-296-431j),(-499-373j),(-786-214j),(-850-29j),(-750+278j),(-641+481j),(-464+682j),(-204+639j),(37+662j),(203+435j),(343+182j),(237-99j),(34-309j),(-214-333j),(-480-284j),(-719-101j),(-910+185j),(-686+547j),(-540+826j),(18-29j),(-79+124j),(-55+174j),(-9+149j),(-12+42j),(-2011+0j),(-13056-32640j),(128+0j),(-28+28j),(16+12j),(-3+3j),(1+104j),(187+54j),(318-73j),(419-215j),(345-461j),(207-570j),(-1-697j),(-293-662j),(-403-629j),(-570-392j),(-623-291j),(-583-60j),(-470+116j),(-267+203j),(-80+201j),(91+130j),(181-53j),(166-209j),(87-383j),(-31-457j),(-185-546j),(-377-512j),(-545-300j),(-668-137j),(-670-50j),(-625+197j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:57:24.300000,,0.202432,2.234652,0.189377,0.191473,,,,,,(-60-71j),(-431-66j),(-405-45j),(-283+21j),(-167+98j),(-50+165j),(35+269j),(150+335j),(237+439j),(294+517j),(423+636j),(394+705j),(463+633j),(458+652j),(508+660j),(382+530j),(447+498j),(353+343j),(374+173j),(294-14j),(245-233j),(127-348j),(120-546j),(76-699j),(59-894j),(-76-843j),(-118-952j),(-1+47j),(56-119j),(93-162j),(75-128j),(36-26j),(-2011+0j),(-13056-32640j),(128+0j),(27+18j),(17-11j),(3+11j),(65+49j),(169-62j),(273-153j),(421-207j),(482-305j),(570-338j),(557-392j),(544-464j),(630-389j),(557-415j),(593-323j),(509-281j),(421-265j),(279-214j),(156-174j),(14-154j),(-134-100j),(-228-62j),(-359-56j),(-438-90j),(-534-101j),(-595-110j),(-573-42j),(-645-35j),(-635-156j),(-622-113j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:57:24.400000,,0.201304,2.239326,0.189861,0.190667,,,,,,(-78-22j),(-449+225j),(-599+261j),(-630+282j),(-650+313j),(-569+257j),(-618+260j),(-569+276j),(-518+251j),(-410+220j),(-316+258j),(-185+253j),(-5+246j),(144+289j),(330+357j),(383+372j),(593+482j),(624+540j),(814+550j),(774+527j),(880+531j),(685+468j),(696+440j),(629+378j),(581+313j),(392+111j),(294-13j),(-1+3j),(26-19j),(52-82j),(47-95j),(36-39j),(-2011+0j),(-13312-32640j),(128+0j),(54-38j),(-12-44j),(8-3j),(515+537j),(577+474j),(536+507j),(443+546j),(398+409j),(286+277j),(226+163j),(151+29j),(84-81j),(30-208j),(28-352j),(10-462j),(-3-577j),(-7-613j),(-7-662j),(2-703j),(-39-641j),(-12-564j),(-15-547j),(29-446j),(16-381j),(-26-268j),(-97-134j),(-162-31j),(-239+31j),(-331+138j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:57:24.500000,,0.201949,2.237553,0.190344,0.191311,1.336762,,,,,(72+39j),(404-301j),(358-560j),(135-684j),(-146-721j),(-340-521j),(-549-410j),(-617-160j),(-561+119j),(-378+267j),(-153+378j),(69+295j),(234+75j),(271-167j),(170-456j),(-55-543j),(-413-642j),(-667-507j),(-971-147j),(-907+222j),(-804+646j),(-361+707j),(-118+813j),(191+706j),(413+502j),(381+110j),(248-129j),(3+3j),(-16-26j),(-89-63j),(-112-8j),(-47+1j),(-2011+0j),(-13056-32640j),(128+0j),(12+58j),(36-6j),(5+0j),(-38+752j),(324+672j),(521+535j),(597+369j),(575+51j),(398-116j),(180-205j),(-33-156j),(-110+5j),(-103+188j),(-47+356j),(140+458j),(388+451j),(549+295j),(668+82j),(686-178j),(498-431j),(283-495j),(64-556j),(-103-496j),(-206-311j),(-240-120j),(-133+82j),(5+160j),(168+171j),(359+48j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:57:24.600000,,0.200498,2.238198,0.186154,0.190828,1.341436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:57:24.700000,,0.203077,2.239165,0.191311,0.191634,1.334666,,1.954374,,,(-76-67j),(-424+2j),(-406+29j),(-258+81j),(-129+146j),(-2+181j),(112+280j),(249+311j),(356+416j),(421+477j),(574+591j),(549+648j),(597+547j),(600+557j),(636+554j),(490+437j),(526+387j),(417+248j),(370+59j),(258-112j),(155-319j),(47-414j),(-40-596j),(-123-753j),(-188-936j),(-300-835j),(-366-927j),(13+43j),(29-142j),(42-183j),(36-149j),(31-27j),(-2011+0j),(-13056-32640j),(128+0j),(27+26j),(13-16j),(2+9j),(53+30j),(161-70j),(272-170j),(436-220j),(496-335j),(531-338j),(581-426j),(556-506j),(652-439j),(567-472j),(615-370j),(503-323j),(416-308j),(264-248j),(125-198j),(-12-150j),(-166-101j),(-262-55j),(-399-27j),(-493-31j),(-590-52j),(-638-49j),(-625+31j),(-687+29j),(-681-79j),(-655-42j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:57:24.800000,,0.201626,2.23433,0.186315,0.191634,1.335473,,1.951634,,,(89+50j),(201-387j),(-201-339j),(-256+33j),(25+184j),(171-46j),(-2-305j),(-385-154j),(-450+323j),(9+676j),(749+437j),(833-314j),(122-811j),(-580-587j),(-843+153j),(-293+621j),(369+548j),(473-12j),(78-367j),(-261-60j),(-31+344j),(401+135j),(440-399j),(-167-735j),(-898-329j),(-667+646j),(168+1018j),(-40-18j),(145+19j),(130-138j),(-15-164j),(-15-41j),(-2011+0j),(-13056-32640j),(128+0j),(42-9j),(-13-20j),(-3-7j),(-52-7j),(68+162j),(332+21j),(343-350j),(-166-579j),(-618-220j),(-597+430j),(75+757j),(635+497j),(670-270j),(261-684j),(-358-500j),(-500+34j),(-156+321j),(147+175j),(123-114j),(-167-90j),(-185+209j),(150+385j),(455+135j),(467-350j),(-16-644j),(-570-279j),(-592+341j),(-180+653j),(454+512j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:57:24.900000,,0.202432,2.236264,0.1897,0.19115,1.334345,,1.951795,,,(-78-23j),(-466+288j),(-590+391j),(-598+451j),(-592+540j),(-451+473j),(-468+533j),(-406+460j),(-281+515j),(-174+435j),(-47+392j),(70+263j),(202+86j),(319-39j),(463-221j),(493-316j),(631-539j),(685-595j),(628-850j),(539-844j),(465-1002j),(334-786j),(276-811j),(173-735j),(91-656j),(-67-386j),(-142-212j),(10-4j),(-30+0j),(-90+32j),(-104+56j),(-43+15j),(-2011+0j),(-13056-32640j),(128+0j),(-19+59j),(35+20j),0j,(-783+112j),(-731+255j),(-719+230j),(-686+173j),(-536+219j),(-370+214j),(-218+168j),(-50+119j),(79+42j),(212-45j),(366-86j),(470-166j),(563-245j),(566-302j),(588-354j),(623-437j),(508-461j),(444-431j),(367-430j),(286-376j),(226-296j),(106-231j),(-47-141j),(-141-45j),(-248+19j),(-355+146j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
