time,1,2,3,4,5,6,7,8,9,0,csi_channel_0,csi_channel_1,csi_channel_2,csi_channel_3,csi_channel_4,csi_channel_5,csi_channel_6,csi_channel_7,csi_channel_8,csi_channel_9,csi_channel_10,csi_channel_11,csi_channel_12,csi_channel_13,csi_channel_14,csi_channel_15,csi_channel_16,csi_channel_17,csi_channel_18,csi_channel_19,csi_channel_20,csi_channel_21,csi_channel_22,csi_channel_23,csi_channel_24,csi_channel_25,csi_channel_26,csi_channel_27,csi_channel_28,csi_channel_29,csi_channel_30,csi_channel_31,csi_channel_32,csi_channel_33,csi_channel_34,csi_channel_35,csi_channel_36,csi_channel_37,csi_channel_38,csi_channel_39,csi_channel_40,csi_channel_41,csi_channel_42,csi_channel_43,csi_channel_44,csi_channel_45,csi_channel_46,csi_channel_47,csi_channel_48,csi_channel_49,csi_channel_50,csi_channel_51,csi_channel_52,csi_channel_53,csi_channel_54,csi_channel_55,csi_channel_56,csi_channel_57,csi_channel_58,csi_channel_59,csi_channel_60,csi_channel_61,csi_channel_62,csi_channel_63,csi_channel_64,csi_channel_65,csi_channel_66,csi_channel_67,csi_channel_68,csi_channel_69,csi_channel_70,csi_channel_71,csi_channel_72,csi_channel_73,csi_channel_74,csi_channel_75,csi_channel_76,csi_channel_77,csi_channel_78,csi_channel_79,csi_channel_80,csi_channel_81,csi_channel_82,csi_channel_83,csi_channel_84,csi_channel_85,csi_channel_86,csi_channel_87,csi_channel_88,csi_channel_89,csi_channel_90,csi_channel_91,csi_channel_92,csi_channel_93,csi_channel_94,csi_channel_95,csi_channel_96,csi_channel_97,csi_channel_98,csi_channel_99,csi_channel_100,csi_channel_101,csi_channel_102,csi_channel_103,csi_channel_104,csi_channel_105,csi_channel_106,csi_channel_107,csi_channel_108,csi_channel_109,csi_channel_110,csi_channel_111,csi_channel_112,csi_channel_113,csi_channel_114,csi_channel_115,csi_channel_116,csi_channel_117,csi_channel_118,csi_channel_119,csi_channel_120,csi_channel_121,csi_channel_122,csi_channel_123,csi_channel_124,csi_channel_125,csi_channel_126,csi_channel_127,csi_channel_128,csi_channel_129,csi_channel_130,csi_channel_131,csi_channel_132,csi_channel_133,csi_channel_134,csi_channel_135,csi_channel_136,csi_channel_137,csi_channel_138,csi_channel_139,csi_channel_140,csi_channel_141,csi_channel_142,csi_channel_143,csi_channel_144,csi_channel_145,csi_channel_146,csi_channel_147,csi_channel_148,csi_channel_149,csi_channel_150,csi_channel_151,csi_channel_152,csi_channel_153,csi_channel_154,csi_channel_155,csi_channel_156,csi_channel_157,csi_channel_158,csi_channel_159,csi_channel_160,csi_channel_161,csi_channel_162,csi_channel_163,csi_channel_164,csi_channel_165,csi_channel_166,csi_channel_167,csi_channel_168,csi_channel_169,csi_channel_170,csi_channel_171,csi_channel_172,csi_channel_173,csi_channel_174,csi_channel_175,csi_channel_176,csi_channel_177,csi_channel_178,csi_channel_179,csi_channel_180,csi_channel_181,csi_channel_182,csi_channel_183,csi_channel_184,csi_channel_185,csi_channel_186,csi_channel_187,csi_channel_188,csi_channel_189,csi_channel_190,csi_channel_191,csi_channel_192,csi_channel_193,csi_channel_194,csi_channel_195,csi_channel_196,csi_channel_197,csi_channel_198,csi_channel_199,csi_channel_200,csi_channel_201,csi_channel_202,csi_channel_203,csi_channel_204,csi_channel_205,csi_channel_206,csi_channel_207,csi_channel_208,csi_channel_209,csi_channel_210,csi_channel_211,csi_channel_212,csi_channel_213,csi_channel_214,csi_channel_215,csi_channel_216,csi_channel_217,csi_channel_218,csi_channel_219,csi_channel_220,csi_channel_221,csi_channel_222,csi_channel_223,csi_channel_224,csi_channel_225,csi_channel_226,csi_channel_227,csi_channel_228,csi_channel_229,csi_channel_230,csi_channel_231,csi_channel_232,csi_channel_233,csi_channel_234,csi_channel_235,csi_channel_236,csi_channel_237,csi_channel_238,csi_channel_239,csi_channel_240,csi_channel_241,csi_channel_242,csi_channel_243,csi_channel_244,csi_channel_245,csi_channel_246,csi_channel_247,csi_channel_248,csi_channel_249,csi_channel_250,csi_channel_251,csi_channel_252,csi_channel_253,csi_channel_254,csi_channel_255
2023-04-26 15:35:39.000000,,,,0.25707,,,1.889905,,,2.765714,(10-33j),(-199-293j),(-436-369j),(-728-208j),(-945+195j),(-717+577j),(-464+1021j),(116+1137j),(713+1004j),(1055+564j),(1287-50j),(1018-471j),(492-762j),(86-734j),(-172-536j),(-139-259j),(-24-218j),(123-276j),(10-597j),(-263-696j),(-815-626j),(-969-174j),(-1095+321j),(-867+879j),(-381+1293j),(386+1045j),(842+707j),(-32-18j),(113+28j),(121-27j),(68-28j),(19+9j),(-2011+0j),(-12544-32640j),(128+0j),(66+36j),(16-49j),(-2-11j),(1175+109j),(1067-655j),(692-1103j),(208-1299j),(-493-1064j),(-774-568j),(-782-66j),(-521+265j),(-315+238j),(-139+154j),(-210-4j),(-380-16j),(-571+147j),(-565+475j),(-355+826j),(96+1062j),(684+854j),(972+440j),(1138-73j),(1037-528j),(623-855j),(134-914j),(-280-639j),(-469-408j),(-387-231j),(-259-117j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:35:39.100000,,,,0.265934,,,1.87282,,,2.775546,(-74-161j),(-842-474j),(-864-520j),(-711-463j),(-630-419j),(-364-266j),(-246-243j),(-35-181j),(131-107j),(326+1j),(591+65j),(726+212j),(824+145j),(939+228j),(1105+301j),(1044+354j),(1216+405j),(1054+435j),(1128+335j),(893+278j),(841+240j),(499+184j),(347+164j),(149+117j),(-66+75j),(-260+42j),(-468+30j),(33+4j),(-82-44j),(-134-117j),(-135-115j),(-32-57j),(-2011+0j),(-12800-32640j),(128+0j),(-54+62j),(24+40j),(-11+4j),(-300-190j),(-129-52j),(83+45j),(282+182j),(498+224j),(632+309j),(790+345j),(927+293j),(1007+455j),(1018+323j),(1043+553j),(959+497j),(867+422j),(705+350j),(542+311j),(440+271j),(248+151j),(61+109j),(-137+20j),(-298-46j),(-454-142j),(-595-214j),(-700-216j),(-870-230j),(-898-442j),(-1019-475j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:35:39.200000,,,,0.248689,,,1.856381,,,2.785699,(183+71j),(719-740j),(389-1083j),(-92-969j),(-404-706j),(-428-301j),(-386-106j),(-206-87j),(-92-130j),(-117-349j),(-415-503j),(-668-477j),(-906-99j),(-1040+306j),(-942+837j),(-502+1084j),(43+1370j),(524+1169j),(1046+721j),(1021+152j),(910-320j),(500-402j),(184-440j),(5-252j),(52-56j),(264-20j),(442-172j),(-20+13j),(91-70j),(117-152j),(44-184j),(20-61j),(-2011+0j),(-12544-32640j),(128+0j),(45-66j),(-43-27j),(5-18j),(214-265j),(3-108j),(18+118j),(221+317j),(583+223j),(776-108j),(755-540j),(397-977j),(57-1183j),(-580-1064j),(-921-850j),(-1128-330j),(-1101+196j),(-732+536j),(-344+625j),(-29+545j),(111+275j),(34+101j),(-134+50j),(-329+178j),(-363+415j),(-204+701j),(236+806j),(681+779j),(957+616j),(1222+64j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:35:39.300000,,,,0.263194,,,1.865245,,,2.79392,(50+0j),(363-181j),(624-223j),(780-214j),(1020-238j),(908-181j),(1119-142j),(1199-103j),(1203-102j),(1174-15j),(1274-8j),(1058+133j),(822+106j),(650+167j),(458+185j),(172+177j),(-82+205j),(-328+168j),(-611+207j),(-771+164j),(-1052+220j),(-1074+185j),(-1143+101j),(-1236+79j),(-1334+15j),(-1103+113j),(-1073+90j),(29+11j),(-100-70j),(-90-80j),(-48-57j),(14-15j),(-2011+0j),(-12544-32640j),(128+0j),(1-82j),(-57-24j),(4-17j),(1115-428j),(1073-570j),(1115-543j),(1136-382j),(993-439j),(748-341j),(625-297j),(417-243j),(258-84j),(35+15j),(-189+95j),(-407+180j),(-594+246j),(-732+271j),(-864+304j),(-1071+353j),(-1023+390j),(-1042+356j),(-1024+327j),(-988+145j),(-963+105j),(-825+57j),(-631+72j),(-494-6j),(-292-137j),(-77-174j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:35:39.400000,,,,0.265128,,,1.833817,,,2.790051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:35:39.500000,,,2.583429,0.270769,,,1.826725,,,2.809392,(-6-34j),(-288-222j),(-448-355j),(-594-388j),(-799-353j),(-787-208j),(-987-131j),(-1026+67j),(-1024+233j),(-955+283j),(-946+497j),(-796+456j),(-510+504j),(-376+428j),(-266+313j),(-227+139j),(-250-31j),(-262-251j),(-469-344j),(-570-389j),(-849-376j),(-766-224j),(-1020-171j),(-1123+1j),(-1186+165j),(-912+382j),(-811+512j),(22-9j),(-105+34j),(-101+31j),(-63+23j),(-10-17j),(-2011+0j),(-12800-32640j),(128+0j),(-47+46j),(32+40j),(5+5j),(-957+186j),(-877+480j),(-846+667j),(-762+703j),(-494+801j),(-245+601j),(-97+551j),(18+391j),(-15+222j),(-20+55j),(-148-110j),(-276-226j),(-456-282j),(-589-251j),(-743-180j),(-893-86j),(-857+127j),(-821+243j),(-790+422j),(-729+460j),(-629+494j),(-473+501j),(-279+420j),(-179+372j),(-180+198j),(-191+53j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:35:39.600000,,2.084601,2.581333,0.276733,,,1.814799,,,2.816161,(68+162j),(761+515j),(739+689j),(564+669j),(415+628j),(209+468j),(71+424j),(-71+286j),(-216+141j),(-349-82j),(-489-291j),(-464-537j),(-466-619j),(-422-818j),(-380-1004j),(-244-989j),(-185-1176j),(18-1092j),(-4-1119j),(83-891j),(127-842j),(195-536j),(203-390j),(185-197j),(160+27j),(100+235j),(23+419j),(11-21j),(-65+71j),(-149+75j),(-146+58j),(-57-17j),(-2011+0j),(-12800-32640j),(128+0j),(-65-32j),(-28+34j),(-8-11j),(231-212j),(157-12j),(70+216j),(-123+428j),(-223+604j),(-363+670j),(-450+796j),(-507+888j),(-767+832j),(-769+817j),(-974+644j),(-960+508j),(-935+359j),(-797+205j),(-656+60j),(-514-36j),(-302-113j),(-115-195j),(81-229j),(295-232j),(491-179j),(646-107j),(741-90j),(899+10j),(960+291j),(1018+347j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:35:39.700000,,2.085084,2.573114,0.278183,,3.223443,1.804322,,,2.820835,(-131+153j),(-51+1043j),(-35+1107j),(-32+946j),(-51+842j),(-24+525j),(-97+416j),(-181+221j),(-282+38j),(-345-159j),(-571-360j),(-619-570j),(-770-550j),(-853-685j),(-995-795j),(-934-830j),(-1121-894j),(-982-840j),(-1105-740j),(-914-579j),(-883-493j),(-531-356j),(-381-280j),(-184-209j),(42-174j),(224-153j),(450-177j),(-33-2j),(109+20j),(177+71j),(175+72j),(52+52j),(-2011+0j),(-12544-32640j),(128+0j),(-2+78j),(43+18j),(-6+14j),(-307+45j),(-84-13j),(133-112j),(373-210j),(522-392j),(608-413j),(695-634j),(679-804j),(840-814j),(670-950j),(859-868j),(744-836j),(617-798j),(484-643j),(400-491j),(359-373j),(227-179j),(169+19j),(105+213j),(64+391j),(-2+583j),(-19+724j),(38+827j),(106+1001j),(-69+1102j),(-29+1204j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:35:39.800000,,2.089113,2.565377,0.278667,1.110315,3.214095,1.807062,2.703663,,2.82841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:35:39.900000,,2.097817,2.55893,0.27641,1.220234,3.211355,1.787238,2.724454,,2.829861,(5+40j),(296+199j),(543+229j),(753+72j),(916-219j),(710-520j),(593-883j),(202-1051j),(-231-1140j),(-552-1024j),(-965-782j),(-991-418j),(-817+38j),(-637+220j),(-417+283j),(-220+179j),(-210+43j),(-323-109j),(-575-50j),(-708+115j),(-826+539j),(-581+773j),(-297+1053j),(112+1149j),(549+1138j),(868+639j),(1028+243j),(-33-14j),(111+2j),(108-22j),(62-32j),(20+10j),(-2011+0j),(-12544-32640j),(128+0j),(71-36j),(-14-43j),(-12-7j),(1014-555j),(620-1043j),(153-1200j),(-164-1190j),(-627-850j),(-682-401j),(-682-131j),(-484+128j),(-312+101j),(-115+27j),(-115-165j),(-238-317j),(-479-356j),(-688-211j),(-860+67j),(-937+404j),(-670+790j),(-365+942j),(59+1018j),(330+871j),(571+720j),(689+416j),(634+94j),(500-84j),(371-45j),(273-22j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
