time,1,2,3,4,5,6,7,8,9,0,csi_channel_0,csi_channel_1,csi_channel_2,csi_channel_3,csi_channel_4,csi_channel_5,csi_channel_6,csi_channel_7,csi_channel_8,csi_channel_9,csi_channel_10,csi_channel_11,csi_channel_12,csi_channel_13,csi_channel_14,csi_channel_15,csi_channel_16,csi_channel_17,csi_channel_18,csi_channel_19,csi_channel_20,csi_channel_21,csi_channel_22,csi_channel_23,csi_channel_24,csi_channel_25,csi_channel_26,csi_channel_27,csi_channel_28,csi_channel_29,csi_channel_30,csi_channel_31,csi_channel_32,csi_channel_33,csi_channel_34,csi_channel_35,csi_channel_36,csi_channel_37,csi_channel_38,csi_channel_39,csi_channel_40,csi_channel_41,csi_channel_42,csi_channel_43,csi_channel_44,csi_channel_45,csi_channel_46,csi_channel_47,csi_channel_48,csi_channel_49,csi_channel_50,csi_channel_51,csi_channel_52,csi_channel_53,csi_channel_54,csi_channel_55,csi_channel_56,csi_channel_57,csi_channel_58,csi_channel_59,csi_channel_60,csi_channel_61,csi_channel_62,csi_channel_63,csi_channel_64,csi_channel_65,csi_channel_66,csi_channel_67,csi_channel_68,csi_channel_69,csi_channel_70,csi_channel_71,csi_channel_72,csi_channel_73,csi_channel_74,csi_channel_75,csi_channel_76,csi_channel_77,csi_channel_78,csi_channel_79,csi_channel_80,csi_channel_81,csi_channel_82,csi_channel_83,csi_channel_84,csi_channel_85,csi_channel_86,csi_channel_87,csi_channel_88,csi_channel_89,csi_channel_90,csi_channel_91,csi_channel_92,csi_channel_93,csi_channel_94,csi_channel_95,csi_channel_96,csi_channel_97,csi_channel_98,csi_channel_99,csi_channel_100,csi_channel_101,csi_channel_102,csi_channel_103,csi_channel_104,csi_channel_105,csi_channel_106,csi_channel_107,csi_channel_108,csi_channel_109,csi_channel_110,csi_channel_111,csi_channel_112,csi_channel_113,csi_channel_114,csi_channel_115,csi_channel_116,csi_channel_117,csi_channel_118,csi_channel_119,csi_channel_120,csi_channel_121,csi_channel_122,csi_channel_123,csi_channel_124,csi_channel_125,csi_channel_126,csi_channel_127,csi_channel_128,csi_channel_129,csi_channel_130,csi_channel_131,csi_channel_132,csi_channel_133,csi_channel_134,csi_channel_135,csi_channel_136,csi_channel_137,csi_channel_138,csi_channel_139,csi_channel_140,csi_channel_141,csi_channel_142,csi_channel_143,csi_channel_144,csi_channel_145,csi_channel_146,csi_channel_147,csi_channel_148,csi_channel_149,csi_channel_150,csi_channel_151,csi_channel_152,csi_channel_153,csi_channel_154,csi_channel_155,csi_channel_156,csi_channel_157,csi_channel_158,csi_channel_159,csi_channel_160,csi_channel_161,csi_channel_162,csi_channel_163,csi_channel_164,csi_channel_165,csi_channel_166,csi_channel_167,csi_channel_168,csi_channel_169,csi_channel_170,csi_channel_171,csi_channel_172,csi_channel_173,csi_channel_174,csi_channel_175,csi_channel_176,csi_channel_177,csi_channel_178,csi_channel_179,csi_channel_180,csi_channel_181,csi_channel_182,csi_channel_183,csi_channel_184,csi_channel_185,csi_channel_186,csi_channel_187,csi_channel_188,csi_channel_189,csi_channel_190,csi_channel_191,csi_channel_192,csi_channel_193,csi_channel_194,csi_channel_195,csi_channel_196,csi_channel_197,csi_channel_198,csi_channel_199,csi_channel_200,csi_channel_201,csi_channel_202,csi_channel_203,csi_channel_204,csi_channel_205,csi_channel_206,csi_channel_207,csi_channel_208,csi_channel_209,csi_channel_210,csi_channel_211,csi_channel_212,csi_channel_213,csi_channel_214,csi_channel_215,csi_channel_216,csi_channel_217,csi_channel_218,csi_channel_219,csi_channel_220,csi_channel_221,csi_channel_222,csi_channel_223,csi_channel_224,csi_channel_225,csi_channel_226,csi_channel_227,csi_channel_228,csi_channel_229,csi_channel_230,csi_channel_231,csi_channel_232,csi_channel_233,csi_channel_234,csi_channel_235,csi_channel_236,csi_channel_237,csi_channel_238,csi_channel_239,csi_channel_240,csi_channel_241,csi_channel_242,csi_channel_243,csi_channel_244,csi_channel_245,csi_channel_246,csi_channel_247,csi_channel_248,csi_channel_249,csi_channel_250,csi_channel_251,csi_channel_252,csi_channel_253,csi_channel_254,csi_channel_255
2023-04-26 15:26:00.000000,,,,,2.487048,1.95663,,,,,(5+116j),(325+396j),(257+338j),(121+200j),(11+57j),(-86-80j),(-189-239j),(-279-394j),(-379-528j),(-403-689j),(-546-899j),(-457-987j),(-514-870j),(-477-916j),(-486-955j),(-342-828j),(-365-800j),(-236-575j),(-224-407j),(-134-155j),(-44+84j),(31+295j),(122+497j),(202+723j),(270+971j),(393+961j),(461+1086j),(-4-55j),(-36+174j),(-62+237j),(-62+183j),(-51+31j),(-2011+0j),(-12800-32640j),(128+0j),(29-35j),(-10-14j),(15-2j),(-82+30j),(-272-31j),(-453-111j),(-599-260j),(-764-250j),(-762-294j),(-871-285j),(-922-226j),(-908-383j),(-846-241j),(-753-398j),(-619-324j),(-461-216j),(-274-135j),(-90-55j),(65+19j),(240+90j),(354+158j),(511+230j),(531+350j),(646+429j),(668+481j),(686+443j),(719+463j),(592+593j),(581+577j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:26:00.100000,,,,,2.52041,1.911985,,,,,(4-117j),(-304-438j),(-248-395j),(-125-224j),(-12-75j),(79+71j),(181+235j),(260+432j),(381+538j),(424+694j),(592+928j),(502+1014j),(555+895j),(532+929j),(556+937j),(442+850j),(445+787j),(301+601j),(285+400j),(181+146j),(58-81j),(-78-264j),(-170-478j),(-291-715j),(-411-943j),(-550-892j),(-638-1004j),(9+38j),(-11-187j),(11-241j),(30-191j),(46-45j),(-2011+0j),(-12800-32640j),(128+0j),(-34+27j),20j,(-10-10j),(83-11j),(239+92j),(419+220j),(519+399j),(668+431j),(748+460j),(779+507j),(856+444j),(799+582j),(774+448j),(663+554j),(535+448j),(404+314j),(232+193j),(80+86j),(-47-21j),(-208-115j),(-345-214j),(-471-309j),(-522-421j),(-570-538j),(-605-562j),(-650-539j),(-674-567j),(-549-668j),(-544-651j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:26:00.200000,0.132322,,2.395663,,2.562799,1.867824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:26:00.300000,0.165363,,2.404366,,2.594388,1.830432,,,,,(-104-39j),(-660+242j),(-859+333j),(-871+381j),(-932+438j),(-727+422j),(-805+461j),(-713+435j),(-603+454j),(-491+341j),(-374+317j),(-192+167j),(-8+29j),(160-122j),(345-310j),(453-421j),(620-674j),(696-773j),(694-1024j),(641-1045j),(591-1253j),(523-962j),(377-1069j),(262-1010j),(179-913j),(18-589j),(-50-391j),(3-6j),(-5-2j),(-65+52j),(-79+86j),(-40+39j),(-2011+0j),(-12800-32640j),(128+0j),(-76+29j),(5+48j),(-6-3j),(-622-713j),(-699-578j),(-722-556j),(-599-545j),(-528-381j),(-316-247j),(-160-139j),(20-48j),(214+15j),(382+34j),(583+144j),(735+160j),(863+123j),(889+89j),(917+63j),(976+52j),(861-56j),(752-45j),(666-110j),(559-84j),(413-5j),(247+13j),(45+47j),(-98+102j),(-297+132j),(-465+201j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:26:00.400000,0.157465,,2.409685,,2.546198,1.78063,,,,,(69+98j),(532+44j),(439-71j),(227-92j),(55-2j),(-38+122j),(-48+334j),(65+489j),(281+626j),(489+686j),(885+662j),(1022+496j),(1057+45j),(1059-220j),(963-535j),(694-602j),(457-781j),(154-625j),(-85-465j),(-138-156j),(-29+112j),(190+258j),(489+258j),(799+115j),(1051-162j),(913-570j),(784-949j),(-29+43j),(110-136j),(112-218j),(30-186j),(28-45j),(-2011+0j),(-12800-32640j),(128+0j),(22+27j),(18-5j),(6+9j),(-84-109j),(-221-228j),(-405-319j),(-628-346j),(-850-116j),(-870+64j),(-873+411j),(-661+725j),(-579+825j),(-165+898j),(-86+858j),(136+672j),(265+442j),(217+210j),(80+64j),(-110+22j),(-270+96j),(-363+231j),(-408+433j),(-379+559j),(-249+781j),(-38+872j),(260+807j),(519+738j),(570+677j),(704+466j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:26:00.500000,0.165685,,2.415326,,2.649026,1.737436,,,,,(-31+108j),(442+274j),(436-36j),(174-158j),(38-30j),(97+92j),(324+78j),(442-215j),(272-630j),(-198-815j),(-927-607j),(-1131+35j),(-740+769j),(-113+1079j),(625+922j),(851+301j),(804-340j),(310-562j),(-163-429j),(-196-45j),(98+69j),(276-153j),(161-546j),(-380-722j),(-1006-388j),(-930+498j),(-436+1145j),(-14-49j),(83+163j),(204+113j),(196-27j),(62-11j),(-2011+0j),(-12800-32640j),(128+0j),(17+39j),(16-15j),(12+0j),(-129-2j),(-266+167j),(-201+487j),(121+708j),(698+504j),(789-21j),(693-699j),(-28-992j),(-542-852j),(-891-193j),(-809+300j),(-341+609j),(82+502j),(217+204j),(102+31j),(-64+88j),286j,(275+333j),(579+136j),(684-279j),(430-698j),(-97-871j),(-664-526j),(-911+36j),(-761+445j),(-236+806j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:26:00.600000,0.142315,1.1743,2.425802,,2.665626,1.695692,,,,0.191956,(31-108j),(-407-314j),(-454-57j),(-226+96j),(-51+20j),(1-120j),(-163-289j),(-472-268j),(-692+30j),(-731+390j),(-505+976j),(-17+1129j),(652+850j),(984+418j),(1089-142j),(761-517j),(333-816j),(-103-630j),(-343-300j),(-199+26j),(102+68j),(260-140j),(214-526j),(-193-794j),(-773-749j),(-1061-119j),(-1088+547j),(26-34j),(-100+149j),(-23+242j),(79+185j),(19+61j),(-2011+0j),(-12800-32640j),(128+0j),(33+0j),(-9-25j),(5-10j),(-69+114j),(-88+308j),(86+509j),(375+603j),(808+304j),(880-97j),(735-645j),(201-967j),(-184-988j),(-721-595j),(-821-282j),(-678+151j),(-373+386j),(-78+306j),(19+115j),(-90-35j),(-276+14j),(-359+231j),(-291+522j),(21+739j),(343+746j),(723+505j),(842-8j),(764-513j),(520-710j),(76-846j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:26:00.700000,0.170198,1.201216,2.435473,,2.691414,1.658139,,,,0.195179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:26:00.800000,0.170359,1.235062,2.443048,,2.708337,1.623004,,,,0.19663,(-69+90j),(54+713j),(32+917j),(25+982j),(3+1010j),(16+862j),(-31+920j),(-2+742j),(-17+747j),(-59+575j),(-37+468j),(-20+236j),(19+14j),(56-199j),(121-457j),(192-578j),(277-887j),(348-953j),(340-1205j),(338-1172j),(313-1345j),(272-1162j),(256-1082j),(206-981j),(192-895j),(53-582j),(-5-380j),(-3-5j),(-4+1j),(-75+37j),(-97+51j),(-61+15j),(-2011+0j),(-12800-32640j),(128+0j),(73-13j),(17-53j),(4-13j),(314+903j),(409+843j),(388+820j),(235+796j),(238+599j),(106+391j),(35+205j),(-50+20j),(-156-176j),(-236-315j),(-249-555j),(-291-705j),(-350-822j),(-348-848j),(-337-889j),(-322-930j),(-350-820j),(-244-712j),(-257-663j),(-99-550j),(-46-414j),-248j,(43-53j),(95+103j),(92+303j),(121+501j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:26:00.900000,0.172293,1.26778,2.463194,3.273407,2.720586,1.584,2.436117,,,0.198725,(22+120j),(721+66j),(796-438j),(442-854j),(-102-1000j),(-565-625j),(-880-216j),(-709+315j),(-402+618j),(-25+580j),(250+381j),(223+85j),(5-13j),(-160+128j),(-118+468j),(188+574j),(743+545j),(1007+56j),(987-746j),(376-1143j),(-475-1280j),(-967-693j),(-1106+23j),(-793+613j),(-285+863j),(230+536j),(342+165j),(5-13j),(-2-9j),(-84+21j),(-55+98j),(-7+54j),(-2011+0j),(-12800-32640j),(128+0j),(-19-75j),(-54+21j),(-5-2j),(-644-712j),(-933-96j),(-776+441j),(-443+694j),(72+633j),(230+323j),(191+86j),(20+51j),(-43+218j),(118+378j),(395+472j),(730+200j),(831-312j),(516-759j),(6-947j),(-557-819j),(-845-270j),(-715+195j),(-413+545j),(-96+541j),(143+379j),(175+155j),(42+53j),(-47+131j),(-65+314j),(204+483j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
