time,1,2,3,4,5,6,7,8,9,0,csi_channel_0,csi_channel_1,csi_channel_2,csi_channel_3,csi_channel_4,csi_channel_5,csi_channel_6,csi_channel_7,csi_channel_8,csi_channel_9,csi_channel_10,csi_channel_11,csi_channel_12,csi_channel_13,csi_channel_14,csi_channel_15,csi_channel_16,csi_channel_17,csi_channel_18,csi_channel_19,csi_channel_20,csi_channel_21,csi_channel_22,csi_channel_23,csi_channel_24,csi_channel_25,csi_channel_26,csi_channel_27,csi_channel_28,csi_channel_29,csi_channel_30,csi_channel_31,csi_channel_32,csi_channel_33,csi_channel_34,csi_channel_35,csi_channel_36,csi_channel_37,csi_channel_38,csi_channel_39,csi_channel_40,csi_channel_41,csi_channel_42,csi_channel_43,csi_channel_44,csi_channel_45,csi_channel_46,csi_channel_47,csi_channel_48,csi_channel_49,csi_channel_50,csi_channel_51,csi_channel_52,csi_channel_53,csi_channel_54,csi_channel_55,csi_channel_56,csi_channel_57,csi_channel_58,csi_channel_59,csi_channel_60,csi_channel_61,csi_channel_62,csi_channel_63,csi_channel_64,csi_channel_65,csi_channel_66,csi_channel_67,csi_channel_68,csi_channel_69,csi_channel_70,csi_channel_71,csi_channel_72,csi_channel_73,csi_channel_74,csi_channel_75,csi_channel_76,csi_channel_77,csi_channel_78,csi_channel_79,csi_channel_80,csi_channel_81,csi_channel_82,csi_channel_83,csi_channel_84,csi_channel_85,csi_channel_86,csi_channel_87,csi_channel_88,csi_channel_89,csi_channel_90,csi_channel_91,csi_channel_92,csi_channel_93,csi_channel_94,csi_channel_95,csi_channel_96,csi_channel_97,csi_channel_98,csi_channel_99,csi_channel_100,csi_channel_101,csi_channel_102,csi_channel_103,csi_channel_104,csi_channel_105,csi_channel_106,csi_channel_107,csi_channel_108,csi_channel_109,csi_channel_110,csi_channel_111,csi_channel_112,csi_channel_113,csi_channel_114,csi_channel_115,csi_channel_116,csi_channel_117,csi_channel_118,csi_channel_119,csi_channel_120,csi_channel_121,csi_channel_122,csi_channel_123,csi_channel_124,csi_channel_125,csi_channel_126,csi_channel_127,csi_channel_128,csi_channel_129,csi_channel_130,csi_channel_131,csi_channel_132,csi_channel_133,csi_channel_134,csi_channel_135,csi_channel_136,csi_channel_137,csi_channel_138,csi_channel_139,csi_channel_140,csi_channel_141,csi_channel_142,csi_channel_143,csi_channel_144,csi_channel_145,csi_channel_146,csi_channel_147,csi_channel_148,csi_channel_149,csi_channel_150,csi_channel_151,csi_channel_152,csi_channel_153,csi_channel_154,csi_channel_155,csi_channel_156,csi_channel_157,csi_channel_158,csi_channel_159,csi_channel_160,csi_channel_161,csi_channel_162,csi_channel_163,csi_channel_164,csi_channel_165,csi_channel_166,csi_channel_167,csi_channel_168,csi_channel_169,csi_channel_170,csi_channel_171,csi_channel_172,csi_channel_173,csi_channel_174,csi_channel_175,csi_channel_176,csi_channel_177,csi_channel_178,csi_channel_179,csi_channel_180,csi_channel_181,csi_channel_182,csi_channel_183,csi_channel_184,csi_channel_185,csi_channel_186,csi_channel_187,csi_channel_188,csi_channel_189,csi_channel_190,csi_channel_191,csi_channel_192,csi_channel_193,csi_channel_194,csi_channel_195,csi_channel_196,csi_channel_197,csi_channel_198,csi_channel_199,csi_channel_200,csi_channel_201,csi_channel_202,csi_channel_203,csi_channel_204,csi_channel_205,csi_channel_206,csi_channel_207,csi_channel_208,csi_channel_209,csi_channel_210,csi_channel_211,csi_channel_212,csi_channel_213,csi_channel_214,csi_channel_215,csi_channel_216,csi_channel_217,csi_channel_218,csi_channel_219,csi_channel_220,csi_channel_221,csi_channel_222,csi_channel_223,csi_channel_224,csi_channel_225,csi_channel_226,csi_channel_227,csi_channel_228,csi_channel_229,csi_channel_230,csi_channel_231,csi_channel_232,csi_channel_233,csi_channel_234,csi_channel_235,csi_channel_236,csi_channel_237,csi_channel_238,csi_channel_239,csi_channel_240,csi_channel_241,csi_channel_242,csi_channel_243,csi_channel_244,csi_channel_245,csi_channel_246,csi_channel_247,csi_channel_248,csi_channel_249,csi_channel_250,csi_channel_251,csi_channel_252,csi_channel_253,csi_channel_254,csi_channel_255
2023-04-26 15:03:54.000000,0.200659,,,2.80085,,,,,,,(-83+33j),(-293+528j),(-440+639j),(-539+672j),(-614+727j),(-531+608j),(-642+646j),(-666+611j),(-589+566j),(-563+450j),(-514+392j),(-384+208j),(-215+59j),(-68-106j),(104-308j),(246-429j),(443-672j),(566-713j),(658-1010j),(667-981j),(702-1186j),(643-933j),(627-981j),(565-906j),(534-852j),(307-612j),(211-454j),(-5+0j),(16+5j),(-44+34j),(-73+40j),(-49+13j),(-2011+0j),(-12800-32640j),(128+0j),(25+51j),(39-1j),(7+7j),(-704+525j),(-671+601j),(-672+527j),(-737+388j),(-597+352j),(-474+223j),(-375+105j),(-262-6j),(-155-196j),(-51-298j),(125-460j),(246-558j),(336-640j),(405-661j),(468-682j),(544-723j),(474-691j),(465-583j),(447-526j),(432-378j),(435-244j),(352-117j),(249-18j),(187+119j),(59+273j),(-47+416j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:03:54.100000,0.162945,,,2.801978,,,,,,,(13+85j),(387+443j),(483+618j),(498+712j),(509+811j),(442+688j),(449+795j),(390+803j),(410+721j),(286+654j),(256+597j),(101+422j),(6+216j),(-127+35j),(-277-169j),(-348-345j),(-542-577j),(-600-717j),(-821-856j),(-807-863j),(-994-950j),(-832-778j),(-854-799j),(-813-723j),(-747-689j),(-548-422j),(-403-293j),2j,(7-15j),(28+59j),(32+86j),(15+54j),(-2011+0j),(-13056-32640j),(128+0j),(65+7j),(14-38j),(5-11j),(149+833j),(234+830j),(206+843j),(65+827j),(84+693j),(-30+535j),(-72+389j),(-116+244j),(-236+68j),(-293-58j),(-362-278j),(-399-425j),(-471-540j),(-467-613j),(-468-668j),(-459-766j),(-450-688j),(-363-650j),(-347-603j),(-250-512j),(-97-496j),(-8-382j),(64-249j),(162-147j),(269+20j),(357+177j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:03:54.200000,0.200982,,,2.789084,,,,,,0.157465,(-119+44j),(-317+508j),(-300+521j),(-233+386j),(-196+230j),(-148+54j),(-192-120j),(-268-297j),(-382-419j),(-473-546j),(-714-665j),(-773-753j),(-905-560j),(-969-528j),(-1102-465j),(-908-355j),(-994-238j),(-758-147j),(-639-7j),(-353+14j),(-114-31j),(97-116j),(307-283j),(461-497j),(599-743j),(425-861j),(368-1082j),(-23+50j),(110-129j),(150-197j),(112-171j),(63-27j),(-2011+0j),(-12800-32640j),(128+0j),(-16-45j),(-28+3j),(-1-5j),(250+6j),(236+122j),(252+274j),(256+476j),(366+558j),(416+591j),(493+631j),(642+553j),(630+645j),(708+486j),(640+564j),(579+451j),(519+350j),(372+262j),(229+226j),(74+228j),(-66+233j),(-184+268j),(-309+352j),(-416+390j),(-499+468j),(-521+538j),(-436+584j),(-442+706j),(-530+661j),(-478+703j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:03:54.300000,0.20082,,,2.802462,,,,,,0.157143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:03:54.400000,0.200659,,,2.805846,,,,,,0.159238,(-93+9j),(-451+349j),(-692+359j),(-802+287j),(-909+219j),(-822+124j),(-928+23j),(-886-12j),(-846-105j),(-698-214j),(-618-255j),(-375-265j),(-153-187j),(69-117j),(317+2j),(450+131j),(699+313j),(758+518j),(957+627j),(910+714j),(1045+854j),(919+879j),(785+881j),(683+874j),(557+869j),(395+578j),(256+447j),(3-4j),(-19+12j),(9-52j),(14-86j),(25-43j),(-2011+0j),(-12800-32640j),(128+0j),(49-29j),(-3-44j),(10-12j),(382+752j),(411+746j),(310+819j),(104+838j),(57+720j),(-15+499j),(-133+368j),(-176+223j),(-267+20j),(-275-152j),(-229-402j),(-165-561j),(-97-713j),(-2-755j),(104-803j),(223-854j),(240-774j),(318-656j),(370-612j),(410-460j),(455-293j),(395-134j),(285+3j),(205+137j),(31+271j),(-125+372j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:03:54.500000,0.200498,,2.23981,2.808908,,1.70085,,,,0.159722,(124+15j),(553-292j),(586-254j),(439-120j),(318-6j),(142+88j),220j,(-145+313j),(-301+451j),(-472+523j),(-662+720j),(-816+679j),(-757+753j),(-837+743j),(-900+773j),(-816+595j),(-818+605j),(-676+445j),(-537+378j),(-323+208j),(-160+36j),(30-136j),(227-327j),(403-518j),(609-716j),(528-783j),(642-928j),(-37+24j),(164-67j),(239-74j),(200-49j),(54+25j),(-2011+0j),(-12800-32640j),(128+0j),(-9-42j),(-29-2j),(2-7j),(204+141j),(100+234j),(-17+376j),(-208+494j),(-290+601j),(-322+649j),(-437+663j),(-441+728j),(-601+674j),(-541+696j),(-664+536j),(-608+429j),(-543+352j),(-426+209j),(-339+52j),(-247-76j),(-120-191j),(-30-318j),(89-435j),(217-475j),(360-582j),(434-607j),(423-606j),(508-682j),(666-545j),(681-528j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:03:54.600000,0.200498,,2.177919,2.810359,0.190989,1.708908,0.462242,1.988703,,0.160205,(84-113j),(-16-638j),(34-642j),(69-468j),(120-302j),(126-98j),(178+81j),(217+269j),(289+447j),(314+629j),(451+880j),(367+996j),(444+962j),(420+1036j),(469+1096j),(352+948j),(388+970j),(261+776j),(261+609j),(150+363j),(20+159j),(-103-53j),(-256-284j),(-411-495j),(-586-712j),(-705-642j),(-853-754j),(24+41j),(-52-170j),(-47-246j),(-35-213j),(32-67j),(-2011+0j),(-12800-32640j),(128+0j),(-42-29j),(-29+14j),(-6-5j),(224-49j),(217+104j),(211+290j),(146+501j),(182+642j),(151+735j),(167+791j),(241+838j),(103+911j),(131+864j),(-21+870j),(-50+747j),(-80+651j),(-111+476j),(-147+306j),(-186+150j),(-218-8j),(-250-164j),(-288-312j),(-307-470j),(-266-604j),(-256-698j),(-296-697j),(-301-797j),(-127-868j),(-140-869j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:03:54.700000,0.201143,0.201788,2.231429,2.814549,0.190989,1.731473,0.486256,1.96356,,0.157626,(113-79j),(275-599j),(337-556j),(309-373j),(275-204j),(160-19j),(102+154j),(12+349j),(-69+504j),(-220+670j),(-319+926j),(-496+944j),(-435+937j),(-533+941j),(-616+1003j),(-613+822j),(-635+835j),(-562+591j),(-440+525j),(-275+279j),(-149+84j),(20-109j),(187-313j),(348-504j),(543-715j),(509-833j),(635-965j),(-35+36j),(164-71j),(242-56j),(201-41j),(62+30j),(-2011+0j),(-12800-32640j),(128+0j),(-51-5j),(-16+27j),(-9-6j),(153-180j),(221-29j),(306+138j),(347+369j),(418+485j),(420+594j),(416+699j),(468+735j),(336+866j),(341+782j),(155+869j),(76+763j),(7+637j),(-70+473j),(-140+312j),(-192+166j),(-208-9j),(-242-178j),(-241-333j),(-190-467j),(-142-640j),(-88-735j),(-100-747j),(-56-823j),(160-841j),(183-868j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:03:54.800000,0.201143,0.203238,2.226755,2.813744,0.191311,1.695048,0.486256,1.943897,,0.158593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:03:54.900000,0.190989,0.20211,2.221758,2.816967,0.191311,1.755165,0.493348,1.927619,,0.156982,(-16+87j),(209+517j),(165+733j),(91+826j),(33+946j),(-37+813j),(-141+913j),(-234+842j),(-223+825j),(-287+696j),(-305+627j),(-294+393j),(-192+182j),(-110-25j),(10-260j),(138-424j),(306-666j),(503-736j),(594-984j),(665-954j),(779-1126j),(754-917j),(792-873j),(792-791j),(800-710j),(520-514j),(406-370j),(-16-4j),(26+10j),(-42+5j),(-77+3j),(-47-9j),(-2011+0j),(-12800-32640j),(128+0j),(21-60j),(-31-27j),(5-10j),(829+246j),(852+201j),(824+308j),(718+458j),(624+397j),(433+319j),(275+294j),(136+237j),(-90+197j),(-224+108j),(-399-47j),(-514-172j),(-601-299j),(-607-398j),(-612-490j),(-644-597j),(-584-554j),(-472-567j),(-391-586j),(-265-580j),(-93-538j),(7-418j),(78-265j),(158-147j),(241+42j),(292+216j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
