time,1,2,3,4,5,6,7,8,9,0,csi_channel_0,csi_channel_1,csi_channel_2,csi_channel_3,csi_channel_4,csi_channel_5,csi_channel_6,csi_channel_7,csi_channel_8,csi_channel_9,csi_channel_10,csi_channel_11,csi_channel_12,csi_channel_13,csi_channel_14,csi_channel_15,csi_channel_16,csi_channel_17,csi_channel_18,csi_channel_19,csi_channel_20,csi_channel_21,csi_channel_22,csi_channel_23,csi_channel_24,csi_channel_25,csi_channel_26,csi_channel_27,csi_channel_28,csi_channel_29,csi_channel_30,csi_channel_31,csi_channel_32,csi_channel_33,csi_channel_34,csi_channel_35,csi_channel_36,csi_channel_37,csi_channel_38,csi_channel_39,csi_channel_40,csi_channel_41,csi_channel_42,csi_channel_43,csi_channel_44,csi_channel_45,csi_channel_46,csi_channel_47,csi_channel_48,csi_channel_49,csi_channel_50,csi_channel_51,csi_channel_52,csi_channel_53,csi_channel_54,csi_channel_55,csi_channel_56,csi_channel_57,csi_channel_58,csi_channel_59,csi_channel_60,csi_channel_61,csi_channel_62,csi_channel_63,csi_channel_64,csi_channel_65,csi_channel_66,csi_channel_67,csi_channel_68,csi_channel_69,csi_channel_70,csi_channel_71,csi_channel_72,csi_channel_73,csi_channel_74,csi_channel_75,csi_channel_76,csi_channel_77,csi_channel_78,csi_channel_79,csi_channel_80,csi_channel_81,csi_channel_82,csi_channel_83,csi_channel_84,csi_channel_85,csi_channel_86,csi_channel_87,csi_channel_88,csi_channel_89,csi_channel_90,csi_channel_91,csi_channel_92,csi_channel_93,csi_channel_94,csi_channel_95,csi_channel_96,csi_channel_97,csi_channel_98,csi_channel_99,csi_channel_100,csi_channel_101,csi_channel_102,csi_channel_103,csi_channel_104,csi_channel_105,csi_channel_106,csi_channel_107,csi_channel_108,csi_channel_109,csi_channel_110,csi_channel_111,csi_channel_112,csi_channel_113,csi_channel_114,csi_channel_115,csi_channel_116,csi_channel_117,csi_channel_118,csi_channel_119,csi_channel_120,csi_channel_121,csi_channel_122,csi_channel_123,csi_channel_124,csi_channel_125,csi_channel_126,csi_channel_127,csi_channel_128,csi_channel_129,csi_channel_130,csi_channel_131,csi_channel_132,csi_channel_133,csi_channel_134,csi_channel_135,csi_channel_136,csi_channel_137,csi_channel_138,csi_channel_139,csi_channel_140,csi_channel_141,csi_channel_142,csi_channel_143,csi_channel_144,csi_channel_145,csi_channel_146,csi_channel_147,csi_channel_148,csi_channel_149,csi_channel_150,csi_channel_151,csi_channel_152,csi_channel_153,csi_channel_154,csi_channel_155,csi_channel_156,csi_channel_157,csi_channel_158,csi_channel_159,csi_channel_160,csi_channel_161,csi_channel_162,csi_channel_163,csi_channel_164,csi_channel_165,csi_channel_166,csi_channel_167,csi_channel_168,csi_channel_169,csi_channel_170,csi_channel_171,csi_channel_172,csi_channel_173,csi_channel_174,csi_channel_175,csi_channel_176,csi_channel_177,csi_channel_178,csi_channel_179,csi_channel_180,csi_channel_181,csi_channel_182,csi_channel_183,csi_channel_184,csi_channel_185,csi_channel_186,csi_channel_187,csi_channel_188,csi_channel_189,csi_channel_190,csi_channel_191,csi_channel_192,csi_channel_193,csi_channel_194,csi_channel_195,csi_channel_196,csi_channel_197,csi_channel_198,csi_channel_199,csi_channel_200,csi_channel_201,csi_channel_202,csi_channel_203,csi_channel_204,csi_channel_205,csi_channel_206,csi_channel_207,csi_channel_208,csi_channel_209,csi_channel_210,csi_channel_211,csi_channel_212,csi_channel_213,csi_channel_214,csi_channel_215,csi_channel_216,csi_channel_217,csi_channel_218,csi_channel_219,csi_channel_220,csi_channel_221,csi_channel_222,csi_channel_223,csi_channel_224,csi_channel_225,csi_channel_226,csi_channel_227,csi_channel_228,csi_channel_229,csi_channel_230,csi_channel_231,csi_channel_232,csi_channel_233,csi_channel_234,csi_channel_235,csi_channel_236,csi_channel_237,csi_channel_238,csi_channel_239,csi_channel_240,csi_channel_241,csi_channel_242,csi_channel_243,csi_channel_244,csi_channel_245,csi_channel_246,csi_channel_247,csi_channel_248,csi_channel_249,csi_channel_250,csi_channel_251,csi_channel_252,csi_channel_253,csi_channel_254,csi_channel_255
2023-04-26 15:30:30.000000,,,,,,,,,,,(-28+32j),(14+437j),(35+725j),(105+908j),(251+1126j),(337+989j),(470+1166j),(565+1136j),(763+1064j),(762+1013j),(936+943j),(772+790j),(657+492j),(506+379j),(331+255j),(80+157j),(-172+132j),(-436+113j),(-700+253j),(-835+334j),(-1020+593j),(-906+615j),(-966+781j),(-913+928j),(-899+1060j),(-543+998j),(-408+1005j),(17-25j),(-87+80j),(-77+69j),(-43+35j),(-8-16j),(-2011+0j),(-12544-32640j),(128+0j),(-46-71j),(-55+23j),(-18-2j),(277-1409j),(-67-1512j),(-213-1540j),(-187-1550j),(-457-1345j),(-506-1028j),(-520-837j),(-506-536j),(-290-396j),(-124-156j),(129-17j),(400+97j),(671+140j),(864+112j),(1074+34j),(1331-63j),(1298-310j),(1261-414j),(1197-582j),(1104-516j),(1037-597j),(841-597j),(543-560j),(391-458j),(301-220j),(172-38j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:30:30.100000,,,,,,,,,,,(18-29j),(-201-321j),(-594-317j),(-839+42j),(-877+641j),(-325+913j),(249+1145j),(883+760j),(1224+201j),(1131-424j),(729-1061j),(137-1076j),(-392-700j),(-537-343j),(-439-38j),(-199+16j),(-142-116j),(-285-255j),(-631-145j),(-752+211j),(-663+838j),(-144+1075j),(499+1016j),(1048+598j),(1299-61j),(795-716j),(239-1001j),(-1+21j),(-42-107j),(-72-73j),(-56-16j),(1-17j),(-2011+0j),(-12544-32640j),(128+0j),(-72+36j),(36+33j),(7+13j),(-447+1343j),(593+1371j),(1293+868j),(1553+167j),(1206-832j),(472-1046j),(-246-995j),(-629-465j),(-521-135j),(-225+83j),(-43-77j),(-107-343j),(-459-432j),(-799-154j),(-918+381j),(-726+1050j),(101+1275j),(773+1038j),(1224+385j),(1153-217j),(855-801j),(250-999j),(-326-724j),(-518-346j),(-385-125j),(-199-22j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:30:30.200000,,,,,,,,,,,(3-41j),(-294-244j),(-475-440j),(-600-571j),(-743-687j),(-700-646j),(-794-806j),(-849-756j),(-854-817j),(-721-817j),(-769-847j),(-572-792j),(-485-564j),(-335-444j),(-188-287j),-121j,(176+63j),(294+288j),(533+426j),(604+532j),(818+686j),(756+640j),(842+793j),(887+828j),(923+919j),(803+654j),(776+618j),(-12-25j),(32+101j),(19+89j),(8+49j),(-6-8j),(-2011+0j),(-12544-32640j),(128+0j),(-82+12j),(-8+49j),(10+12j),(-873-982j),(-1083-893j),(-1155-978j),(-1059-1123j),(-1072-901j),(-834-737j),(-731-539j),(-603-332j),(-353-265j),(-176-71j),(43+75j),(252+256j),(461+440j),(590+546j),(731+648j),(841+787j),(930+715j),(871+706j),(959+744j),(816+806j),(755+746j),(640+642j),(490+424j),(399+346j),(175+253j),93j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:30:30.300000,,,,,,,,,,,(-81-186j),(-908-525j),(-933-577j),(-738-498j),(-560-445j),(-311-254j),(-142-192j),(79-72j),(255+43j),(427+193j),(698+351j),(749+550j),(849+524j),(908+661j),(984+777j),(823+807j),(916+905j),(733+851j),(743+762j),(535+610j),(448+511j),(227+298j),(70+163j),(-97-15j),(-250-199j),(-365-267j),(-507-423j),(18+34j),(-35-123j),(-14-207j),(-6-188j),(32-58j),(-2011+0j),(-12800-32640j),(128+0j),(-14+95j),(54+22j),(-11+17j),(-448-67j),(-191-43j),(77-78j),(398-52j),(677-110j),(857-81j),(1040-73j),(1185-156j),(1339+43j),(1359-98j),(1399+212j),(1309+220j),(1209+171j),(980+187j),(757+192j),(570+216j),(307+122j),(54+124j),(-194+44j),(-413-26j),(-620-118j),(-798-177j),(-903-189j),(-1100-214j),(-1117-471j),(-1183-512j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:30:30.400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:30:30.500000,,,,,,,,,,,(-125+195j),(146+1168j),(201+1227j),(182+1002j),(154+835j),(121+484j),(40+335j),(-96+100j),(-213-104j),(-344-319j),(-586-538j),(-653-744j),(-824-696j),(-917-813j),(-1054-915j),(-940-881j),(-1113-921j),(-982-835j),(-1041-694j),(-819-509j),(-747-407j),(-425-259j),(-219-162j),(26-92j),(284-41j),(452-67j),(684-91j),(-41-5j),(128+49j),(202+111j),(182+101j),(37+60j),(-2011+0j),(-12544-32640j),(128+0j),(3+97j),(63+12j),(-3+22j),(-549+126j),(-304+56j),(-82-109j),(186-289j),(372-516j),(534-623j),(614-831j),(592-1052j),(820-1115j),(637-1288j),(898-1243j),(783-1210j),(658-1180j),(517-1006j),(422-815j),(364-664j),(200-406j),(165-141j),(93+111j),(86+353j),(35+609j),(31+812j),(134+946j),(231+1162j),(65+1301j),(164+1392j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:30:30.600000,,,,,,,,,,,(14+226j),(1031+424j),(1170-47j),(888-429j),(546-578j),(178-461j),(53-337j),(92-179j),(238-137j),(400-263j),(457-610j),(347-866j),(-141-1006j),(-555-998j),(-1040-804j),(-1134-346j),(-1330+222j),(-1009+610j),(-582+1014j),(-88+896j),(258+743j),(285+360j),(214+169j),(35+120j),(-93+262j),(14+437j),(238+604j),(-19-49j),(81+96j),(168+128j),(188+48j),(66+23j),(-2011+0j),(-12800-32640j),(128+0j),(90+6j),(-7-60j),(16-4j),(434+203j),(246+91j),(123+208j),(113+463j),(411+607j),(654+523j),(1062+206j),(1166-380j),(1140-781j),(592-1275j),(283-1464j),(-337-1354j),(-848-1013j),(-973-483j),(-878-67j),(-677+187j),(-363+240j),(-231+114j),(-242-47j),(-409-111j),(-652-37j),(-800+266j),(-649+676j),(-386+1104j),(-95+1253j),(502+1257j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:30:30.700000,,,,,,,,,,,(-56+10j),(-264+376j),(-433+599j),(-509+744j),(-565+920j),(-455+875j),(-518+1031j),(-431+1100j),(-395+1091j),(-412+982j),(-348+1042j),(-344+805j),(-174+613j),(-153+415j),(-138+210j),(-156-18j),(-194-274j),(-202-496j),(-356-712j),(-372-792j),(-588-970j),(-512-805j),(-639-951j),(-718-951j),(-765-963j),(-699-678j),(-688-583j),(18+10j),(-30-90j),(-16-69j),(7-39j),(20+12j),(-2011+0j),(-12544-32640j),(128+0j),(-86-9j),(-20+54j),(-6+4j),(-667-1216j),(-931-1128j),(-1067-1129j),(-983-1190j),(-1049-937j),(-801-733j),(-726-542j),(-584-326j),(-326-296j),(-109-128j),(180-77j),(441-1j),(721+11j),(881+12j),(1053-34j),(1247-42j),(1228-212j),(1180-233j),(1178-381j),(1068-274j),(1035-293j),(857-287j),(600-253j),(454-218j),(277-30j),(82+113j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:30:30.800000,,,,,,,,,,,(3+183j),(832+484j),(1041+267j),(835-58j),(632-235j),(302-235j),(175-164j),(98+25j),(169+187j),(337+325j),(707+338j),(886+241j),(954-135j),(986-439j),(900-777j),(632-935j),(304-1170j),(-2-1104j),(-419-898j),(-501-576j),(-549-308j),(-324-119j),(-157-34j),(31-113j),(141-311j),(-1-502j),(-187-675j),(6+27j),(-49-124j),(-99-174j),(-136-135j),(-28-57j),(-2011+0j),(-12800-32640j),(128+0j),(-86+25j),(24+56j),(-26+13j),(-407-128j),(-179-41j),(22-170j),(168-401j),(46-715j),(-156-823j),(-548-885j),(-990-652j),(-1199-547j),(-1388+4j),(-1374+239j),(-1144+620j),(-837+887j),(-425+880j),(-135+756j),(49+600j),(114+302j),(2+147j),(-176+66j),(-331+125j),(-530+294j),(-559+546j),(-326+838j),(-56+1077j),(109+1157j),(543+1078j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:30:30.900000,0.159883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
