mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127,_128,_129,_130,_131,_132,_133,_134,_135,_136,_137,_138,_139,_140,_141,_142,_143,_144,_145,_146,_147,_148,_149,_150,_151,_152,_153,_154,_155,_156,_157,_158,_159,_160,_161,_162,_163,_164,_165,_166,_167,_168,_169,_170,_171,_172,_173,_174,_175,_176,_177,_178,_179,_180,_181,_182,_183,_184,_185,_186,_187,_188,_189,_190,_191,_192,_193,_194,_195,_196,_197,_198,_199,_200,_201,_202,_203,_204,_205,_206,_207,_208,_209,_210,_211,_212,_213,_214,_215,_216,_217,_218,_219,_220,_221,_222,_223,_224,_225,_226,_227,_228,_229,_230,_231,_232,_233,_234,_235,_236,_237,_238,_239,_240,_241,_242,_243,_244,_245,_246,_247,_248,_249,_250,_251,_252,_253,_254,_255
505bc2d2e71b,1682492207.582923,(-62-67j),(-417-25j),(-339-8j),(-134-2j),(89-19j),(215-58j),(419-112j),(534-209j),(693-325j),(790-392j),(952-602j),(973-576j),(794-673j),(752-685j),(680-745j),(542-598j),(433-574j),(279-413j),(109-264j),(-23-53j),(-94+204j),(-137+345j),(-138+617j),(-117+833j),(-87+1057j),(120+1009j),(234+1095j),(5-44j),(-36+157j),(-61+203j),(-39+162j),(-41+31j),(-2011+0j),(-13056-32640j),(128+0j),(-21-20j),(-10+3j),(-3-3j),(-40+193j),(-12+366j),(2+527j),(-38+685j),(96+797j),(128+777j),(235+812j),(384+763j),(315+788j),(406+663j),(301+627j),(281+468j),(236+326j),(138+161j),(16+24j),(-105-122j),(-264-190j),(-384-245j),(-530-278j),(-589-394j),(-721-366j),(-785-339j),(-797-203j),(-843-141j),(-800-232j),(-747-131j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492207.709403,(-61+93j),(305+276j),(292+7j),(66-55j),(-56+128j),(75+282j),(403+300j),(674-39j),(617-546j),(213-905j),(-482-1042j),(-995-630j),(-1040+211j),(-705+738j),(-70+1008j),(386+681j),(685+255j),(415-135j),(119-224j),(-45+16j),(178+224j),(446+97j),(625-307j),(405-797j),(-190-1114j),(-835-618j),(-1156+43j),(50-12j),(-115+113j),(-45+215j),(59+151j),(14+41j),(-2011+0j),(-13056-32640j),(1152+0j),(10-2j),(-7-11j),(16+0j),(-156+111j),(-99+372j),(174+530j),(587+443j),(834-113j),(609-576j),(75-873j),(-540-681j),(-798-335j),(-687+268j),(-453+516j),(-31+530j),(238+256j),(167+17j),(-46-24j),(-149+136j),(16+367j),(335+363j),(639+125j),(671-292j),(424-721j),(-103-858j),(-606-519j),(-851-25j),(-749+331j),(-322+681j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492207.8321548,(52+76j),(371+111j),(283+92j),(86+38j),(-119+8j),(-252+7j),(-465+4j),(-616+29j),(-778+90j),(-901+111j),(-1116+230j),(-1125+190j),(-981+312j),(-954+318j),(-930+369j),(-734+285j),(-646+323j),(-420+210j),(-207+174j),(8+40j),(212-141j),(304-272j),(459-444j),(577-630j),(689-820j),(511-895j),(511-1013j),(-21+32j),(131-102j),(176-115j),(131-87j),(43+6j),(-2011+0j),(-13056-32640j),(128+0j),(22-8j),(1-16j),(9+7j),(-19-224j),(-105-363j),(-185-511j),(-188-677j),(-333-725j),(-353-676j),(-444-701j),(-543-628j),(-478-663j),(-496-521j),(-402-503j),(-331-362j),(-243-238j),(-123-100j),(14+11j),(142+146j),(292+207j),(406+252j),(549+290j),(615+315j),(698+409j),(741+388j),(751+264j),(810+235j),(728+315j),(694+229j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492207.9589567,(-89-53j),(-410+25j),(-318+26j),(-118-9j),(75-47j),(222-28j),(425-39j),(591-81j),(739-70j),(860-23j),(1073-72j),(1081+33j),(999-81j),(989-24j),(986-34j),(767+42j),(706+10j),(490+16j),(291-20j),(50-49j),(-208-34j),(-372-24j),(-596-54j),(-793-53j),(-1000-93j),(-965+37j),(-1068+39j),(42+4j),(-127-84j),(-160-124j),(-124-108j),(-10-45j),(-2011+0j),(-13312-32640j),(128+0j),(9+19j),(13-3j),(1-8j),(182-77j),(304-180j),(450-246j),(616-249j),(686-354j),(683-372j),(716-392j),(669-465j),(732-349j),(603-387j),(610-244j),(465-190j),(339-159j),(171-96j),(7-17j),(-157+52j),(-294+117j),(-413+169j),(-551+202j),(-645+137j),(-758+174j),(-799+168j),(-742+229j),(-788+266j),(-786+98j),(-731+101j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492208.0831819,(-94+143j),(75+1033j),(-5+1301j),(-79+1310j),(-133+1359j),(-151+1079j),(-237+1121j),(-291+1003j),(-257+847j),(-264+594j),(-222+413j),(-131+102j),(-26-141j),(116-384j),(308-658j),(465-777j),(690-1041j),(897-1025j),(965-1281j),(968-1165j),(1062-1304j),(842-1014j),(946-878j),(865-745j),(807-594j),(469-378j),(277-190j),(4-14j),(-16+12j),(-109-8j),(-139-22j),(-56-31j),(-2011+0j),(-13312-32640j),(128+0j),(50-79j),(-41-46j),(8-13j),(963+408j),(923+311j),(825+376j),(625+451j),(451+334j),(237+179j),(15+89j),(-174-12j),(-370-164j),(-531-239j),(-627-532j),(-710-665j),(-759-769j),(-721-818j),(-670-856j),(-657-943j),(-579-808j),(-430-728j),(-344-666j),(-199-551j),(-50-384j),(63-181j),(125+60j),(209+273j),(182+546j),(212+805j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492208.2072575,(140+106j),(1015-214j),(1252-397j),(1201-576j),(1155-739j),(820-733j),(791-849j),(575-811j),(380-777j),(278-594j),(185-445j),(116-151j),(117+121j),(192+380j),(398+653j),(498+746j),(849+952j),(997+958j),(1369+833j),(1406+609j),(1641+378j),(1321+224j),(1305-38j),(1152-195j),(966-280j),(540-255j),(307-173j),(12-21j),(-3+25j),(-98+52j),(-114+88j),(-59+30j),(-2011+0j),(-13312-32640j),(128+0j),(-81+40j),(4+75j),(-11-11j),(-874-519j),(-894-261j),(-868-109j),(-736-91j),(-529+51j),(-258+33j),(-66-42j),(108-161j),(272-336j),(312-514j),(447-699j),(418-878j),(306-1039j),(172-1062j),(27-1086j),(-73-1133j),(-274-947j),(-291-774j),(-352-597j),(-297-481j),(-156-312j),(-7-167j),(172-64j),(380-24j),(600+47j),(848-39j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492208.335018,(-156-77j),(-1057+197j),(-1292+227j),(-1327+246j),(-1378+251j),(-1109+228j),(-1163+201j),(-942+140j),(-862+192j),(-651+110j),(-450+107j),(-136+50j),(154-12j),(437-29j),(805-61j),(966-37j),(1358-64j),(1430+18j),(1703-163j),(1602-158j),(1742-262j),(1500-242j),(1325-151j),(1138-146j),(990-120j),(574-131j),(307-80j),(8+6j),(-30-5j),(-102-67j),(-128-76j),(-40-52j),(-2011+0j),(-13312-32640j),(128+0j),(18+97j),(71+9j),(12+13j),(-1028+498j),(-909+604j),(-828+513j),(-786+370j),(-541+322j),(-310+212j),(-118+99j),(92-26j),(317-146j),(495-298j),(753-306j),(896-383j),(1025-465j),(1018-464j),(1047-473j),(1094-495j),(941-514j),(805-393j),(678-376j),(508-239j),(381-131j),(152-48j),(-76+10j),(-306+133j),(-555+126j),(-797+208j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492208.4582298,(118-33j),(331-691j),(264-923j),(100-963j),(-66-1008j),(-224-783j),(-343-782j),(-391-556j),(-471-442j),(-379-312j),(-306-160j),(-101-45j),(95-5j),(305-24j),(533-132j),(620-232j),(788-487j),(785-634j),(682-949j),(503-996j),(296-1193j),(145-1013j),(-95-947j),(-237-799j),(-312-649j),(-266-328j),(-183-153j),(-5-6j),(15+4j),(54+66j),(89+62j),(32+34j),(-2011+0j),(-13312-32640j),(128+0j),(-60+29j),(13+43j),(-9+13j),(-756-331j),(-777-83j),(-745+59j),(-639+92j),(-444+209j),(-231+128j),(-76+76j),(38-64j),(114-241j),(96-406j),(107-580j),(8-719j),(-165-805j),(-309-776j),(-443-717j),(-577-691j),(-633-443j),(-591-310j),(-564-123j),(-391-75j),(-301-13j),(-134+13j),(37-40j),(181-131j),(324-239j),(387-450j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492208.5135636,(-106-87j),(-701+299j),(-705+663j),(-394+876j),(-39+1025j),(285+745j),(555+638j),(666+372j),(647+46j),(467-116j),(280-214j),(72-96j),(43+92j),(106+269j),(342+405j),(569+334j),(910+120j),(974-174j),(918-733j),(544-993j),(97-1226j),(-332-910j),(-577-739j),(-723-423j),(-702-118j),(-406+131j),(-183+151j),11j,(-2-19j),(32-73j),(-10-100j),(-11-48j),(-2011+0j),(-13312-32640j),(128+0j),(61+29j),(13-43j),(16-2j),(670+484j),(760+70j),(686-181j),(528-296j),(243-376j),(32-235j),(-35-78j),(51+73j),(237+153j),(437+34j),(610-83j),(631-382j),(482-681j),(190-821j),(-133-833j),(-460-777j),(-652-415j),(-659-141j),(-556+107j),(-375+196j),(-209+195j),(-73+102j),(-39-52j),(-162-183j),(-321-266j),(-582-178j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492208.7069404,(-79+152j),(219+1052j),(347+1276j),(430+1297j),(529+1288j),(495+1012j),(533+1038j),(573+771j),(517+711j),(398+523j),(310+338j),(110+96j),(-106-85j),(-321-273j),(-610-488j),(-743-562j),(-1114-723j),(-1144-770j),(-1525-677j),(-1448-555j),(-1678-440j),(-1387-301j),(-1286-215j),(-1121-119j),(-981-48j),(-572+59j),(-314+65j),(-10+8j),(28-1j),(110+56j),(135+40j),(61+39j),(-2011+0j),(-13312-32640j),(128+0j),(-12+99j),(57+19j),(4+13j),(-1014+398j),(-865+555j),(-785+533j),(-705+425j),(-462+386j),(-224+263j),(-25+117j),(123-77j),(271-283j),(305-487j),(514-652j),(559-823j),(536-990j),(488-1038j),(446-1070j),(366-1126j),(177-1037j),(127-880j),(55-780j),(77-541j),(52-392j),(31-144j),(14+93j),(74+320j),(59+570j),(146+829j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
