mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127,_128,_129,_130,_131,_132,_133,_134,_135,_136,_137,_138,_139,_140,_141,_142,_143,_144,_145,_146,_147,_148,_149,_150,_151,_152,_153,_154,_155,_156,_157,_158,_159,_160,_161,_162,_163,_164,_165,_166,_167,_168,_169,_170,_171,_172,_173,_174,_175,_176,_177,_178,_179,_180,_181,_182,_183,_184,_185,_186,_187,_188,_189,_190,_191,_192,_193,_194,_195,_196,_197,_198,_199,_200,_201,_202,_203,_204,_205,_206,_207,_208,_209,_210,_211,_212,_213,_214,_215,_216,_217,_218,_219,_220,_221,_222,_223,_224,_225,_226,_227,_228,_229,_230,_231,_232,_233,_234,_235,_236,_237,_238,_239,_240,_241,_242,_243,_244,_245,_246,_247,_248,_249,_250,_251,_252,_253,_254,_255
505bc2d2e71b,1682494141.6167128,(-6-25j),(-208-40j),(-397+40j),(-502+160j),(-626+331j),(-498+425j),(-532+615j),(-438+703j),(-283+821j),(-211+814j),(-49+920j),(23+790j),(190+557j),(220+397j),(228+233j),(159+63j),(41-93j),(-123-221j),(-353-277j),(-508-233j),(-745-133j),(-714+6j),(-808+157j),(-824+333j),(-813+463j),(-544+560j),(-406+632j),(10-11j),(-59+59j),(-46+73j),(-13+47j),(-2+4j),(-2011+0j),(-12544-32640j),(128+0j),(62+13j),(10-38j),(2+5j),(556+797j),(817+621j),(962+517j),(992+489j),(1016+186j),(830+73j),(719-114j),(508-235j),(363-166j),(140-147j),-22j,(-152+129j),(-218+326j),(-222+475j),(-161+631j),(-125+833j),(84+847j),(201+834j),(409+793j),(427+700j),(520+643j),(544+482j),(505+270j),(446+126j),(293+69j),(150-16j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494141.7417533,(13-11j),(-71-217j),(-177-398j),(-263-514j),(-373-661j),(-381-586j),(-468-722j),(-546-743j),(-572-742j),(-522-744j),(-596-773j),(-476-673j),(-425-451j),(-334-355j),(-250-229j),(-119-91j),(-1+60j),(134+220j),(305+347j),(395+431j),(595+529j),(544+531j),(697+537j),(768+549j),(821+583j),(736+392j),(730+352j),(-17-18j),(49+69j),(54+69j),(31+39j),(-1+4j),(-2011+0j),(-12288-32640j),(128+0j),(-51-42j),(-36+26j),(-1+0j),(38-1029j),(-136-1090j),(-210-1155j),(-101-1186j),(-249-1083j),(-259-904j),(-218-749j),(-257-547j),(-147-413j),(-136-179j),(-60-2j),212j,(88+415j),(162+556j),(233+673j),(282+849j),(381+828j),(388+830j),(473+816j),(402+791j),(383+785j),(360+675j),(322+498j),(305+377j),(159+273j),(98+117j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494141.867158,(9+12j),(165-124j),(267-298j),(255-490j),(145-716j),(-10-690j),(-188-833j),(-371-747j),(-604-714j),(-702-568j),(-882-401j),(-788-259j),(-650-1j),(-513+99j),(-343+159j),(-126+92j),(8-28j),(134-173j),(96-439j),(10-569j),(-203-763j),(-347-697j),(-527-679j),(-722-595j),(-899-465j),(-820-107j),(-799+86j),(21+2j),(-89-5j),(-84+11j),(-54+12j),(-3-3j),(-2011+0j),(-12288-32640j),(128+0j),(6-57j),(-40-1j),(-7-7j),(424-848j),(101-1016j),(-91-1100j),(-216-1103j),(-510-923j),(-592-577j),(-642-373j),(-564-108j),(-416-44j),(-214+61j),(-25+24j),(178-52j),(321-207j),(359-381j),(316-573j),(218-790j),(-27-844j),(-206-837j),(-405-809j),(-480-679j),(-604-599j),(-638-398j),(-557-122j),(-490-5j),(-337+15j),(-147+54j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494141.989856,(192+94j),(1026-360j),(1094-386j),(896-391j),(727-391j),(432-249j),(302-210j),(111-66j),(-59+69j),(-248+259j),(-409+521j),(-570+625j),(-500+774j),(-580+906j),(-597+1094j),(-539+1059j),(-527+1257j),(-499+1116j),(-280+1194j),(-152+964j),(-40+877j),(-34+559j),(15+374j),(37+155j),(31-66j),(-55-290j),(-143-482j),(12+27j),(15-104j),(40-186j),(37-175j),(36-51j),(-2011+0j),(-12544-32640j),(128+0j),(102-18j),(2-62j),(21+6j),(282+452j),(202+194j),(49-31j),(-122-265j),(-350-443j),(-579-550j),(-765-600j),(-1007-550j),(-1104-702j),(-1186-561j),(-1244-726j),(-1217-594j),(-1155-504j),(-976-346j),(-811-232j),(-691-112j),(-409-2j),(-173+16j),(67+43j),(295+38j),(514+32j),(710-13j),(833-161j),(1011-254j),(1157-141j),(1241-314j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494142.099964,(-18-24j),(-285+98j),(-498+234j),(-623+380j),(-780+577j),(-646+598j),(-756+783j),(-754+938j),(-631+989j),(-614+993j),(-543+1136j),(-473+960j),(-219+760j),(-144+603j),(-56+438j),(-10+198j),(15-29j),(-4-289j),(-95-544j),(-162-698j),(-374-896j),(-437-832j),(-559-926j),(-683-933j),(-793-951j),(-811-671j),(-861-573j),(13+16j),(-69-92j),(-67-89j),(-50-47j),(3-13j),(-2011+0j),(-12544-32640j),(128+0j),(-52-60j),(-46+35j),(2-1j),(127-1339j),(-185-1399j),(-332-1445j),(-276-1458j),(-532-1278j),(-486-999j),(-538-808j),(-532-519j),(-366-383j),(-237-104j),(-48+60j),(177+241j),(403+360j),(588+410j),(775+421j),(1024+496j),(1098+314j),(1118+256j),(1137+98j),(1085+134j),(1061+54j),(915-30j),(710-133j),(542-175j),(358-70j),(150-52j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494142.1471784,(3+21j),(273+52j),(523+2j),(693-93j),(909-232j),(801-312j),(961-454j),(1015-508j),(933-696j),(900-704j),(893-877j),(754-756j),(448-649j),(330-542j),(170-417j),(46-224j),(-75-17j),(-164+222j),(-210+508j),(-201+682j),(-110+975j),(45+984j),(63+1071j),(167+1155j),(273+1225j),(424+983j),(511+910j),(-2-22j),(21+123j),(27+123j),(25+71j),(-3+3j),(-2011+0j),(-12544-32640j),(128+0j),(55+58j),(55-16j),(3+14j),(-244+1288j),(50+1374j),(186+1442j),(122+1456j),(384+1310j),(374+1024j),(467+865j),(502+575j),(360+413j),(270+125j),(116-59j),(-65-278j),(-276-434j),(-448-517j),(-617-571j),(-861-686j),(-962-535j),(-1012-478j),(-1069-336j),(-989-304j),(-1009-279j),(-899-165j),(-736+1j),(-583+86j),(-389+34j),(-189+90j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494142.210573,(202+65j),(712-811j),(261-1149j),(-289-950j),(-620-624j),(-551-111j),(-417+139j),(-149+172j),(36+11j),(11-240j),(-295-425j),(-607-382j),(-838+74j),(-861+523j),(-601+1027j),(-129+1134j),(537+1226j),(964+792j),(1248+137j),(965-407j),(571-817j),(118-681j),(-207-439j),(-254-129j),(-77+76j),(169-1j),(299-241j),(-17+30j),(31-89j),(5-184j),(-82-159j),(-37-62j),(-2011+0j),(-12544-32640j),(128+0j),(95-8j),(-22-57j),(19-19j),(535-142j),(164-262j),(-70-73j),(-90+247j),(231+459j),(597+410j),(890+13j),(858-612j),(683-1018j),(-87-1282j),(-496-1281j),(-1025-827j),(-1244-142j),(-987+401j),(-550+680j),(-153+718j),(184+427j),(202+143j),(42-81j),(-230-28j),(-388+192j),(-352+543j),(46+768j),(571+813j),(904+663j),(1204+128j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494142.336315,(-199+28j),(-672+763j),(-761+828j),(-653+722j),(-516+620j),(-353+423j),(-271+318j),(-132+145j),(-1-20j),(145-228j),(283-450j),(476-545j),(468-698j),(608-791j),(718-924j),(713-839j),(798-1006j),(820-890j),(726-957j),(581-786j),(504-746j),(348-469j),(256-377j),(124-203j),(-4-19j),(-75+176j),(-172+364j),(19-18j),(-81+63j),(-173+70j),(-167+58j),(-62+0j),(-2011+0j),(-12800-32640j),(128+0j),(62+75j),(56-12j),(8+11j),(-353+411j),(-166+271j),(-8+66j),(116-151j),(266-359j),(364-497j),(424-690j),(452-875j),(621-941j),(581-1070j),(824-1029j),(747-982j),(723-995j),(617-824j),(467-709j),(410-581j),(237-397j),(129-195j),(-39+6j),(-132+159j),(-267+299j),(-384+460j),(-413+581j),(-517+811j),(-716+791j),(-710+904j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494142.4627225,(-173-99j),(-1009+110j),(-1071+139j),(-902+121j),(-799+117j),(-476+92j),(-374+62j),(-173-1j),(24-40j),(249-89j),(499-204j),(702-194j),(736-339j),(881-362j),(1054-428j),(1042-368j),(1178-469j),(1090-383j),(1069-511j),(872-448j),(777-467j),(514-280j),(352-218j),(170-123j),(-9-7j),(-154+111j),(-303+255j),(20-15j),(-86+21j),(-174+20j),(-166+15j),(-58-19j),(-2011+0j),(-12800-32640j),(128+0j),(-52+90j),(41+50j),(-17+7j),(-510-147j),(-279-38j),(-35+1j),(230+57j),(503+42j),(674+76j),(897+53j),(1044-62j),(1226+71j),(1222-113j),(1347+108j),(1275+59j),(1171-19j),(972-41j),(800-22j),(694-23j),(425-56j),(201-17j),(-25-15j),(-224+21j),(-431+31j),(-609+62j),(-749+126j),(-896+239j),(-1033+92j),(-1157+135j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494142.587051,(-9+14j),(77+224j),(119+461j),(146+627j),(184+825j),(202+777j),(209+973j),(170+909j),(255+1061j),(155+1057j),(204+1143j),(75+1006j),(150+750j),(90+612j),(43+454j),(-13+242j),(-64+39j),(-81-215j),(-172-434j),(-169-588j),(-302-821j),(-292-822j),(-311-964j),(-373-1043j),(-380-1135j),(-402-911j),(-424-881j),(14+21j),(13-113j),(13-116j),(11-66j),(8-1j),(-2011+0j),(-12544-32640j),(128+0j),(69+27j),(29-35j),(4+5j),(68+1274j),(248+1333j),(297+1425j),(112+1447j),(255+1325j),(117+1121j),(165+910j),(210+699j),(46+513j),(48+261j),(-54+36j),(-96-230j),(-159-467j),(-191-635j),(-231-782j),(-220-1007j),(-310-1003j),(-276-1011j),(-352-1031j),(-279-965j),(-189-986j),(-163-870j),(-158-667j),(-147-556j),(-6-388j),(28-197j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
