mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127,_128,_129,_130,_131,_132,_133,_134,_135,_136,_137,_138,_139,_140,_141,_142,_143,_144,_145,_146,_147,_148,_149,_150,_151,_152,_153,_154,_155,_156,_157,_158,_159,_160,_161,_162,_163,_164,_165,_166,_167,_168,_169,_170,_171,_172,_173,_174,_175,_176,_177,_178,_179,_180,_181,_182,_183,_184,_185,_186,_187,_188,_189,_190,_191,_192,_193,_194,_195,_196,_197,_198,_199,_200,_201,_202,_203,_204,_205,_206,_207,_208,_209,_210,_211,_212,_213,_214,_215,_216,_217,_218,_219,_220,_221,_222,_223,_224,_225,_226,_227,_228,_229,_230,_231,_232,_233,_234,_235,_236,_237,_238,_239,_240,_241,_242,_243,_244,_245,_246,_247,_248,_249,_250,_251,_252,_253,_254,_255
505bc2d2e71b,1682493340.7040744,(-69+157j),(752+674j),(1206+243j),(1191-468j),(766-1055j),(58-1055j),(-522-979j),(-883-415j),(-868+71j),(-531+343j),(-179+422j),(6+171j),(-92-41j),(-357-48j),(-649+236j),(-532+635j),(-137+1185j),(480+1208j),(1345+758j),(1479-64j),(1301-1026j),(480-1371j),(-281-1290j),(-853-838j),(-1052-225j),(-601+315j),(-206+393j),(3+7j),(6-6j),(-33-87j),(-121-69j),(-60-11j),(-2011+0j),(-13312-32640j),(128+0j),(-54-69j),(-40+55j),(-4-1j),(-853-439j),(-883+210j),(-593+609j),(-230+699j),(173+480j),(208+132j),(25-27j),(-187+85j),(-240+379j),(68+640j),(453+760j),(929+436j),(1143-193j),(845-770j),(277-1110j),(-375-1111j),(-838-567j),(-835-55j),(-618+384j),(-278+371j),(-49+348j),(8+150j),(-125+14j),(-308+155j),(-401+392j),(-168+797j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493340.827646,(27+78j),(390+68j),(288-61j),(164-36j),(178+47j),(252+57j),(422-56j),(481-357j),(264-667j),(-74-810j),(-655-796j),(-950-423j),(-926+240j),(-661+656j),(-224+906j),(170+732j),(502+488j),(451+145j),(318-59j),(110-21j),(145+155j),(302+156j),(573+38j),(694-365j),(518-857j),(-112-962j),(-696-836j),(39+27j),(-149-44j),(-210+36j),(-128+113j),(-54+34j),(-2011+0j),(-13056-32640j),(128+0j),(-9-13j),0j,(-3-1j),(312-128j),(258-402j),(61-633j),(-259-739j),(-704-466j),(-765-34j),(-715+467j),(-270+786j),(68+813j),(494+503j),(583+267j),(459-38j),(240-159j),(100-65j),(139+35j),(302+14j),(392-189j),(302-455j),(51-672j),(-260-698j),(-646-505j),(-829-97j),(-672+390j),(-364+717j),(-80+742j),(309+627j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493340.9537578,(-108+96j),(-194+854j),(-250+1070j),(-240+1113j),(-202+1168j),(-125+980j),(-132+1043j),(-87+965j),(-24+884j),(-47+694j),(1+589j),(-13+324j),(-16+85j),(-51-162j),(-131-444j),(-169-611j),(-314-913j),(-328-1055j),(-621-1216j),(-658-1186j),(-906-1265j),(-646-1031j),(-876-978j),(-888-828j),(-866-704j),(-650-337j),(-504-188j),(4-1j),(-2-3j),(7+78j),(50+101j),(13+55j),(-2011+0j),(-13312-32640j),(128+0j),(-53+75j),(34+50j),(-9+27j),(-1000-356j),(-972-187j),(-920-177j),(-765-244j),(-578-140j),(-307-109j),(-80-134j),(128-182j),(382-244j),(508-357j),(788-385j),(916-484j),(992-588j),(973-646j),(950-675j),(960-714j),(766-717j),(652-607j),(555-571j),(435-385j),(391-253j),(271-83j),(140+102j),(96+274j),(-40+466j),(-91+680j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493341.079219,(39+163j),(761+657j),(908+861j),(890+896j),(918+967j),(720+757j),(722+840j),(583+715j),(531+647j),(359+496j),(277+337j),(104+84j),(-56-165j),(-152-404j),(-268-729j),(-288-888j),(-399-1246j),(-300-1376j),(-492-1571j),(-415-1533j),(-511-1664j),(-437-1323j),(-285-1305j),(-267-1170j),(-204-1012j),(-168-602j),(-106-341j),(-4-21j),(-2+13j),(-66+94j),(-89+117j),(-66+40j),(-2011+0j),(-13312-32640j),(128+0j),(2-93j),(-48-29j),(3-21j),(1017-154j),(935-243j),(869-176j),(753-55j),(546-73j),(304-48j),(79-47j),(-169-22j),(-408-37j),(-624-1j),(-854-141j),(-998-172j),(-1127-180j),(-1124-202j),(-1115-227j),(-1172-274j),(-1025-180j),(-868-203j),(-727-162j),(-516-255j),(-331-171j),(-126-79j),(88+22j),(282+109j),(450+303j),(658+420j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493341.2027836,(-109-41j),(-608+389j),(-660+646j),(-477+803j),(-267+990j),(13+793j),(217+843j),(357+665j),(514+476j),(467+287j),(411+110j),(198+4j),(-28+2j),(-213+110j),(-336+339j),(-334+531j),(-242+881j),(-55+1013j),(403+1145j),(664+967j),(1048+773j),(942+447j),(1027+87j),(922-210j),(734-389j),(330-401j),(101-300j),(4-2j),(-1+3j),(-33+76j),(-16+106j),(-1+57j),(-2011+0j),(-13056-32640j),(128+0j),(-79-15j),(-10+56j),(-21-6j),(-742-528j),(-815-197j),(-761+9j),(-631+74j),(-421+212j),(-203+147j),(-99+26j),(-75-124j),(-119-312j),(-315-414j),(-471-521j),(-683-456j),(-883-278j),(-912-41j),(-891+186j),(-877+434j),(-590+607j),(-393+627j),(-163+587j),(-62+445j),(-19+347j),(-19+181j),(-86+68j),(-229+17j),(-386-15j),(-554+96j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493341.3284976,(-105+137j),(136+996j),(149+1238j),(167+1245j),(233+1323j),(206+1007j),(232+1089j),(98+1012j),(228+844j),(129+648j),(75+507j),(-24+220j),(-145-21j),(-256-250j),(-412-511j),(-496-660j),(-733-931j),(-740-1058j),(-1042-1115j),(-1024-1041j),(-1252-1066j),(-911-971j),(-998-815j),(-924-714j),(-833-621j),(-565-333j),(-361-226j),(-16+1j),(15-11j),(63+64j),(81+88j),(35+58j),(-2011+0j),(-13312-32640j),(128+0j),(-14+99j),(57+25j),11j,(-1069+275j),(-936+393j),(-886+361j),(-790+207j),(-569+179j),(-272+93j),(-127-58j),(49-237j),(241-422j),(328-627j),(581-757j),(664-909j),(679-1052j),(638-1067j),(601-1085j),(592-1169j),(387-1055j),(352-895j),(288-770j),(332-547j),(272-359j),(215-148j),(172+89j),(199+309j),(122+579j),(166+795j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493341.4040337,(-80-94j),(-738-239j),(-875-420j),(-824-498j),(-796-597j),(-607-517j),(-558-632j),(-400-640j),(-318-550j),(-143-441j),(-50-332j),(54-130j),(118+80j),(143+290j),(139+546j),(44+680j),(-13+944j),(-173+1023j),(-188+1184j),(-300+1107j),(-374+1223j),(-375+950j),(-475+876j),(-481+752j),(-482+604j),(-308+355j),(-216+177j),(-11+7j),(5-14j),(89-12j),(117+8j),(56+26j),(-2011+0j),(-13056-32640j),(128+0j),(70+5j),(21-47j),(14+5j),(-67+836j),(-36+764j),(-115+717j),(-237+557j),(-201+383j),(-171+141j),(-128-33j),(-67-208j),(72-407j),(141-534j),(401-635j),(516-684j),(627-721j),(678-645j),(734-577j),(835-505j),(709-416j),(640-256j),(560-188j),(413-21j),(296+68j),(110+119j),(-73+151j),(-254+158j),(-456+57j),(-648+9j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493341.591468,(-60-111j),(-522+106j),(-306+354j),(-43+265j),(-4+101j),(-99+32j),(-224+186j),(-136+448j),(233+598j),(643+436j),(1004-94j),(835-651j),(132-992j),(-495-893j),(-985-404j),(-832+174j),(-529+671j),(-23+596j),(294+330j),(169+15j),(-53+27j),(-92+263j),(164+493j),(622+407j),(992-91j),(644-764j),(23-1153j),(22+55j),(-116-118j),(-232-49j),(-175+72j),(-53+21j),(-2011+0j),(-13056-32640j),(128+0j),(-34+14j),(14+20j),(-5+8j),(-25-150j),(-163-260j),(-407-229j),(-671-16j),(-583+525j),(-118+808j),(403+790j),(862+305j),(917-181j),(475-717j),(99-816j),(-335-569j),(-488-167j),(-296+79j),(-108+68j),(-95-56j),(-258-76j),(-388+105j),(-370+431j),(-97+665j),(346+702j),(756+360j),(776-223j),(503-736j),(113-862j),(-431-722j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493341.7157786,(-36+83j),(126+533j),(91+697j),(55+753j),(17+816j),(-19+681j),(-74+745j),(-108+696j),(-114+613j),(-141+489j),(-126+402j),(-96+201j),(-19+35j),(61-125j),(190-312j),(292-397j),(462-609j),(598-579j),(700-787j),(710-744j),(822-858j),(734-637j),(747-609j),(714-518j),(696-437j),(453-311j),(333-204j),(-4-4j),(6+9j),(-57-10j),(-81-14j),(-46-24j),(-2011+0j),(-13312-32640j),(128+0j),(16-60j),(-36-23j),(3-8j),(773+69j),(759+11j),(709+84j),(632+192j),(491+142j),(327+119j),(181+94j),(18+55j),(-158+15j),(-301-17j),(-436-165j),(-537-256j),(-621-331j),(-612-388j),(-631-433j),(-648-495j),(-594-442j),(-480-428j),(-423-418j),(-308-396j),(-174-343j),(-68-241j),(1-109j),(92+1j),(129+171j),(174+322j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493341.840729,(81+22j),(512-242j),(680-315j),(732-352j),(784-421j),(647-360j),(721-405j),(655-381j),(585-406j),(476-337j),(380-338j),(214-231j),(24-120j),(-143-43j),(-348+75j),(-460+153j),(-685+299j),(-785+312j),(-906+544j),(-872+552j),(-939+717j),(-741+589j),(-761+594j),(-678+592j),(-604+564j),(-344+433j),(-204+334j),4j,(-11+7j),(57+9j),(84+3j),(39+12j),(-2011+0j),(-13056-32640j),(128+0j),(9-72j),(-43-19j),(6-13j),(828-131j),(793-236j),(786-212j),(755-120j),(603-161j),(404-124j),(266-102j),(93-59j),(-65+25j),(-219+118j),(-409+136j),(-556+205j),(-668+279j),(-702+311j),(-735+342j),(-810+396j),(-707+435j),(-641+386j),(-572+376j),(-471+294j),(-430+204j),(-286+153j),(-118+84j),(6-3j),(151-66j),(313-169j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
