mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127,_128,_129,_130,_131,_132,_133,_134,_135,_136,_137,_138,_139,_140,_141,_142,_143,_144,_145,_146,_147,_148,_149,_150,_151,_152,_153,_154,_155,_156,_157,_158,_159,_160,_161,_162,_163,_164,_165,_166,_167,_168,_169,_170,_171,_172,_173,_174,_175,_176,_177,_178,_179,_180,_181,_182,_183,_184,_185,_186,_187,_188,_189,_190,_191,_192,_193,_194,_195,_196,_197,_198,_199,_200,_201,_202,_203,_204,_205,_206,_207,_208,_209,_210,_211,_212,_213,_214,_215,_216,_217,_218,_219,_220,_221,_222,_223,_224,_225,_226,_227,_228,_229,_230,_231,_232,_233,_234,_235,_236,_237,_238,_239,_240,_241,_242,_243,_244,_245,_246,_247,_248,_249,_250,_251,_252,_253,_254,_255
505bc2d2e71b,1682493484.809321,(23+123j),(419+372j),(356+352j),(188+233j),(18+126j),(-113-7j),(-279-127j),(-394-220j),(-579-342j),(-676-499j),(-893-636j),(-854-745j),(-877-611j),(-854-656j),(-872-686j),(-671-610j),(-668-593j),(-464-442j),(-364-302j),(-153-103j),(42+47j),(197+172j),(373+326j),(550+468j),(712+630j),(768+554j),(883+629j),(-33-32j),(51+146j),(51+209j),(36+170j),(-21+47j),(-2011+0j),(-13312-32640j),(128+0j),(13-21j),(-9-13j),(-1+2j),(-185+54j),(-327+36j),(-486-29j),(-617-151j),(-738-126j),(-699-155j),(-794-181j),(-825-130j),(-814-268j),(-750-175j),(-665-317j),(-528-284j),(-382-206j),(-204-156j),(-33-120j),(140-74j),(286-20j),(413+28j),(553+102j),(629+155j),(725+283j),(765+347j),(767+303j),(835+336j),(729+508j),(716+496j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493484.9353263,(32+148j),(722+613j),(874+870j),(892+965j),(942+1048j),(753+881j),(784+997j),(707+936j),(648+847j),(455+713j),(354+596j),(152+343j),(-25+79j),(-173-170j),(-361-478j),(-434-658j),(-630-1007j),(-581-1195j),(-849-1347j),(-775-1331j),(-946-1479j),(-643-1213j),(-655-1228j),(-597-1134j),(-493-1026j),(-371-627j),(-224-416j),(-6-5j),(16-2j),(-24+94j),(-39+128j),(-30+51j),(-2011+0j),(-13312-32640j),(128+0j),(38-67j),(-38-43j),(5-5j),(964+381j),(968+277j),(898+361j),(740+465j),(580+356j),(378+245j),(130+175j),(-87+116j),(-336+14j),(-532-27j),(-740-240j),(-893-338j),(-1015-422j),(-1016-469j),(-1034-540j),(-1080-604j),(-988-513j),(-822-511j),(-725-504j),(-497-463j),(-342-457j),(-155-345j),(18-185j),(211-76j),(406+140j),(584+315j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493485.059784,(17-165j),(-549-554j),(-598-377j),(-401-181j),(-166-105j),(69-111j),(256-283j),(263-550j),(275-849j),(161-1067j),(-235-1441j),(-483-1443j),(-938-1084j),(-1172-878j),(-1377-541j),(-1223-240j),(-1217+103j),(-837+265j),(-524+407j),(-163+253j),(26-25j),(35-298j),(-86-631j),(-401-859j),(-794-988j),(-1087-630j),(-1387-363j),(55+10j),(-209-58j),(-286-40j),(-228+23j),(-65-31j),(-2011+0j),(-13312-32640j),(128+0j),(-17-28j),(-18+18j),(3-7j),(185+159j),(345+267j),(544+344j),(769+399j),(1003+155j),(1031-18j),(1080-369j),(918-721j),(854-825j),(453-1003j),(379-963j),(120-836j),(-75-650j),(-95-378j),-189j,(159-84j),(361-72j),(518-179j),(667-364j),(700-582j),(733-760j),(577-975j),(241-1089j),(-56-1227j),(-124-1208j),(-420-1115j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493485.1839793,(108+2j),(497-469j),(674-578j),(710-612j),(778-686j),(624-576j),(693-623j),(697-526j),(552-556j),(474-426j),(382-371j),(213-194j),(38-42j),(-115+98j),(-305+274j),(-436+379j),(-629+598j),(-734+600j),(-809+863j),(-790+839j),(-816+996j),(-588+823j),(-654+801j),(-577+721j),(-520+655j),(-287+454j),(-165+310j),2j,(1+0j),(71-7j),(90-25j),(46+1j),(-2011+0j),(-13312-32640j),(128+0j),(-24-66j),(-49-2j),(-3-4j),(680-453j),(600-520j),(588-457j),(588-342j),(436-293j),(297-213j),(182-94j),(49+15j),(-91+163j),(-202+290j),(-386+373j),(-499+463j),(-580+555j),(-602+567j),(-624+594j),(-684+629j),(-583+617j),(-537+527j),(-465+476j),(-420+391j),(-366+235j),(-251+122j),(-118+18j),(-13-108j),(147-219j),(291-356j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493485.3107226,(-88+47j),(-221+642j),(-312+830j),(-332+885j),(-364+985j),(-280+821j),(-339+894j),(-326+861j),(-246+766j),(-247+603j),(-190+526j),(-117+294j),(-22+70j),(53-133j),(162-363j),(241-506j),(339-773j),(429-853j),(430-1105j),(427-1082j),(408-1239j),(369-1012j),(327-988j),(275-906j),(251-824j),(105-544j),(56-366j),(-3-4j),(6+4j),(-56+35j),(-72+54j),(-44+15j),(-2011+0j),(-13056-32640j),(128+0j),(51+33j),(37-33j),(9+5j),(-228+758j),(-145+771j),(-149+742j),(-240+658j),(-145+540j),(-124+360j),(-102+198j),(-62+42j),(-32-142j),-315j,(90-493j),(133-627j),(153-753j),(160-781j),(190-826j),(233-901j),(156-830j),(178-736j),(135-678j),(178-563j),(186-418j),(148-265j),(91-99j),(55+67j),(-25+239j),(-84+423j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493485.434859,(61+113j),(599-88j),(447-322j),(151-324j),(3-162j),(37+19j),(227+73j),(434-102j),(456-412j),(271-741j),(-215-1018j),(-664-900j),(-1005-310j),(-1069+206j),(-850+743j),(-325+871j),(183+918j),(410+530j),(510+115j),(223-101j),(-31-36j),(-100+205j),(55+449j),(416+529j),(865+327j),(894-286j),(722-810j),(-22+43j),(25-158j),(-40-214j),(-98-141j),(-31-52j),(-2011+0j),(-13056-32640j),(128+0j),(5+35j),(12-2j),(7+8j),(-77-25j),(-214-70j),(-387+22j),(-515+219j),(-372+568j),(-74+679j),(349+736j),(734+423j),(868+130j),(722-356j),(553-591j),(155-647j),(-122-505j),(-218-258j),(-145-94j),(-12-47j),(64-175j),(-19-328j),(-236-437j),(-479-362j),(-716-149j),(-775+239j),(-506+632j),(-135+878j),(153+876j),(611+664j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493485.5581584,(90-30j),(181-605j),(75-843j),(-153-920j),(-412-921j),(-573-673j),(-787-577j),(-861-345j),(-846-52j),(-687+98j),(-549+261j),(-293+236j),(-43+130j),(68-63j),(99-339j),(4-511j),(-221-782j),(-441-817j),(-891-746j),(-1016-489j),(-1299-145j),(-1121+84j),(-992+409j),(-764+610j),(-551+725j),(-158+580j),(18+416j),2j,(-8+5j),(11-59j),(-14-82j),(-13-39j),(-2011+0j),(-13056-32640j),(128+0j),(21-57j),(-48-18j),(-5-7j),(641-470j),(432-660j),(275-735j),(189-710j),(-38-609j),(-98-387j),(-101-238j),(-25-111j),(127-55j),(259-80j),(438-127j),(550-273j),(550-488j),(451-641j),(312-781j),(150-897j),(-128-841j),(-257-693j),(-427-599j),(-425-449j),(-409-306j),(-319-166j),(-171-57j),(-48-68j),(115-137j),(211-300j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493485.6940403,(12-138j),(-361-552j),(-320-523j),(-214-362j),(-108-206j),(-4-24j),(110+142j),(224+298j),(360+445j),(452+616j),(649+814j),(615+926j),(698+807j),(703+859j),(751+881j),(595+766j),(636+751j),(471+570j),(427+392j),(252+171j),(93-18j),(-78-170j),(-231-349j),(-404-510j),(-576-703j),(-696-620j),(-833-709j),(26+38j),(-49-153j),(-45-221j),(-26-175j),(24-42j),(-2011+0j),(-13056-32640j),(128+0j),(-36+2j),(-3+8j),(-3-3j),(119-59j),(220+43j),(325+174j),(397+355j),(512+422j),(485+445j),(587+542j),(662+520j),(597+646j),(604+555j),(499+662j),(406+563j),(314+461j),(185+330j),(65+212j),(-24+99j),(-148-19j),(-253-122j),(-359-248j),(-440-399j),(-472-506j),(-509-591j),(-569-568j),(-626-626j),(-496-752j),(-539-751j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493485.8242488,(-86+114j),(84+651j),(139+596j),(140+402j),(98+200j),(19+15j),(-95-153j),(-282-265j),(-476-340j),(-675-396j),(-964-370j),(-1067-364j),(-1091-134j),(-1132-32j),(-1198+136j),(-968+186j),(-942+356j),(-681+325j),(-461+393j),(-164+280j),(41+110j),(167-94j),(299-334j),(341-595j),(337-870j),(83-938j),(-54-1109j),(-2+56j),(47-151j),(58-224j),(34-181j),(43-48j),(-2011+0j),(-13056-32640j),(128+0j),(-36-13j),(-8+23j),(-13-4j),(78-17j),(164+87j),(278+193j),(385+326j),(536+328j),(648+331j),(711+274j),(791+139j),(828+176j),(800+10j),(788+55j),(670-17j),(555-65j),(377-68j),(228-34j),(66+21j),(-66+117j),(-142+230j),(-224+363j),(-264+452j),(-336+593j),(-333+705j),(-179+762j),(-113+888j),(-183+886j),(-47+910j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682493485.948632,(102+108j),(634+100j),(603+136j),(392+99j),(201+52j),(-1-27j),(-183-119j),(-336-188j),(-545-299j),(-672-426j),(-928-595j),(-896-728j),(-895-643j),(-885-727j),(-908-773j),(-724-711j),(-714-690j),(-505-561j),(-437-378j),(-268-155j),(-118+52j),(11+217j),(124+452j),(213+687j),(287+921j),(401+885j),(447+1037j),(-6-42j),(-41+165j),(-82+210j),(-80+165j),(-53+16j),(-2011+0j),(-13056-32640j),(128+0j),(-34-10j),(-12+13j),(-2-5j),(13+23j),(-20+166j),(-78+313j),(-217+434j),(-245+576j),(-301+570j),(-353+666j),(-334+721j),(-495+673j),(-445+653j),(-542+544j),(-477+432j),(-403+318j),(-276+193j),(-155+80j),(-19+3j),(119-91j),(250-167j),(408-217j),(516-205j),(703-178j),(787-147j),(797-191j),(907-175j),(927+39j),(933+40j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
