mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127,_128,_129,_130,_131,_132,_133,_134,_135,_136,_137,_138,_139,_140,_141,_142,_143,_144,_145,_146,_147,_148,_149,_150,_151,_152,_153,_154,_155,_156,_157,_158,_159,_160,_161,_162,_163,_164,_165,_166,_167,_168,_169,_170,_171,_172,_173,_174,_175,_176,_177,_178,_179,_180,_181,_182,_183,_184,_185,_186,_187,_188,_189,_190,_191,_192,_193,_194,_195,_196,_197,_198,_199,_200,_201,_202,_203,_204,_205,_206,_207,_208,_209,_210,_211,_212,_213,_214,_215,_216,_217,_218,_219,_220,_221,_222,_223,_224,_225,_226,_227,_228,_229,_230,_231,_232,_233,_234,_235,_236,_237,_238,_239,_240,_241,_242,_243,_244,_245,_246,_247,_248,_249,_250,_251,_252,_253,_254,_255
505bc2d2e71b,1682492529.128584,(106+62j),(779-125j),(1023-138j),(1044-122j),(1156-126j),(910-115j),(993-91j),(928-66j),(794-81j),(633-19j),(502-38j),(242-19j),(-22-27j),(-237-47j),(-481-85j),(-631-132j),(-903-175j),(-1005-270j),(-1210-209j),(-1186-239j),(-1324-219j),(-1129-216j),(-1034-237j),(-969-207j),(-850-209j),(-562-78j),(-384-50j),(-11-2j),(-9-9j),(27+60j),(42+73j),(17+41j),(-2011+0j),(-13056-32640j),(128+0j),(-31-62j),(-60+6j),(5-17j),(736-553j),(639-591j),(639-538j),(623-383j),(466-337j),(320-197j),(167-89j),(-5+40j),(-174+153j),(-342+297j),(-572+339j),(-707+421j),(-819+479j),(-845+477j),(-863+460j),(-997+492j),(-845+482j),(-789+391j),(-666+351j),(-572+201j),(-452+128j),(-281+67j),(-75+0j),(106-76j),(336-93j),(531-156j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492529.2664165,(2-113j),(-444-607j),(-536-813j),(-526-858j),(-560-927j),(-438-754j),(-431-838j),(-280-767j),(-340-675j),(-231-543j),(-200-416j),(-95-200j),(-1+19j),(45+228j),(91+466j),(93+619j),(130+880j),(42+990j),(155+1160j),(107+1135j),(142+1271j),(14+962j),(8+1021j),(1+931j),(-28+828j),(28+537j),(12+357j),(-1+8j),(-8-2j),(38-44j),(60-58j),(44-16j),(-2011+0j),(-13056-32640j),(128+0j),(-25+59j),(40+29j),(-10+13j),(-832-167j),(-805-86j),(-770-159j),(-645-244j),(-512-185j),(-319-137j),(-144-78j),(33-29j),(238+31j),(416+59j),(583+225j),(708+303j),(828+360j),(822+405j),(823+446j),(905+526j),(817+427j),(701+420j),(609+386j),(406+389j),(312+339j),(163+221j),(30+72j),(-116-37j),(-234-211j),(-372-375j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492529.3926694,(-33+133j),(278+524j),(274+416j),(157+234j),(19+80j),(-113-60j),(-283-176j),(-460-244j),(-657-259j),(-811-312j),(-1094-287j),(-1132-302j),(-1065-77j),(-1065-29j),(-1084+65j),(-907+53j),(-856+147j),(-609+122j),(-427+157j),(-170+81j),(39-38j),(211-155j),(357-346j),(476-529j),(585-734j),(433-847j),(415-997j),(-26+32j),(114-112j),(160-144j),(125-128j),(50-9j),(-2011+0j),(-13056-32640j),(128+0j),(-17+26j),(7+12j),(-6-1j),(157-48j),(308-103j),(487-145j),(678-150j),(756-306j),(762-346j),(793-473j),(714-614j),(770-584j),(583-642j),(639-559j),(494-481j),(330-394j),(200-246j),(102-82j),(33+90j),(19+272j),(14+422j),(41+590j),(5+692j),(61+837j),(130+900j),(257+861j),(370+888j),(274+917j),(353+857j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492529.5350235,(-20+136j),(584+15j),(317-411j),(-80-305j),(-79-64j),(28-116j),(-153-287j),(-526-47j),(-445+550j),(241+834j),(1073+290j),(940-707j),(-175-1081j),(-994-467j),(-956+622j),(-36+909j),(762+517j),(617-227j),(59-492j),(-178-129j),(27-30j),(46-226j),(-356-318j),(-675+180j),(-305+907j),(694+659j),(1064-275j),(-32+46j),(-20-161j),(-200-127j),(-162+80j),(-41+41j),(-2011+0j),(-13056-32640j),(128+0j),(-28-13j),(1+12j),(-2+5j),(16-172j),(-265-226j),(-499+120j),(-333+628j),(461+661j),(834+49j),(463-790j),(-501-801j),(-928-142j),(-519+680j),(158+812j),(617+265j),(455-275j),(34-323j),(-75-137j),(20-109j),(-115-260j),(-407-105j),(-466+389j),(2+652j),(685+488j),(844-322j),(112-872j),(-735-628j),(-961+101j),(-380+853j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492529.6604314,(-26+133j),(484+338j),(537+45j),(297-141j),(80-70j),(11+89j),(154+256j),(423+239j),(685-45j),(727-424j),(488-972j),(5-1151j),(-649-883j),(-1003-485j),(-1137+85j),(-783+483j),(-407+804j),(14+667j),(311+397j),(227+65j),(-11-29j),(-182+120j),(-198+417j),(87+689j),(582+729j),(898+229j),(1036-310j),(-36+26j),(111-111j),(70-211j),(-32-179j),(-4-56j),(-2011+0j),(-13056-32640j),(128+0j),(-21+18j),(12+14j),(-4-4j),(71-125j),-313j,(-231-427j),(-511-418j),(-793-55j),(-697+322j),(-504+760j),(49+928j),(398+862j),(779+421j),(823+109j),(626-251j),(336-444j),(45-345j),(-19-157j),(77-15j),(247-69j),(292-260j),(211-531j),(-60-647j),(-410-727j),(-785-455j),(-874+80j),(-786+589j),(-541+803j),(-27+933j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492529.785792,(64+113j),(592-145j),(361-413j),(32-323j),(-47-95j),(76+23j),(281-75j),(276-364j),(9-679j),(-470-686j),(-1043-330j),(-1112+274j),(-608+892j),(5+1092j),(686+902j),(853+295j),(846-298j),(388-513j),(-66-485j),(-173-132j),(11+50j),(226-60j),(279-385j),(-21-695j),(-582-730j),(-935-113j),(-948+547j),(33-34j),(-49+152j),(50+220j),(131+128j),(37+39j),(-2011+0j),(-13056-32640j),(128+0j),(1-32j),(-17+3j),(-4-10j),(85+102j),(308+87j),(466-143j),(484-480j),(57-797j),(-478-709j),(-861-326j),(-892+341j),(-632+746j),(9+892j),(392+771j),(638+319j),(567-76j),(274-233j),(75-159j),(62-4j),(228+7j),(332-182j),(268-495j),(-15-731j),(-462-676j),(-844-299j),(-813+327j),(-513+822j),(-107+959j),(518+785j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492529.8979902,(91-116j),(-74-614j),(-154-517j),(-135-293j),(-55-96j),(49+71j),(209+199j),(426+244j),(625+233j),(801+220j),(1073+96j),(1118+14j),(1023-270j),(999-402j),(948-571j),(725-519j),(615-641j),(386-517j),(181-450j),(12-228j),(-51+12j),(-38+223j),(40+466j),(184+662j),(371+845j),(585+726j),(810+718j),(-36-27j),(80+120j),(129+175j),(118+124j),(7+57j),(-2011+0j),(-13056-32640j),(128+0j),(6+31j),(16-13j),9j,(40-141j),(91-303j),(129-474j),(177-664j),(20-800j),(-122-884j),(-254-890j),(-469-829j),(-484-856j),(-632-630j),(-579-646j),(-552-461j),(-489-272j),(-329-144j),(-156-74j),(20-66j),(201-108j),(329-196j),(455-328j),(507-431j),(582-570j),(557-694j),(385-786j),(257-931j),(287-921j),(133-933j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492530.021743,(-18-135j),(-410-438j),(-359-414j),(-207-251j),(-67-93j),(33+71j),(142+254j),(213+405j),(310+598j),(314+745j),(423+998j),(304+1077j),(367+1002j),(295+1033j),(275+1074j),(135+899j),(121+864j),(56+645j),(69+475j),(60+211j),(41-18j),(60-227j),(80-467j),(115-679j),(196-909j),(115-919j),(153-1050j),(-17+35j),(112-117j),(176-135j),(150-99j),(56+3j),(-2011+0j),(-13056-32640j),(128+0j),(7+33j),(10+3j),(2+2j),(114-101j),(253-176j),(437-200j),(651-154j),(770-222j),(765-179j),(886-174j),(915-240j),(967-48j),(906-111j),(855+90j),(699+114j),(565+105j),(358+94j),(160+85j),(-36+57j),(-219+16j),(-372-35j),(-536-107j),(-629-182j),(-737-335j),(-777-415j),(-786-378j),(-861-445j),(-733-608j),(-703-598j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492530.1466448,(88+58j),(688-9j),(911+82j),(962+161j),(1023+221j),(837+235j),(888+354j),(707+447j),(711+361j),(534+347j),(437+297j),(239+188j),(68+24j),(-62-155j),(-180-376j),(-198-522j),(-274-805j),(-194-942j),(-281-1130j),(-189-1121j),(-206-1287j),(-135-1036j),(13-1081j),(59-989j),(117-885j),(47-594j),(36-415j),-2j,(11-4j),(-65+9j),(-88+19j),(-43+2j),(-2011+0j),(-13056-32640j),(128+0j),(-55+30j),(7+37j),(-7+7j),(-406-743j),(-423-707j),(-332-753j),(-142-739j),(-109-602j),(-8-389j),(21-219j),(44-48j),(74+159j),(66+324j),(-59+531j),(-144+661j),(-230+788j),(-323+803j),(-403+812j),(-514+842j),(-476+759j),(-487+629j),(-503+564j),(-481+403j),(-448+246j),(-315+126j),(-121+24j),(12-53j),(214-85j),(430-121j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492530.2706234,(-146+4j),(-78+612j),(355+417j),(329+24j),(92-64j),(-10+83j),(200+210j),(494-10j),(437-524j),(-52-845j),(-884-685j),(-1159+68j),(-588+924j),(221+1089j),(977+588j),(932-165j),(473-788j),(-175-653j),(-465-200j),(-201+140j),(70+6j),(-17-232j),(-426-226j),(-658+277j),(-348+898j),(505+822j),(1099+190j),(-42+12j),(101-124j),(-8-232j),(-140-127j),(-49-31j),(-2011+0j),(-13056-32640j),(128+0j),(16-18j),(-19-5j),(-2-4j),(72+109j),(276+88j),(437-160j),(337-557j),(-267-739j),(-723-367j),(-840+328j),(-257+886j),(336+899j),(853+259j),(819-266j),(309-636j),(-210-512j),(-327-141j),(-166+36j),(-47-42j),(-167-141j),(-376-4j),(-418+370j),(-72+650j),(485+648j),(893+133j),(657-589j),(8-967j),(-556-790j),(-932-123j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
