mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127,_128,_129,_130,_131,_132,_133,_134,_135,_136,_137,_138,_139,_140,_141,_142,_143,_144,_145,_146,_147,_148,_149,_150,_151,_152,_153,_154,_155,_156,_157,_158,_159,_160,_161,_162,_163,_164,_165,_166,_167,_168,_169,_170,_171,_172,_173,_174,_175,_176,_177,_178,_179,_180,_181,_182,_183,_184,_185,_186,_187,_188,_189,_190,_191,_192,_193,_194,_195,_196,_197,_198,_199,_200,_201,_202,_203,_204,_205,_206,_207,_208,_209,_210,_211,_212,_213,_214,_215,_216,_217,_218,_219,_220,_221,_222,_223,_224,_225,_226,_227,_228,_229,_230,_231,_232,_233,_234,_235,_236,_237,_238,_239,_240,_241,_242,_243,_244,_245,_246,_247,_248,_249,_250,_251,_252,_253,_254,_255
505bc2d2e71b,1682494667.0816586,(172-17j),(284-816j),(-135-966j),(-477-651j),(-601-287j),(-422+41j),(-248+185j),(-41+98j),(47-56j),(-76-263j),(-368-310j),(-601-192j),(-704+202j),(-632+566j),(-344+920j),(78+909j),(584+845j),(843+487j),(921-62j),(635-394j),(313-624j),(-26-422j),(-189-272j),(-178-8j),(14+102j),(202+2j),(264-213j),(-10+12j),(23-73j),(-1-141j),(-65-120j),(-21-38j),(-2011+0j),(-12800-32640j),(128+0j),(78-59j),(-38-39j),(12-16j),(443-208j),(185-175j),(165+1j),(311+186j),(622+72j),(730-205j),(686-649j),(287-1036j),(-76-1222j),(-750-1033j),(-1067-752j),(-1233-178j),(-1121+413j),(-683+740j),(-240+782j),(102+666j),(271+317j),(180+105j),(8+16j),(-145+137j),(-188+348j),(-22+572j),(357+571j),(743+426j),(932+200j),(969-315j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494667.2049937,(-10-172j),(-663-606j),(-672-656j),(-601-518j),(-529-371j),(-333-191j),(-264-75j),(-110+53j),(18+180j),(176+308j),(387+444j),(460+554j),(560+514j),(640+581j),(762+648j),(709+579j),(824+608j),(692+564j),(760+421j),(585+305j),(535+209j),(333+101j),(210+17j),(53-79j),(-97-176j),(-276-189j),(-433-246j),(28+20j),(-48-80j),(-76-146j),(-70-125j),(4-51j),(-2011+0j),(-12800-32640j),(128+0j),(-104+4j),(-22+58j),(-10-2j),(-31-577j),(7-319j),(121-70j),(220+219j),(354+442j),(471+589j),(584+764j),(743+836j),(726+1060j),(814+1000j),(750+1202j),(727+1130j),(687+1050j),(598+877j),(512+724j),(472+587j),(348+340j),(192+181j),(59-13j),(-99-154j),(-211-324j),(-328-459j),(-499-482j),(-639-585j),(-612-746j),(-766-742j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494667.3388364,(145+69j),(764-220j),(832-241j),(677-216j),(531-209j),(301-167j),(188-167j),(16-127j),(-160-125j),(-310-119j),(-519-90j),(-620-148j),(-689-63j),(-770-88j),(-875-101j),(-785-133j),(-872-120j),(-793-138j),(-749-53j),(-596-7j),(-509+44j),(-314+72j),(-197+120j),(-53+184j),(93+231j),(230+186j),(357+225j),(-19-17j),(45+71j),(58+122j),(56+111j),(-2+42j),(-2011+0j),(-12800-32640j),(128+0j),(-54-81j),(-58+11j),(4-18j),(390-282j),(154-140j),(-39+30j),(-294+197j),(-510+407j),(-648+481j),(-735+630j),(-800+803j),(-1011+760j),(-969+909j),(-1142+738j),(-1066+709j),(-988+705j),(-806+574j),(-649+467j),(-512+389j),(-263+282j),(-90+129j),(108+46j),(271-42j),(441-107j),(578-165j),(642-279j),(785-361j),(911-256j),(927-306j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494667.4597845,(-27-11j),(52+301j),(384+324j),(617-11j),(565-523j),(113-685j),(-371-734j),(-780-341j),(-823+197j),(-515+609j),(-16+820j),(357+576j),(489+142j),(350-154j),(71-248j),(-97-49j),(-33+173j),(195+239j),(500-8j),(445-371j),(92-736j),(-344-576j),(-688-317j),(-786+194j),(-552+654j),(73+682j),(469+458j),(-15-15j),(65-8j),(54-51j),(-3-49j),(-11-1j),(-2011+0j),(-12800-32640j),(128+0j),(75+11j),(-7-55j),(-7-6j),(977-771j),(151-1307j),(-633-1213j),(-1160-732j),(-1193+214j),(-600+697j),(-9+829j),(427+451j),(394+122j),(160-98j),(-70+4j),(-73+276j),(203+463j),(565+308j),(775-133j),(644-710j),(-3-965j),(-562-776j),(-929-289j),(-882+233j),(-543+667j),(-8+748j),(396+370j),(443+41j),(244-141j),(-38-124j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494667.5901523,(-11-26j),(-267+101j),(-420+285j),(-420+475j),(-394+694j),(-244+705j),(-160+889j),(-15+931j),(178+912j),(260+797j),(422+752j),(403+578j),(409+334j),(340+163j),(236-3j),(56-93j),(-140-177j),(-317-232j),(-556-126j),(-644-41j),(-811+140j),(-710+262j),(-755+363j),(-722+499j),(-656+608j),(-372+586j),(-245+599j),(11-15j),(-43+50j),(-25+59j),(-4+31j),(4-6j),(-2011+0j),(-12800-32640j),(128+0j),(46-50j),(-27-38j),(-4-17j),(1153-130j),(1135-480j),(1166-654j),(1152-682j),(889-868j),(591-781j),(360-735j),(124-609j),(97-420j),(-13-211j),(1+16j),(31+252j),(134+467j),(265+592j),(442+671j),(619+730j),(795+569j),(843+457j),(975+335j),(974+257j),(930+130j),(828-9j),(578-181j),(457-261j),(283-191j),(56-153j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494667.6988692,(115-143j),(55-960j),(76-984j),(46-792j),(25-651j),(-29-355j),(-67-227j),(-96-7j),(-162+188j),(-255+364j),(-337+629j),(-454+717j),(-352+799j),(-452+864j),(-515+954j),(-550+871j),(-598+940j),(-565+766j),(-469+778j),(-356+584j),(-267+491j),(-125+279j),(-40+107j),(93-39j),(235-169j),(301-298j),(415-416j),(-20+19j),(107-24j),(171-10j),(161-2j),(42+32j),(-2011+0j),(-12800-32640j),(128+0j),(-80+60j),(17+47j),(-20+3j),(-257-340j),(-98-131j),(90+45j),(245+296j),(435+475j),(548+630j),(628+781j),(789+841j),(729+1082j),(789+995j),(647+1229j),(585+1158j),(520+1030j),(412+868j),(298+704j),(245+610j),(185+342j),(77+141j),(26-93j),(-18-281j),(-35-484j),(-42-649j),(-127-781j),(-169-924j),(9-1040j),(-6-1153j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494667.7141283,(37+164j),(841+358j),(920+133j),(749-117j),(510-357j),(237-237j),(51-198j),(-62+7j),(-49+199j),(88+384j),(330+524j),(554+487j),(748+238j),(931-45j),(1032-317j),(816-518j),(694-824j),(421-794j),(33-866j),(-194-636j),(-286-459j),(-281-199j),(-152-40j),(28+34j),(236-11j),(355-209j),(392-422j),(25+2j),(113-106j),(89-148j),(26-155j),(20-51j),(-2011+0j),(-12800-32640j),(128+0j),(-14+71j),(98-20j),(-47+43j),(-305+288j),(-96+116j),(-42-114j),(-113-327j),(-353-480j),(-607-432j),(-858-202j),(-1063+160j),(-1146+345j),(-911+742j),(-890+915j),(-552+1054j),(-192+1009j),(116+796j),(282+654j),(364+413j),(283+112j),(127+42j),(-77-2j),(-252+113j),(-384+257j),(-411+517j),(-263+752j),(57+896j),(186+960j),(579+913j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494667.8431334,(-113-121j),(-801-131j),(-814-118j),(-672-93j),(-523-80j),(-303-9j),(-173-8j),(-2+20j),(169+53j),(327+108j),(541+127j),(645+223j),(707+141j),(794+194j),(891+251j),(797+303j),(903+324j),(761+317j),(777+265j),(597+209j),(526+174j),(303+102j),(161+69j),(-1+14j),(-151-35j),(-271-60j),(-423-104j),(26+14j),(-53-55j),(-84-125j),(-74-117j),(-10-46j),(-2011+0j),(-12800-32640j),(128+0j),(-15+86j),(44+25j),(-14+3j),(-405-96j),(-170-53j),(78-57j),(365-19j),(598-70j),(686+1j),(928-75j),(1050-162j),(1192-12j),(1168-183j),(1273+62j),(1188+51j),(1086-14j),(892+3j),(721+10j),(585+15j),(341-10j),(136+18j),(-84-14j),(-256-10j),(-439-45j),(-586-50j),(-678-6j),(-843+40j),(-904-123j),(-985-120j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494667.967158,(22-29j),(-92-344j),(-183-522j),(-250-630j),(-317-759j),(-330-634j),(-363-741j),(-312-766j),(-394-700j),(-316-683j),(-336-675j),(-211-547j),(-154-344j),(-71-225j),(19-93j),(91+63j),(193+231j),(252+356j),(398+510j),(430+569j),(576+676j),(542+703j),(545+665j),(563+661j),(570+714j),(534+542j),(494+493j),(-6-26j),(14+70j),(-5+59j),(-7+28j),(-12-8j),(-2011+0j),(-12544-32640j),(128+0j),(-65-55j),(-56+25j),(-12-2j),(343-1281j),(160-1379j),(133-1398j),(277-1368j),(99-1252j),(152-1094j),(54-841j),(-21-611j),(89-406j),(35-140j),(82+104j),(106+345j),(140+553j),(163+702j),(207+837j),(231+1029j),(328+990j),(299+969j),(383+937j),(324+841j),(265+826j),(242+681j),(225+474j),(198+323j),(82+174j),(26+1j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494668.0912297,(2+37j),(319+72j),(537-151j),(501-502j),(239-884j),(-220-778j),(-674-704j),(-946-279j),(-980+246j),(-769+601j),(-370+968j),(43+841j),(351+485j),(380+229j),(268+60j),(93+58j),(42+230j),(165+393j),(540+420j),(777+173j),(982-352j),(649-769j),(244-1044j),(-343-1086j),(-856-831j),(-993-148j),(-882+330j),(7-8j),(-75+71j),(-45+91j),(1+53j),(-13+5j),(-2011+0j),(-12544-32640j),(128+0j),(-62+54j),(45+22j),(11+19j),(-560+1252j),(320+1395j),(1007+1099j),(1344+642j),(1357-246j),(943-687j),(364-893j),(-150-715j),(-247-471j),(-197-168j),(1-154j),(128-306j),(18-559j),(-281-652j),(-681-550j),(-1096-233j),(-1042+412j),(-732+853j),(-146+1098j),(295+1050j),(694+715j),(821+241j),(642-202j),(340-383j),(132-276j),(25-112j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
