mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127,_128,_129,_130,_131,_132,_133,_134,_135,_136,_137,_138,_139,_140,_141,_142,_143,_144,_145,_146,_147,_148,_149,_150,_151,_152,_153,_154,_155,_156,_157,_158,_159,_160,_161,_162,_163,_164,_165,_166,_167,_168,_169,_170,_171,_172,_173,_174,_175,_176,_177,_178,_179,_180,_181,_182,_183,_184,_185,_186,_187,_188,_189,_190,_191,_192,_193,_194,_195,_196,_197,_198,_199,_200,_201,_202,_203,_204,_205,_206,_207,_208,_209,_210,_211,_212,_213,_214,_215,_216,_217,_218,_219,_220,_221,_222,_223,_224,_225,_226,_227,_228,_229,_230,_231,_232,_233,_234,_235,_236,_237,_238,_239,_240,_241,_242,_243,_244,_245,_246,_247,_248,_249,_250,_251,_252,_253,_254,_255
505bc2d2e71b,1682494996.7340286,(-145-126j),(-1003-62j),(-1034-62j),(-839-57j),(-716-73j),(-404-36j),(-264-64j),(-44-87j),(145-94j),(348-86j),(625-139j),(796-63j),(834-168j),(955-150j),(1113-160j),(1092-58j),(1210-89j),(1078-43j),(1091-138j),(871-120j),(769-148j),(471-99j),(302-59j),(98-29j),(-104+5j),(-267+67j),(-458+138j),(30-5j),(-93-22j),(-172-61j),(-162-51j),(-41-45j),(-2011+0j),(-12544-32640j),(128+0j),(-50+77j),(34+34j),(-24+13j),(-333-278j),(-85-184j),(194-139j),(502-28j),(773-43j),(884+17j),(1125+21j),(1269-68j),(1398+124j),(1400-67j),(1482+219j),(1365+194j),(1220+117j),(989+106j),(769+112j),(639+137j),(358+74j),(114+116j),(-148+88j),(-375+81j),(-579+67j),(-736+65j),(-870+123j),(-1022+185j),(-1116-5j),(-1225+9j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494996.860735,(-182+80j),(-241+1000j),(9+1045j),(233+823j),(396+615j),(342+245j),(274+80j),(84-47j),(-141-90j),(-375-40j),(-619+183j),(-715+356j),(-527+654j),(-427+873j),(-213+1100j),(12+1073j),(361+1160j),(536+921j),(825+684j),(796+321j),(773+43j),(470-134j),(246-200j),(9-174j),(-199-39j),(-262+205j),(-232+464j),(6-24j),(-41+97j),(-44+173j),(8+168j),(-15+58j),(-2011+0j),(-12544-32640j),(128+0j),(-11+92j),(60+6j),(-7+30j),(-318+325j),(-77+162j),(14-100j),(5-383j),(-231-615j),(-427-699j),(-811-677j),(-1136-406j),(-1337-300j),(-1329+206j),(-1441+339j),(-1208+652j),(-857+873j),(-503+881j),(-199+781j),(23+675j),(151+354j),(109+109j),(-26-127j),(-228-227j),(-472-253j),(-692-144j),(-836+125j),(-901+452j),(-947+565j),(-824+907j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494996.9833624,(24+17j),(265-89j),(420-240j),(458-384j),(488-570j),(329-593j),(303-760j),(192-814j),(15-843j),(-39-779j),(-202-800j),(-224-636j),(-284-398j),(-246-247j),(-176-103j),(-65-3j),(107+99j),(282+155j),(487+99j),(594+33j),(753-130j),(678-208j),(709-399j),(674-564j),(605-685j),(327-653j),(186-665j),(-6+10j),(32-67j),(21-67j),(-1-37j),(-1+10j),(-2011+0j),(-12288-32640j),(128+0j),(-67-3j),(-8+47j),(-11+0j),(-854-572j),(-1004-311j),(-1108-150j),(-1094-110j),(-998+165j),(-709+256j),(-584+299j),(-347+325j),(-225+205j),(-24+93j),(71-83j),(124-290j),(122-496j),(30-626j),(-79-734j),(-199-878j),(-404-779j),(-504-711j),(-654-586j),(-640-552j),(-662-396j),(-608-241j),(-474-77j),(-373+38j),(-202+26j),(-36+26j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494997.1074429,(-16+26j),(126+256j),(265+395j),(388+433j),(556+481j),(555+335j),(704+335j),(749+234j),(787+145j),(738+107j),(794-6j),(644-21j),(434-115j),(303-109j),(159-89j),(30-26j),(-116+81j),(-233+194j),(-295+380j),(-305+480j),(-277+679j),(-193+661j),(-111+755j),(-3+813j),(80+845j),(212+662j),(288+586j),(-6-9j),(9+75j),(21+59j),(15+29j),(1-4j),(-2011+0j),(-12288-32640j),(128+0j),(-67-22j),(-22+39j),(-3-7j),(-454-936j),(-699-827j),(-835-765j),(-813-758j),(-878-513j),(-722-315j),(-645-203j),(-491-35j),(-314-57j),(-104+13j),(83-31j),(284-89j),(450-204j),(516-311j),(558-448j),(657-607j),(499-717j),(429-759j),(285-820j),(218-713j),(153-736j),(55-635j),(-50-478j),(-107-336j),(-51-189j),(-25-29j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494997.2317138,(-202+71j),(-132+1061j),(341+1054j),(617+636j),(716+269j),(418-70j),(218-175j),(4-42j),(-74+171j),(26+396j),(393+572j),(679+507j),(905+42j),(967-347j),(828-822j),(466-1014j),(-34-1236j),(-462-987j),(-878-624j),(-845-130j),(-713+258j),(-336+344j),(-48+275j),(87+59j),(30-191j),(-194-262j),(-480-196j),(27+3j),(-102-5j),(-176+52j),(-124+117j),(-45+40j),(-2011+0j),(-12544-32640j),(128+0j),(71+68j),(37-43j),(19+14j),(211+399j),(116+145j),(-128+113j),(-360+287j),(-321+658j),(-72+947j),(392+1062j),(997+817j),(1332+582j),(1446-226j),(1453-600j),(994-1087j),(322-1290j),(-198-1070j),(-499-706j),(-616-398j),(-410-20j),(-160+43j),(87-66j),(132-331j),(-19-573j),(-342-682j),(-753-498j),(-1078-117j),(-1168+177j),(-1061+737j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494997.3570182,(-1-20j),(-200-150j),(-352-266j),(-451-328j),(-566-386j),(-542-343j),(-639-425j),(-676-443j),(-686-404j),(-604-410j),(-644-414j),(-487-390j),(-413-244j),(-301-186j),(-181-118j),(-31-50j),(98+27j),(224+144j),(391+172j),(454+223j),(621+272j),(580+265j),(669+300j),(715+313j),(748+338j),(620+202j),(611+179j),(-12-8j),(50+48j),(45+48j),(24+30j),-2j,(-2011+0j),(-12544-32640j),(128+0j),(-67+11j),(-12+36j),(4+12j),(-562-855j),(-706-805j),(-764-873j),(-649-945j),(-675-806j),(-504-597j),(-434-504j),(-362-354j),(-181-282j),(-79-122j),(94+5j),(228+153j),(382+285j),(479+372j),(583+442j),(673+546j),(721+478j),(694+475j),(751+472j),(622+452j),(621+482j),(539+401j),(403+260j),(344+199j),(178+156j),(38+51j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494997.480135,(30+7j),(333-173j),(563-240j),(722-301j),(848-408j),(798-392j),(952-444j),(896-474j),(949-515j),(876-439j),(891-483j),(779-336j),(578-304j),(434-204j),(281-110j),(95+35j),(-85+161j),(-271+229j),(-417+435j),(-512+480j),(-626+677j),(-675+590j),(-700+699j),(-726+754j),(-767+806j),(-513+711j),(-475+702j),(21-22j),(-81+43j),(-78+34j),(-49+13j),(1-13j),(-2011+0j),(-12544-32640j),(128+0j),(67-67j),(-18-50j),(-12-21j),(1314+449j),(1447+283j),(1491+327j),(1447+483j),(1331+302j),(1043+268j),(846+130j),(621+46j),(366+126j),(121+89j),(-179+102j),(-442+102j),(-698+107j),(-848+119j),(-1027+146j),(-1182+186j),(-1163+285j),(-1120+285j),(-1162+308j),(-1091+229j),(-1037+170j),(-875+155j),(-596+172j),(-504+136j),(-312-3j),(-79-62j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494997.6063383,(15-40j),(-115-362j),(-184-574j),(-261-703j),(-384-853j),(-385-745j),(-461-893j),(-509-902j),(-580-854j),(-569-812j),(-642-789j),(-495-683j),(-410-475j),(-303-358j),(-191-210j),(-31-52j),(147+73j),(284+193j),(527+282j),(617+327j),(859+345j),(865+331j),(912+312j),(967+277j),(1050+240j),(897+54j),(865-2j),(-31-5j),(81+47j),(80+44j),(52+24j),(-1+3j),(-2011+0j),(-12544-32640j),(128+0j),(3-83j),(-50-18j),(-9-8j),(1091-713j),(986-929j),(976-921j),(1053-828j),(818-868j),(648-682j),(454-633j),(271-488j),(219-254j),(69-55j),(-35+172j),(-126+396j),(-192+613j),(-213+754j),(-217+914j),(-221+1116j),(-85+1120j),(-56+1087j),(-8+1079j),(19+950j),(-49+947j),(-16+798j),(87+577j),(67+440j),(-25+259j),(-24+45j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494997.7345116,(201-10j),(772-688j),(839-630j),(699-487j),(584-399j),(328-207j),(206-128j),(31-4j),(-164+82j),(-387+128j),(-647+230j),(-818+171j),(-837+232j),(-968+179j),(-1134+147j),(-1069+41j),(-1220+18j),(-1047-104j),(-1068-43j),(-836-51j),(-748-44j),(-440-69j),(-289-45j),(-104+3j),(77+74j),(263+118j),(433+193j),(-22-16j),(46+78j),(66+162j),(52+154j),(-12+54j),(-2011+0j),(-12544-32640j),(128+0j),(-80+25j),(-2+51j),(-16-9j),(-90-359j),(-9-119j),(73+149j),(91+445j),(165+685j),(134+850j),(188+1054j),(286+1183j),(71+1374j),(150+1338j),(-139+1452j),(-182+1341j),(-197+1174j),(-189+961j),(-193+748j),(-163+599j),(-63+320j),(-37+86j),(62-146j),(138-338j),(295-510j),(408-662j),(430-778j),(527-908j),(768-840j),(852-939j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682494997.856488,(141+106j),(784-407j),(599-695j),(229-743j),(-73-596j),(-166-322j),(-142-187j),(-33-134j),(77-197j),(112-386j),(-71-622j),(-301-697j),(-625-485j),(-873-254j),(-1032+136j),(-791+459j),(-597+872j),(-241+889j),(237+881j),(440+539j),(550+262j),(395+52j),(247-39j),(121-7j),(84+116j),(216+198j),(408+184j),(-25-10j),(86+13j),(151-4j),(114-52j),(45-19j),(-2011+0j),(-13056-32640j),(128+0j),(43-54j),(-40-23j),(2-23j),(278-147j),(140-37j),(198+127j),(392+274j),(678+108j),(796-154j),(753-627j),(386-1022j),(89-1207j),(-505-1075j),(-834-917j),(-1061-458j),(-1079+4j),(-794+353j),(-482+486j),(-190+462j),(-24+292j),(-69+138j),(-196+92j),(-339+162j),(-416+373j),(-293+637j),(64+766j),(436+828j),(696+742j),(1028+345j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
