mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127,_128,_129,_130,_131,_132,_133,_134,_135,_136,_137,_138,_139,_140,_141,_142,_143,_144,_145,_146,_147,_148,_149,_150,_151,_152,_153,_154,_155,_156,_157,_158,_159,_160,_161,_162,_163,_164,_165,_166,_167,_168,_169,_170,_171,_172,_173,_174,_175,_176,_177,_178,_179,_180,_181,_182,_183,_184,_185,_186,_187,_188,_189,_190,_191,_192,_193,_194,_195,_196,_197,_198,_199,_200,_201,_202,_203,_204,_205,_206,_207,_208,_209,_210,_211,_212,_213,_214,_215,_216,_217,_218,_219,_220,_221,_222,_223,_224,_225,_226,_227,_228,_229,_230,_231,_232,_233,_234,_235,_236,_237,_238,_239,_240,_241,_242,_243,_244,_245,_246,_247,_248,_249,_250,_251,_252,_253,_254,_255
505bc2d2e71b,1682492419.3099387,(-101-67j),(-749+89j),(-1005+91j),(-1088+106j),(-1169+131j),(-975+180j),(-1096+190j),(-1012+184j),(-950+265j),(-844+178j),(-747+206j),(-500+111j),(-246+50j),(-26-57j),(210-185j),(404-283j),(632-487j),(776-543j),(874-840j),(856-879j),(882-1102j),(760-992j),(658-1015j),(557-986j),(506-931j),(245-689j),(140-524j),0j,(26-1j),(-36+27j),(-70+56j),(-39+15j),(-2011+0j),(-13312-32640j),(128+0j),(-81-32j),(-29+44j),(-9+5j),(96-1076j),(-66-1061j),(-47-1036j),(75-973j),(7-829j),(69-594j),(115-449j),(177-275j),(320-61j),(414+99j),(547+360j),(659+510j),(782+599j),(820+637j),(886+672j),(998+762j),(962+607j),(853+556j),(804+477j),(583+422j),(512+422j),(332+380j),(175+274j),(3+253j),(-251+185j),(-477+167j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492419.4346669,(-12+111j),(352+716j),(347+995j),(282+1078j),(240+1214j),(151+1022j),(61+1149j),(-29+1053j),(-30+1017j),(-122+870j),(-124+786j),(-164+501j),(-108+230j),(-80-21j),(-4-306j),(79-505j),(195-807j),(358-933j),(362-1207j),(432-1171j),(493-1387j),(489-1194j),(562-1141j),(551-1055j),(570-968j),(331-686j),(264-509j),(-1-3j),(24+4j),(-49+8j),(-82+18j),(-47-2j),(-2011+0j),(-13312-32640j),(128+0j),(58-66j),(-21-51j),(8-9j),(895+608j),(910+558j),(849+664j),(654+783j),(514+666j),(255+492j),(115+405j),(-57+285j),(-300+136j),(-449+10j),(-621-271j),(-733-454j),(-828-617j),(-826-724j),(-811-834j),(-800-958j),(-743-873j),(-585-840j),(-512-822j),(-324-740j),(-126-686j),(4-518j),(97-300j),(226-148j),(315+119j),(408+345j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492419.5567417,(-136+107j),(-223+813j),(-260+759j),(-226+539j),(-237+334j),(-198+93j),(-272-115j),(-362-341j),(-459-490j),(-525-703j),(-775-924j),(-757-1031j),(-860-869j),(-896-908j),(-996-908j),(-859-803j),(-918-751j),(-705-581j),(-635-399j),(-364-220j),(-126-138j),(138-51j),(421-21j),(706-25j),(995-44j),(1050-223j),(1216-356j),(-45-3j),(190+39j),(260+66j),(222+42j),(53+55j),(-2011+0j),(-13312-32640j),(128+0j),(-53+8j),(-7+32j),(-10-2j),(233-267j),(402-226j),(643-171j),(874-51j),(1021-142j),(1125-120j),(1173-207j),(1187-362j),(1280-238j),(1153-356j),(1189-197j),(1018-171j),(826-119j),(599-23j),(421+96j),(285+238j),(127+378j),(20+523j),(-82+696j),(-212+824j),(-285+960j),(-317+1035j),(-213+1075j),(-192+1163j),(-375+1137j),(-307+1175j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492419.6821942,(134+47j),(615-164j),(618-83j),(462+14j),(303+109j),(111+155j),(-51+233j),(-222+283j),(-393+340j),(-566+334j),(-793+412j),(-908+289j),(-876+337j),(-946+254j),(-1002+244j),(-848+109j),(-857+88j),(-678-21j),(-547+2j),(-306-34j),(-110-97j),(103-104j),(325-140j),(540-152j),(774-148j),(770-207j),(928-220j),(-45-4j),(140+62j),(178+111j),(135+103j),(11+52j),(-2011+0j),(-13056-32640j),(128+0j),(-5-40j),(-20-12j),-1j,(194+201j),(121+320j),(6+481j),(-196+607j),(-270+712j),(-357+680j),(-430+753j),(-423+802j),(-625+720j),(-571+702j),(-713+521j),(-648+407j),(-597+295j),(-479+125j),(-364-21j),(-244-177j),(-120-285j),(1-392j),(126-502j),(286-532j),(440-594j),(557-597j),(529-588j),(637-611j),(788-428j),(784-404j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492419.8075943,(13-90j),(-412-432j),(-693-378j),(-810-136j),(-904+158j),(-645+405j),(-530+643j),(-257+707j),(28+740j),(194+594j),(353+448j),(278+247j),(158+100j),(25+133j),(-62+279j),(-37+427j),(151+636j),(384+668j),(804+544j),(943+226j),(1085-208j),(804-528j),(556-747j),(225-837j),(-60-810j),(-273-482j),(-304-272j),(-6+15j),(-8-17j),(37-12j),(55-40j),(31-25j),(-2011+0j),(-13312-32640j),(128+0j),(-36+41j),(29+29j),13j,(-715+460j),(-426+711j),(-170+810j),(-10+773j),(254+613j),(259+420j),(263+299j),(229+229j),(161+317j),(210+350j),(293+492j),(481+497j),(696+359j),(810+117j),(843-180j),(824-477j),(511-700j),(245-740j),(-36-719j),(-154-606j),(-240-472j),(-253-319j),(-203-209j),(-165-207j),(-92-303j),(-157-410j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492419.9330618,(-21+120j),(322+725j),(332+958j),(292+1015j),(288+1160j),(227+958j),(183+1077j),(179+1057j),(131+966j),(29+855j),(4+780j),(-97+524j),(-130+273j),(-204+36j),(-290-221j),(-321-433j),(-436-731j),(-401-890j),(-606-1089j),(-583-1110j),(-721-1257j),(-533-1063j),(-567-1059j),(-531-993j),(-474-935j),(-367-632j),(-240-481j),(-3+4j),(30-18j),(34+58j),(38+81j),(2+53j),(-2011+0j),(-13312-32640j),(128+0j),(54+56j),(50-23j),(8+14j),(-675+885j),(-601+952j),(-660+900j),(-776+724j),(-661+639j),(-543+433j),(-522+265j),(-436+100j),(-409-193j),(-339-357j),(-229-640j),(-134-834j),(-86-985j),(-32-1037j),(20-1107j),(92-1233j),(33-1133j),(96-1029j),(111-947j),(294-788j),(322-645j),(332-463j),(313-267j),(354-91j),(387+188j),(431+402j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492420.058317,(-20+145j),(206+722j),(69+741j),(-103+566j),(-266+392j),(-307+177j),(-461-23j),(-558-215j),(-616-412j),(-595-677j),(-730-929j),(-580-1107j),(-583-1011j),(-464-1092j),(-398-1168j),(-189-1069j),(-123-1062j),(28-823j),(65-659j),(124-362j),(216-122j),(235+150j),(268+414j),(294+671j),(295+979j),(338+996j),(314+1160j),(-6-41j),(-77+176j),(-138+227j),(-136+170j),(-62+9j),(-2011+0j),(-13312-32640j),(128+0j),(50-15j),-26j,(6+0j),(-323+363j),(-474+298j),(-688+190j),(-877-51j),(-1006-99j),(-980-221j),(-1084-331j),(-1108-326j),(-1034-607j),(-948-510j),(-770-777j),(-561-728j),(-373-646j),(-134-541j),(93-448j),(346-376j),(496-247j),(653-107j),(796+29j),(815+178j),(939+429j),(917+542j),(910+558j),(911+661j),(692+874j),(626+913j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492420.1344564,(-83+137j),(618+443j),(743-139j),(387-482j),(14-516j),(-185-308j),(-322-243j),(-487-65j),(-513+348j),(-201+712j),(525+822j),(1010+262j),(760-683j),-1064j,(-881-730j),(-949+104j),(-529+846j),(185+751j),(615+275j),(400-136j),(208-221j),(146-138j),(172-362j),(-156-578j),(-741-404j),(-769+389j),(-222+1008j),(-17-40j),(135+88j),(224-59j),(84-172j),(17-69j),(-2011+0j),(-13312-32640j),(128+0j),(-47+29j),(27+11j),(19+4j),(-205+391j),(57+469j),(366+429j),(697+231j),(722-451j),(199-920j),(-588-798j),(-1039+26j),(-830+759j),(168+1013j),(784+720j),(942-99j),(479-660j),(-69-640j),(-355-396j),(-477-155j),(-491+131j),(-363+396j),(-14+675j),(493+580j),(890+114j),(716-608j),(-28-930j),(-814-618j),(-1028+27j),(-638+821j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492420.3122776,(-118-59j),(-754+230j),(-929+454j),(-808+637j),(-735+894j),(-384+797j),(-260+969j),(-29+944j),(169+844j),(224+680j),(304+556j),(177+375j),(79+251j),(-106+264j),(-262+377j),(-334+522j),(-347+806j),(-277+957j),(65+1169j),(312+1136j),(705+1141j),(758+820j),(906+606j),(960+345j),(901+127j),(604-87j),(421-103j),(-10-11j),(26+31j),(-14+83j),(-10+100j),(-15+47j),(-2011+0j),(-13312-32640j),(128+0j),(-44-45j),(-34+25j),(-23-11j),(-170-947j),(-476-810j),(-624-757j),(-623-645j),(-688-415j),(-527-218j),(-426-158j),(-323-147j),(-234-300j),(-287-399j),(-305-592j),(-470-665j),(-685-660j),(-829-537j),(-941-360j),(-1120-151j),(-973+153j),(-861+310j),(-696+429j),(-584+459j),(-474+381j),(-364+302j),(-295+204j),(-351+143j),(-467+28j),(-627+61j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492420.4398816,(-18-119j),(-719-348j),(-1018-186j),(-1061+134j),(-1048+521j),(-662+681j),(-495+924j),(-166+890j),(147+869j),(289+654j),(395+458j),(250+250j),(81+152j),(-84+208j),(-198+423j),(-156+626j),(59+941j),(310+1022j),(876+956j),(1104+619j),(1414+187j),(1209-247j),(1004-547j),(696-781j),(389-854j),(25-618j),(-67-414j),(-4-2j),(24-16j),(84+22j),(110+13j),(58+7j),(-2011+0j),(-13312-32640j),(128+0j),(41+59j),(27-38j),(12-5j),(458+864j),(768+580j),(899+366j),(880+194j),(773-109j),(470-189j),(351-193j),(260-132j),(333+28j),(458+21j),(652+46j),(809-136j),(869-426j),(729-686j),(511-915j),(234-1138j),(-191-1020j),(-447-842j),(-619-611j),(-566-424j),(-560-246j),(-430-118j),(-275-80j),(-241-157j),(-232-327j),(-380-445j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
