mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127,_128,_129,_130,_131,_132,_133,_134,_135,_136,_137,_138,_139,_140,_141,_142,_143,_144,_145,_146,_147,_148,_149,_150,_151,_152,_153,_154,_155,_156,_157,_158,_159,_160,_161,_162,_163,_164,_165,_166,_167,_168,_169,_170,_171,_172,_173,_174,_175,_176,_177,_178,_179,_180,_181,_182,_183,_184,_185,_186,_187,_188,_189,_190,_191,_192,_193,_194,_195,_196,_197,_198,_199,_200,_201,_202,_203,_204,_205,_206,_207,_208,_209,_210,_211,_212,_213,_214,_215,_216,_217,_218,_219,_220,_221,_222,_223,_224,_225,_226,_227,_228,_229,_230,_231,_232,_233,_234,_235,_236,_237,_238,_239,_240,_241,_242,_243,_244,_245,_246,_247,_248,_249,_250,_251,_252,_253,_254,_255
505bc2d2e71b,1682492636.1893976,(71-77j),(-185-438j),(-295-269j),(-211-87j),(-76-89j),(-37-165j),(-155-309j),(-400-297j),(-658-70j),(-745+309j),(-583+844j),(-138+1049j),(477+836j),(831+482j),(964-31j),(664-416j),(309-665j),(-38-481j),(-231-221j),(-65+19j),(196-42j),(271-279j),(110-586j),(-307-739j),(-838-594j),(-1015+79j),(-896+681j),(29-38j),(-56+146j),(30+207j),(98+127j),(26+44j),(-2011+0j),(-13056-32640j),(128+0j),(4+22j),(16-8j),(10+9j),(-255+61j),(-333+239j),(-309+488j),(-148+724j),(346+751j),(722+526j),(880+58j),(754-467j),(519-723j),(-9-755j),(-263-675j),(-429-377j),(-392-110j),(-248-14j),(-175-47j),(-210-108j),(-353-74j),(-461+95j),(-477+368j),(-321+605j),(-19+774j),(389+721j),(701+356j),(812-68j),(726-327j),(429-653j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492636.3135202,(76+46j),(626-153j),(818-177j),(897-210j),(952-253j),(802-228j),(861-245j),(753-289j),(685-282j),(546-241j),(411-269j),(208-215j),(-31-154j),(-239-122j),(-508-72j),(-615-34j),(-909+22j),(-979-8j),(-1177+184j),(-1110+198j),(-1206+302j),(-957+224j),(-943+272j),(-799+273j),(-702+275j),(-378+248j),(-176+199j),(-9+6j),(19+12j),(83+61j),(93+57j),(43+37j),(-2011+0j),(-13056-32640j),(128+0j),(5-62j),(-39-21j),-15j,(897-149j),(886-243j),(858-174j),(834-54j),(666-75j),(445-16j),(318+4j),(137+55j),(-52+153j),(-215+208j),(-445+237j),(-608+272j),(-738+307j),(-792+316j),(-854+331j),(-917+350j),(-833+394j),(-755+319j),(-706+297j),(-584+195j),(-500+117j),(-345+64j),(-157+39j),(3-20j),(183-55j),(377-125j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492636.4428632,(-121-45j),(-513+162j),(-460+137j),(-257+58j),(-76-17j),(97-54j),(302-121j),(465-117j),(629-259j),(790-255j),(1014-359j),(1081-284j),(967-381j),(979-342j),(985-359j),(818-237j),(782-249j),(539-168j),(346-158j),(86-100j),(-152-11j),(-340+28j),(-551+126j),(-765+211j),(-1003+266j),(-944+362j),(-1061+432j),(51-4j),(-160-25j),(-222-61j),(-173-58j),(-29-47j),(-2011+0j),(-13056-32640j),(128+0j),(-8+40j),(19+4j),(-2+9j),(112-185j),(268-276j),(440-337j),(694-355j),(784-475j),(783-506j),(878-517j),(842-598j),(947-469j),(797-521j),(837-315j),(673-242j),(503-188j),(309-76j),(139+45j),(-39+152j),(-196+255j),(-322+331j),(-470+423j),(-620+411j),(-731+448j),(-779+459j),(-729+472j),(-783+524j),(-845+347j),(-805+325j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492636.5344038,(-95+14j),(-270+288j),(-168+252j),(27+174j),(243+116j),(357+43j),(576+28j),(719-30j),(876-47j),(994-18j),(1223-94j),(1205+8j),(1059-91j),(1010-51j),(978-71j),(739-22j),(648-66j),(394-79j),(149-167j),(-94-213j),(-389-265j),(-488-287j),(-727-360j),(-932-412j),(-1131-505j),(-1092-332j),(-1174-369j),(35+19j),(-102-137j),(-113-181j),(-77-145j),(16-38j),(-2011+0j),(-12800-32640j),(128+0j),(32-14j),(-7-20j),(3+6j),(269-187j),(270-401j),(304-588j),(437-709j),(365-860j),(379-851j),(315-944j),(178-968j),(296-913j),(158-822j),(209-744j),(102-573j),(-2-413j),(-101-217j),(-193-48j),(-337+108j),(-389+272j),(-448+388j),(-535+521j),(-614+528j),(-713+570j),(-733+574j),(-614+611j),(-624+642j),(-677+482j),(-581+487j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492636.6922135,(104+90j),(764-329j),(741-750j),(369-994j),(-88-1115j),(-430-777j),(-740-578j),(-722-219j),(-688+156j),(-403+314j),(-116+332j),(83+117j),(69-173j),(-98-383j),(-446-481j),(-708-308j),(-1067+38j),(-1070+433j),(-800+1046j),(-286+1208j),(302+1316j),(627+789j),(883+528j),(896+90j),(706-241j),(259-329j),(4-214j),(5-17j),(-5+24j),(-9+110j),(47+125j),(18+55j),(-2011+0j),(-12800-32640j),(128+0j),(-47-65j),(-43+34j),(-1-2j),(-549-783j),(-824-363j),(-874-39j),(-726+195j),(-403+417j),(-97+335j),(69+128j),(25-106j),(-175-257j),(-468-179j),(-715-79j),(-813+284j),(-694+686j),(-360+918j),(46+989j),(476+947j),(749+516j),(774+160j),(671-158j),(456-298j),(211-320j),(2-180j),(-54+50j),(83+221j),(279+342j),(605+252j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492636.818379,(98-55j),(265-628j),(341-783j),(347-789j),(375-841j),(269-671j),(303-703j),(260-633j),(189-534j),(152-378j),(66-259j),(-52-73j),(-129+119j),(-247+287j),(-367+493j),(-463+572j),(-607+781j),(-672+807j),(-712+1012j),(-670+954j),(-672+1061j),(-551+893j),(-502+797j),(-417+691j),(-348+558j),(-161+329j),(-50+150j),(-7+10j),(29-20j),(117-30j),(117-40j),(58+1j),(-2011+0j),(-13056-32640j),(128+0j),(-54-17j),(-23+33j),5j,(57-759j),(-23-730j),(-34-691j),(48-594j),(-10-463j),(15-264j),(16-102j),(19+53j),(14+241j),(33+375j),(-37+551j),(-48+663j),(-49+761j),(-37+774j),(-59+778j),(-88+829j),(-22+717j),(-47+617j),(-10+534j),(-54+406j),(-47+290j),(-13+134j),(5-33j),(40-189j),(125-325j),(169-491j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492636.9445002,(-71+86j),(-18+744j),(-66+957j),(-91+982j),(-116+1021j),(-103+854j),(-165+887j),(-211+836j),(-131+696j),(-150+516j),(-100+367j),(-46+145j),(27-75j),(118-281j),(238-522j),(317-607j),(465-862j),(598-893j),(617-1120j),(623-1035j),(671-1173j),(563-974j),(596-894j),(528-791j),(483-680j),(269-429j),(154-261j),(2-5j),(-10+13j),(-96+8j),(-105+16j),(-51-9j),(-2011+0j),(-13056-32640j),(128+0j),(59-40j),(-10-45j),(11-8j),(573+631j),(602+556j),(554+560j),(412+566j),(344+420j),(164+246j),(46+114j),(-75-30j),(-195-186j),(-304-283j),(-350-512j),(-409-627j),(-446-734j),(-447-756j),(-421-778j),(-394-834j),(-383-715j),(-281-630j),(-258-567j),(-132-449j),(-44-349j),(12-189j),(45+1j),(97+157j),(54+351j),(82+551j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492637.070578,(44+113j),(648+403j),(801+507j),(807+499j),(868+511j),(698+373j),(738+406j),(675+318j),(600+290j),(455+268j),(351+226j),(121+162j),(-63+121j),(-272+80j),(-508+60j),(-642+39j),(-918+45j),(-1001+11j),(-1203+183j),(-1136+194j),(-1269+329j),(-979+339j),(-977+298j),(-877+310j),(-766+281j),(-452+239j),(-285+139j),(-5+12j),(2-20j),(86-12j),(103-19j),(57+2j),(-2011+0j),(-13056-32640j),(128+0j),(50+67j),(52-27j),(12+14j),(-444+812j),(-289+826j),(-243+745j),(-281+607j),(-162+464j),(-130+283j),(-102+84j),(-114-104j),(-145-335j),(-204-469j),(-179-676j),(-234-799j),(-306-870j),(-341-851j),(-354-844j),(-396-871j),(-409-709j),(-332-606j),(-279-494j),(-143-398j),(-48-314j),(53-181j),(149-63j),(290+24j),(400+188j),(550+271j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492637.1940873,(24-86j),(-212-320j),(-190-186j),(-46-65j),(142-42j),(254-86j),(399-221j),(445-459j),(385-645j),(296-800j),(62-1092j),(-136-1082j),(-466-855j),(-619-718j),(-779-515j),(-722-296j),(-700-59j),(-469+57j),(-248+148j),(-10+56j),(122-159j),(109-366j),(15-602j),(-217-788j),(-522-894j),(-792-618j),(-1038-409j),(26+8j),(-157-65j),(-205-43j),(-159+0j),(-42-19j),(-2011+0j),(-12800-32640j),(128+0j),(-20-29j),(-8+11j),(5-7j),(-182+209j),(-85+452j),(76+680j),(266+808j),(644+720j),(825+473j),(966+213j),(964-196j),(911-326j),(584-582j),(463-589j),(167-515j),(-45-333j),(-103-88j),(-20+122j),(135+277j),(367+286j),(568+193j),(744+32j),(794-45j),(830-363j),(714-578j),(436-755j),(201-852j),(124-788j),(-106-735j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1682492637.321804,(-123+42j),(-397+702j),(-560+844j),(-593+863j),(-617+938j),(-505+732j),(-551+774j),(-527+722j),(-417+640j),(-350+468j),(-243+370j),(-117+148j),(10-62j),(168-259j),(307-502j),(408-626j),(548-895j),(696-950j),(662-1221j),(618-1182j),(616-1352j),(362-1121j),(477-1048j),(393-949j),(317-824j),(125-500j),(34-263j),(-1-1j),(-17+18j),(-93+64j),(-115+87j),(-56+19j),(-2011+0j),(-13312-32640j),(128+0j),(28+73j),(60-6j),(3+15j),(-961+509j),(-869+582j),(-860+496j),(-840+323j),(-662+254j),(-460+117j),(-303+1j),(-156-147j),(26-340j),(143-515j),(385-651j),(503-762j),(586-860j),(602-848j),(616-867j),(686-931j),(541-842j),(504-709j),(434-615j),(395-456j),(349-271j),(245-113j),(120+51j),(35+228j),(-119+385j),(-220+575j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
