mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127
505bc2d2e71b,1683713250.4238846,(19-28j),(-44-99j),(-162-44j),(-207+55j),(-241+147j),(-215+194j),(-240+270j),(-194+322j),(-163+367j),(-159+363j),(-112+410j),(-76+340j),(32+245j),(58+175j),(80+101j),(37+18j),(45-83j),(57-187j),(-23-258j),(-52-317j),(-134-383j),(-140-337j),(-197-355j),(-249-348j),(-291-328j),(-275-203j),(-293-139j),(11+5j),(-26-21j),(-42+0j),(-43+6j),(-9-2j),(-2011+0j),(-13824-32640j),(128+0j),(-6-57j),(-43-3j),(1-10j),(292-381j),(89-429j),(-45-412j),(-124-412j),(-283-326j),(-338-217j),(-417-146j),(-454+2j),(-447+38j),(-371+196j),(-378+185j),(-280+271j),(-145+317j),(-25+312j),(88+303j),(175+308j),(289+201j),(333+119j),(391+49j),(406-6j),(415-56j),(381-115j),(320-179j),(229-251j),(199-210j),(133-211j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713250.5492108,(5+33j),(206+110j),(231+24j),(235-47j),(260-123j),(191-162j),(217-210j),(167-230j),(171-266j),(105-266j),(62-281j),(37-237j),(13-150j),(-20-112j),(-63-53j),(-130-15j),(-156+34j),(-132+99j),(-174+157j),(-138+178j),(-126+239j),(-75+209j),(-59+230j),(-22+226j),(11+220j),(78+165j),(110+120j),(-7-6j),(10+22j),(28+7j),(39+6j),(14+9j),(-2011+0j),(-13568-32640j),(128+0j),(51-44j),(-13-36j),(11-1j),(469+183j),(439-5j),(412-102j),(402-179j),(306-307j),(216-367j),(92-443j),(-30-486j),(-64-503j),(-159-438j),(-197-467j),(-274-398j),(-317-315j),(-352-219j),(-378-125j),(-440-33j),(-399+93j),(-360+164j),(-334+252j),(-287+256j),(-278+312j),(-197+340j),(-71+335j),(-31+310j),(-4+288j),(127+263j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713250.6751978,(-21-1j),(-150+198j),(-204+254j),(-230+312j),(-248+366j),(-226+313j),(-271+349j),(-260+322j),(-270+318j),(-242+230j),(-218+197j),(-184+121j),(-138+81j),(-70+25j),(12-58j),(93-138j),(176-184j),(230-177j),(303-246j),(311-210j),(368-224j),(303-119j),(311-130j),(281-113j),(250-79j),(116-43j),(49-14j),(6-4j),(-16-10j),(-30-31j),(-36-21j),(-9-12j),(-2011+0j),(-13568-32640j),(128+0j),(74+25j),(30-39j),(15+0j),(128+702j),(243+615j),(270+593j),(243+558j),(326+415j),(309+256j),(311+129j),(314-3j),(283-72j),(281-192j),(286-275j),(269-366j),(266-451j),(219-481j),(192-538j),(157-598j),(80-591j),(62-539j),(38-557j),(52-464j),(53-464j),(16-388j),(-27-230j),(-62-198j),(-58-104j),(-87+43j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713250.8011806,(-3-17j),(-102-124j),(-189-172j),(-232-220j),(-265-269j),(-245-207j),(-269-280j),(-262-283j),(-223-276j),(-206-254j),(-191-253j),(-109-180j),(-9-120j),(46-48j),(97+29j),(87+107j),(143+194j),(180+274j),(198+324j),(199+349j),(229+385j),(186+323j),(178+323j),(186+292j),(160+264j),(164+161j),(138+83j),6j,(9+6j),(43-18j),(40-37j),(18-14j),(-2011+0j),(-13568-32640j),(128+0j),(-53+44j),(19+46j),(-20+9j),(-637-254j),(-648-103j),(-647-72j),(-614-83j),(-546+48j),(-440+104j),(-360+196j),(-257+272j),(-182+267j),(-67+258j),(-10+313j),(92+320j),(181+307j),(254+300j),(327+299j),(419+337j),(446+253j),(444+234j),(438+218j),(413+247j),(369+231j),(310+191j),(271+91j),(191+79j),(99+56j),(35-33j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713250.9251013,(23-64j),(-310-87j),(-344+112j),(-159+246j),(60+219j),(101+80j),(88-15j),(-7-41j),(-70+32j),(-75+141j),(76+248j),(238+175j),(294-58j),(228-229j),(34-353j),(-170-281j),(-331-117j),(-279+68j),(-108+247j),(83+173j),(157+32j),(71-79j),(-60-65j),(-128+28j),(-123+170j),(24+250j),(221+203j),(-19+2j),(43-4j),(52-51j),(7-63j),(1-19j),(-2011+0j),(-13312-32640j),(128+0j),(16+52j),(30-26j),(-3-6j),(529-17j),(313-455j),(-76-565j),(-432-420j),(-586+86j),(-333+414j),(126+539j),(489+249j),(529-91j),(294-450j),(-18-542j),(-373-364j),(-503-35j),(-333+301j),(-44+387j),(258+259j),(287-33j),(130-204j),(-62-211j),(-194-44j),(-180+132j),(-16+266j),(232+179j),(335-25j),(297-229j),(41-408j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713251.0043395,(-22-22j),(-169+131j),(-45+215j),(102+193j),(254+110j),(207-46j),(186-159j),(72-219j),(-70-243j),(-174-165j),(-253-28j),(-188+82j),(-63+81j),(7+80j),(55+17j),(96-63j),(11-152j),(-96-113j),(-188-60j),(-206+61j),(-140+204j),(-20+220j),(126+211j),(218+113j),(241-32j),(153-170j),(18-235j),(6+3j),(-14-26j),(-46-17j),(-52+22j),(-12+9j),(-2011+0j),(-13568-32640j),(128+0j),(30+70j),(44-10j),(15+8j),(340+529j),(560+156j),(532-177j),(365-404j),(-11-508j),(-295-365j),(-483-40j),(-393+282j),(-200+461j),(128+467j),(364+388j),(523+114j),(445-178j),(242-386j),(-28-443j),(-308-369j),(-434-71j),(-372+162j),(-218+334j),361j,(163+331j),(293+160j),(270-105j),(153-201j),(36-237j),(-174-183j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713251.1800468,(74-15j),(192-287j),(171-284j),(72-229j),(-25-173j),(-54-115j),(-132-63j),(-202+1j),(-233+55j),(-297+121j),(-354+198j),(-359+197j),(-287+209j),(-273+216j),(-261+230j),(-198+195j),(-160+195j),(-118+161j),(-11+137j),(64+90j),(134+45j),(172+3j),(170-32j),(209-58j),(265-84j),(262-144j),(248-168j),(-10+9j),(42-6j),(44-8j),(28-6j),(9-1j),(-2011+0j),(-13312-32640j),(128+0j),(-65-4j),(-18+39j),(-4+5j),(-517-330j),(-638-176j),(-720-119j),(-789-108j),(-802+57j),(-721+185j),(-677+311j),(-565+436j),(-554+428j),(-416+490j),(-419+465j),(-287+463j),(-187+486j),(-61+430j),(50+384j),(190+313j),(289+207j),(343+111j),(403+51j),(433-11j),(481-66j),(488-140j),(407-246j),(426-316j),(438-281j),(369-345j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713251.3030264,(-71-42j),(-363+61j),(-331+85j),(-206+88j),(-67+77j),(19+77j),(117+71j),(217+49j),(315+41j),(413+25j),(521+4j),(517+42j),(481-4j),(470+5j),(455+0j),(332+12j),(308-16j),(218-22j),(104-58j),(-8-81j),(-123-100j),(-187-101j),(-225-116j),(-282-141j),(-366-167j),(-390-92j),(-406-90j),(5+9j),(-35-28j),(-46-38j),(-35-31j),(-9-2j),(-2011+0j),(-13568-32640j),(128+0j),(47+27j),(32-22j),(2-2j),(231+455j),(385+382j),(487+358j),(565+373j),(655+226j),(601+87j),(659+9j),(662-127j),(668-104j),(606-216j),(585-161j),(507-207j),(429-267j),(300-263j),(187-263j),(68-234j),(-78-202j),(-175-150j),(-292-154j),(-370-114j),(-452-124j),(-515-73j),(-511+25j),(-573+67j),(-576-1j),(-566+50j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713251.4136357,(28-69j),(-207-317j),(-230-206j),(-165-81j),(-103-16j),(38-9j),(124-64j),(158-151j),(147-292j),(93-339j),(-28-466j),(-124-461j),(-277-353j),(-344-262j),(-386-159j),(-314-56j),(-278+36j),(-140+51j),(-63+61j),(29+5j),(56-115j),(41-170j),(-31-299j),(-139-342j),(-263-351j),(-304-178j),(-377-95j),(15+2j),(-48-11j),(-66+6j),(-46+16j),(-5+11j),(-2011+0j),(-13824-32640j),(128+0j),(-21-44j),(-18+10j),(6-4j),(-279-356j),(-451-102j),(-463+140j),(-415+330j),(-171+529j),(62+567j),(322+498j),(540+298j),(631+162j),(578-148j),(562-261j),(391-400j),(177-449j),(-8-383j),(-122-252j),(-205-134j),(-152+40j),(-44+129j),(129+169j),(258+139j),(384+38j),(419-111j),(351-289j),(255-449j),(181-492j),(22-541j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713251.5374317,(-18+31j),(127+223j),(267+277j),(355+226j),(430+143j),(397+28j),(413-61j),(346-113j),(282-193j),(207-150j),(154-140j),(93-51j),(55+46j),(81+126j),(149+207j),(197+172j),(325+209j),(361+198j),(440+66j),(404-16j),(407-126j),(262-165j),(224-186j),(120-179j),(40-140j),(-16-48j),(-34+55j),(15-8j),(-5+28j),(-25+70j),(-5+65j),(-14+28j),(-2011+0j),(-13824-32640j),(128+0j),(40+34j),(30-31j),(-6+3j),(317+526j),(515+321j),(582+113j),(603-13j),(463-245j),(283-380j),(112-395j),(-88-341j),(-194-232j),(-268-18j),(-292+65j),(-234+256j),(-80+412j),(76+423j),(241+428j),(391+388j),(501+211j),(505+87j),(504-87j),(421-155j),(334-219j),(205-239j),(85-200j),(-3-115j),(-23-6j),(-1+74j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
