mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127
505bc2d2e71b,1683709622.8083327,(44-51j),(-230-369j),(-489-403j),(-685-305j),(-873-210j),(-837-57j),(-1005+29j),(-1008+153j),(-995+303j),(-885+365j),(-832+554j),(-666+525j),(-344+537j),(-142+511j),(101+487j),(267+347j),(500+265j),(655+138j),(813-102j),(806-248j),(873-468j),(756-540j),(675-599j),(578-691j),(474-750j),(167-627j),(25-587j),(12+10j),(3-57j),(-30-79j),(-37-59j),(-19-16j),(-2011+0j),(-13824-32640j),(128+0j),(-29-5j),(-10+22j),(-2+13j),(-588-473j),(-757-419j),(-911-508j),(-929-614j),(-1015-461j),(-843-419j),(-868-240j),(-793-63j),(-673-85j),(-496+92j),(-364+116j),(-157+213j),(91+327j),(295+377j),(495+402j),(673+442j),(802+316j),(866+240j),(1015+175j),(963+185j),(990+99j),(903+2j),(702-189j),(614-285j),(453-269j),(240-365j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683709622.932889,(45+64j),(423-212j),(455-494j),(341-718j),(151-966j),(-78-860j),(-273-980j),(-473-898j),(-696-753j),(-767-593j),(-919-349j),(-794-139j),(-531+158j),(-334+295j),(-85+434j),(164+396j),(472+371j),(638+233j),(875-37j),(845-244j),(867-545j),(589-612j),(481-707j),(279-766j),(106-782j),(-134-558j),(-266-406j),(17+0j),(-36-31j),(-67+7j),(-58+31j),(-23+19j),(-2011+0j),(-13568-32640j),(128+0j),(10+43j),(32-1j),(9+11j),(-392+836j),(-200+1010j),(-121+1098j),(-113+1171j),(145+1128j),(290+956j),(434+814j),(541+561j),(474+426j),(427+124j),(309-8j),(104-221j),(-102-380j),(-337-420j),(-566-404j),(-872-362j),(-983-124j),(-1011+46j),(-1033+247j),(-972+309j),(-882+475j),(-671+579j),(-359+636j),(-152+608j),(8+473j),(229+308j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683709623.0598335,(-77+11j),(-103+492j),(-60+717j),(31+845j),(144+971j),(169+844j),(214+961j),(297+934j),(325+882j),(315+824j),(418+767j),(361+583j),(349+279j),(343+98j),(376-114j),(350-257j),(372-514j),(371-620j),(299-862j),(243-854j),(183-1013j),(151-828j),(93-828j),(32-773j),(4-729j),(-110-505j),(-168-391j),(6+0j),(-8-29j),(-62-23j),(-72-7j),(-43-10j),(-2011+0j),(-13568-32640j),(128+0j),(11-52j),(-29-25j),(-17-6j),(896-102j),(981-182j),(1048-104j),(1096+71j),(1049-2j),(922+9j),(815-31j),(660-102j),(526-38j),(330-139j),(180-149j),(-16-247j),(-197-373j),(-325-433j),(-481-531j),(-628-641j),(-742-592j),(-734-596j),(-775-610j),(-768-668j),(-656-577j),(-611-488j),(-549-276j),(-489-155j),(-377-54j),(-308+159j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683709623.1859872,(-88+161j),(210+859j),(283+867j),(335+687j),(355+505j),(359+246j),(406+105j),(411-94j),(406-302j),(438-486j),(432-745j),(463-822j),(251-874j),(236-934j),(185-1007j),(175-841j),(67-897j),(-10-728j),(-149-627j),(-223-422j),(-346-263j),(-346-61j),(-449+97j),(-493+259j),(-558+411j),(-427+519j),(-440+630j),(25-25j),(-94+37j),(-132+63j),(-113+65j),(-27-3j),(-2011+0j),(-14080-32640j),(128+0j),(42-66j),(-32-44j),(2-9j),(502+211j),(358+76j),(186+16j),(30-66j),(-149-182j),(-305-306j),(-417-422j),(-577-474j),(-624-664j),(-722-594j),(-670-829j),(-674-800j),(-701-741j),(-615-627j),(-547-523j),(-508-422j),(-428-202j),(-306-42j),(-259+156j),(-181+297j),(-129+458j),(-45+624j),(80+713j),(184+855j),(74+959j),(173+1054j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683709623.3126948,(-93-175j),(-932-96j),(-974+136j),(-728+368j),(-419+487j),(-84+435j),(186+387j),(426+191j),(597-108j),(627-374j),(602-792j),(473-963j),(62-1070j),(-188-1112j),(-521-1093j),(-603-776j),(-866-594j),(-808-299j),(-782+88j),(-492+329j),(-220+513j),(85+454j),(371+403j),(624+238j),(822+25j),(702-322j),(655-585j),(-25+19j),(92-64j),(130-127j),(67-128j),(21-23j),(-2011+0j),(-13824-32640j),(128+0j),(65+33j),(37-37j),(7+1j),(105+415j),(144+183j),(78-7j),(-34-212j),(-244-344j),(-427-395j),(-628-345j),(-845-197j),(-979-183j),(-1057+99j),(-1109+127j),(-1028+330j),(-910+544j),(-638+612j),(-397+620j),(-153+585j),(94+402j),(201+167j),(299-100j),(223-360j),(151-578j),(-32-762j),(-311-761j),(-640-823j),(-730-846j),(-973-634j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683709623.4383802,(-79+18j),(127+604j),(650+584j),(987+128j),(1060-543j),(476-895j),(-99-1145j),(-623-976j),(-1017-305j),(-927+240j),(-547+727j),(-19+684j),(358+246j),(320-166j),(-64-455j),(-452-305j),(-803+140j),(-657+644j),(-99+1144j),(539+975j),(1174+509j),(1031-66j),(742-706j),(183-937j),(-342-806j),(-569-240j),(-460+176j),(2-15j),(3+44j),(88+37j),(88-35j),(37-25j),(-2011+0j),(-13568-32640j),(128+0j),(-58+21j),(24+28j),(1-4j),(-636+807j),(-42+1089j),(482+1009j),(825+758j),(1020+130j),(799-406j),(426-585j),(-1-537j),(-155-324j),(-137-27j),(86+95j),(350+16j),(462-297j),(288-637j),(-106-837j),(-641-852j),(-1016-318j),(-1015+226j),(-721+745j),(-268+939j),(209+865j),(536+505j),(532+23j),(288-266j),(-27-244j),(-274+13j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683709623.5637448,(-108+170j),(237+901j),(299+913j),(290+708j),(286+510j),(270+212j),(303+16j),(283-208j),(268-455j),(273-646j),(254-969j),(327-1058j),(104-1094j),(99-1146j),(31-1239j),(69-1055j),(-32-1107j),(-88-898j),(-226-770j),(-287-513j),(-389-307j),(-376-61j),(-420+139j),(-466+338j),(-518+526j),(-385+630j),(-369+771j),(28-28j),(-87+67j),(-143+104j),(-120+82j),(-40-3j),(-2011+0j),(-13824-32640j),(128+0j),(33-66j),(-33-22j),(6-6j),(279+151j),(106+71j),(-88-9j),(-281-128j),(-457-205j),(-553-311j),(-676-406j),(-818-433j),(-813-638j),(-857-568j),(-762-819j),(-694-780j),(-662-686j),(-529-573j),(-427-451j),(-345-362j),(-225-153j),(-98+24j),(-12+233j),(39+382j),(110+578j),(189+734j),(263+827j),(375+965j),(222+1083j),(299+1168j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683709623.6925051,(-31-67j),(-572-99j),(-857-66j),(-978+22j),(-1107+148j),(-970+227j),(-1089+308j),(-976+434j),(-945+480j),(-775+490j),(-678+597j),(-438+498j),(-145+408j),(71+315j),(337+201j),(469+74j),(710-103j),(828-212j),(931-505j),(849-588j),(874-801j),(733-684j),(610-795j),(488-817j),(358-807j),(56-614j),(-77-515j),(13+13j),(-3-45j),(-60-52j),(-79-36j),(-32-14j),(-2011+0j),(-13568-32640j),(128+0j),(-46+52j),(14+37j),(3+8j),(-972-247j),(-1031-127j),(-1076-180j),(-1028-274j),(-944-173j),(-741-100j),(-581-36j),(-398+23j),(-207-9j),(-7+36j),(194+68j),(388+102j),(612+138j),(737+140j),(858+117j),(1028+125j),(1015-2j),(986-25j),(1018-72j),(952+9j),(852-18j),(706-78j),(436-166j),(299-177j),(87-152j),(-166-159j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683709623.8169346,(-182-8j),(-577+645j),(-489+718j),(-262+619j),(-38+475j),(105+247j),(245+61j),(287-177j),(301-444j),(257-652j),(122-980j),(41-1066j),(-242-1034j),(-389-1033j),(-585-1009j),(-588-755j),(-747-645j),(-654-424j),(-657-136j),(-471+96j),(-273+286j),(-30+337j),(198+400j),(443+393j),(676+362j),(747+106j),(861-49j),(-43-4j),(122+32j),(165+21j),(140+9j),(33+17j),(-2011+0j),(-13824-32640j),(128+0j),(-59-29j),(-24+39j),(-8+0j),(-24-282j),(-23-108j),(33+79j),(76+280j),(197+436j),(302+510j),(431+590j),(607+596j),(642+708j),(788+616j),(771+656j),(778+554j),(789+455j),(672+292j),(552+166j),(424+45j),(205-76j),(-1-97j),(-231-114j),(-411-83j),(-611-51j),(-767+36j),(-791+250j),(-911+434j),(-1004+415j),(-937+620j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683709623.9316034,(-134-121j),(-854+174j),(-743+419j),(-445+487j),(-168+453j),(109+263j),(268+75j),(298-190j),(226-504j),(88-703j),(-254-933j),(-461-943j),(-796-665j),(-964-456j),(-1083-191j),(-906+20j),(-865+318j),(-569+441j),(-274+547j),(34+428j),(289+239j),(317-62j),(363-306j),(244-549j),(58-760j),(-267-704j),(-515-663j),(23+28j),(-61-93j),(-109-101j),(-111-48j),(-22-15j),(-2011+0j),(-13824-32640j),(128+0j),(28+71j),(42-15j),(-2+11j),(-121+322j),(21+150j),(55-76j),(46-289j),(-123-474j),(-239-597j),(-493-605j),(-747-510j),(-892-507j),(-998-158j),(-1081-153j),(-1015+82j),(-869+343j),(-619+433j),(-392+460j),(-187+408j),(53+233j),(132+17j),(174-235j),(114-488j),(-31-635j),(-247-735j),(-523-675j),(-828-572j),(-933-569j),(-1095-315j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
