mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127
505bc2d2e71b,1683710618.4515738,(34+91j),(361+176j),(325+47j),(186-59j),(57-113j),(-87-162j),(-246-192j),(-354-186j),(-503-103j),(-566-88j),(-695+25j),(-694+18j),(-608+191j),(-564+229j),(-494+285j),(-357+215j),(-269+243j),(-89+189j),(29+104j),(148+16j),(259-141j),(274-198j),(347-360j),(361-488j),(377-599j),(214-565j),(156-617j),(-9+11j),(55-59j),(58-78j),(39-52j),(16+5j),(-2011+0j),(-13568-32640j),(128+0j),(31+52j),(37-8j),(-5-3j),(69+376j),(299+260j),(459+150j),(596+59j),(656-175j),(580-277j),(597-462j),(475-622j),(481-652j),(254-704j),(305-690j),(158-615j),(-8-527j),(-90-363j),(-147-204j),(-168-74j),(-137+124j),(-75+246j),(-8+404j),(67+457j),(135+563j),(222+592j),(332+512j),(468+488j),(421+498j),(466+426j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683710618.5662549,(-81+5j),(-281+378j),(-345+516j),(-349+542j),(-377+584j),(-263+486j),(-289+511j),(-254+435j),(-205+417j),(-196+339j),(-157+274j),(-99+136j),(-31-14j),(17-119j),(79-246j),(146-262j),(202-394j),(249-453j),(261-542j),(251-525j),(263-611j),(239-454j),(194-449j),(175-405j),(149-357j),(72-242j),(25-134j),(-3-9j),(1+15j),(-44+26j),(-56+47j),(-29+5j),(-2011+0j),(-13824-32640j),(128+0j),(28+82j),(60-10j),(-3+5j),(-677+572j),(-528+645j),(-449+601j),(-430+504j),(-224+445j),(-97+308j),(5+203j),(120+64j),(225-73j),(294-255j),(432-321j),(491-434j),(506-551j),(496-592j),(476-624j),(515-686j),(379-650j),(342-594j),(254-544j),(214-413j),(195-334j),(106-224j),(22-135j),(-45+17j),(-117+114j),(-198+232j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683710618.6939888,(126-9j),(35-543j),(-240-485j),(-314-194j),(-208+1j),(-67+16j),(-16-67j),(-104-188j),(-303-170j),(-478+5j),(-523+378j),(-312+604j),(111+628j),(431+479j),(645+171j),(528-140j),(342-398j),(97-394j),(-127-256j),(-127-63j),(-2-5j),(80-85j),(53-195j),(-97-295j),(-318-286j),(-448-5j),(-421+262j),(-4-13j),(-35+63j),(1+84j),(20+54j),(7+17j),(-2011+0j),(-13824-32640j),(128+0j),(6+51j),(22-16j),(6+6j),(285-54j),(71-363j),(-288-421j),(-634-221j),(-718+346j),(-341+680j),(208+895j),(764+540j),(947+120j),(769-472j),(471-744j),(-47-747j),(-392-507j),(-427-143j),(-286+76j),(-60+104j),(14-62j),(-99-179j),(-296-168j),(-475+6j),(-501+321j),(-291+626j),(212+673j),(601+513j),(760+234j),(741-276j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683710618.821252,(62+2j),(192-334j),(123-567j),(-76-627j),(-289-634j),(-402-431j),(-569-350j),(-573-139j),(-572+36j),(-443+91j),(-353+211j),(-194+175j),(-25+133j),(27+13j),(28-135j),(-47-194j),(-169-290j),(-260-333j),(-408-236j),(-450-143j),(-521+6j),(-400+89j),(-368+191j),(-280+245j),(-187+237j),(-105+127j),(-73+61j),(-2+11j),(-28-22j),(-26-40j),(-44-45j),(-16-22j),(-2011+0j),(-13568-32640j),(128+0j),(90-32j),(-23-68j),(16-1j),(1068-20j),(929-486j),(762-787j),(547-877j),(100-905j),(-128-666j),(-298-403j),(-345-88j),(-206+102j),(57+275j),(260+290j),(528+182j),(729-56j),(738-325j),(631-592j),(505-846j),(108-907j),(-126-862j),(-423-731j),(-533-517j),(-571-353j),(-513-122j),(-335+63j),(-148+170j),(25+102j),(160-18j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683710618.9308171,(-66-40j),(-448+143j),(-556+252j),(-580+305j),(-596+353j),(-466+341j),(-518+380j),(-424+338j),(-382+351j),(-334+271j),(-275+275j),(-172+203j),(2+156j),(104+80j),(226+32j),(266+3j),(410-53j),(482-53j),(550-140j),(538-130j),(585-190j),(499-110j),(461-152j),(415-146j),(347-114j),(217-64j),(120-30j),-7j,(-18+2j),(-31-23j),(-54-16j),(-29-14j),(-2011+0j),(-13824-32640j),(128+0j),(72+66j),(57-20j),(-1+1j),(-309+885j),(-113+883j),(-24+869j),(-35+814j),(135+670j),(161+491j),(259+335j),(334+146j),(375+49j),(437-166j),(516-215j),(548-347j),(563-507j),(516-558j),(499-613j),(515-683j),(386-671j),(332-601j),(231-641j),(161-517j),(159-490j),(57-399j),(-56-272j),(-171-176j),(-235-120j),(-338-6j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683710619.0437863,(63-30j),(61-444j),(-22-594j),(-125-620j),(-219-626j),(-282-489j),(-352-473j),(-353-355j),(-385-268j),(-279-196j),(-256-134j),(-136-76j),(-26+14j),(85+27j),(208+5j),(251-27j),(371-68j),(413-97j),(419-205j),(375-216j),(365-282j),(278-219j),(209-248j),(149-210j),(110-161j),(76-47j),(49+24j),(-1-9j),(3+33j),(-23+55j),(-17+59j),(-20+16j),(-2011+0j),(-13568-32640j),(128+0j),(91+37j),(35-51j),(3+2j),(337+918j),(576+756j),(658+596j),(639+521j),(634+243j),(482+65j),(331-91j),(132-216j),(-40-260j),(-281-264j),(-411-279j),(-593-218j),(-745-78j),(-777+50j),(-804+187j),(-825+303j),(-679+457j),(-546+457j),(-403+565j),(-287+507j),(-195+457j),(-64+368j),(35+202j),(138+76j),(163-62j),(146-223j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683710619.1547034,(-36-10j),(-232+54j),(-340+61j),(-370+38j),(-422-22j),(-345-8j),(-376-54j),(-332-77j),(-299-105j),(-233-176j),(-203-204j),(-83-212j),(12-173j),(87-168j),(178-163j),(201-112j),(282-98j),(321-42j),(318-45j),(288+0j),(301+8j),(220+7j),(182+6j),(125+14j),(53+4j),(-32+28j),(-107+7j),(11+13j),(-29-18j),(-41-50j),(-40-44j),(2-25j),(-2011+0j),(-13824-32640j),(128+0j),(29+60j),(40-7j),(4+0j),(-562+544j),(-484+587j),(-472+570j),(-524+465j),(-389+421j),(-315+297j),(-221+223j),(-115+146j),(-35+26j),(89-74j),(207-117j),(295-182j),(409-237j),(452-243j),(510-240j),(592-227j),(543-231j),(528-174j),(490-174j),(449-57j),(415-24j),(331+19j),(248+39j),(144+62j),(27+100j),(-52+109j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683710619.2677188,(73-3j),(233-267j),(341-155j),(352-66j),(363+20j),(332+100j),(335+188j),(295+274j),(297+292j),(208+353j),(182+401j),(78+367j),(35+243j),(-33+210j),(-122+149j),(-135+66j),(-207-24j),(-256-173j),(-286-215j),(-269-308j),(-318-416j),(-251-389j),(-283-479j),(-278-507j),(-247-538j),(-211-414j),(-201-393j),(5+8j),(4-45j),(-15-22j),(-27-9j),(-19+10j),(-2011+0j),(-14080-32640j),(128+0j),(-91+26j),(-7+40j),(-19-16j),(-366-249j),(-364-15j),(-329+143j),(-326+315j),(-248+486j),(-152+620j),(-118+745j),(20+821j),(-81+887j),(-16+846j),(-126+872j),(-113+777j),(-124+679j),(-133+528j),(-145+391j),(-131+282j),(-92+125j),(-107-7j),(-116-99j),(-80-197j),(-41-291j),(-1-356j),(-17-407j),(42-420j),(165-416j),(189-450j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683710619.375621,(-114+69j),(-239+607j),(-311+607j),(-275+461j),(-248+379j),(-189+185j),(-173+76j),(-129-54j),(-91-169j),(12-290j),(50-457j),(164-502j),(126-510j),(215-540j),(290-564j),(331-490j),(389-497j),(396-348j),(378-338j),(325-192j),(326-101j),(207+3j),(201+140j),(155+242j),(83+327j),(29+331j),(-21+387j),(8-18j),(-54+37j),(-67+35j),(-57+13j),(-18-12j),(-2011+0j),(-13824-32640j),(128+0j),(56-32j),(-6-40j),(7-5j),(354+67j),(306-124j),(271-262j),(261-389j),(180-556j),(142-637j),(57-763j),(-57-823j),(17-893j),(-81-862j),(41-917j),(10-844j),(23-755j),(8-615j),(7-484j),(-28-379j),(-40-192j),(-36-40j),(-27+107j),(-48+230j),(-92+377j),(-120+478j),(-94+567j),(-100+667j),(-253+690j),(-244+776j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683710619.487418,(-25+52j),(109+390j),(97+515j),(89+585j),(75+658j),(33+540j),(-17+609j),(-45+584j),(-88+532j),(-126+449j),(-154+411j),(-187+247j),(-189+96j),(-188-23j),(-149-160j),(-59-256j),(-13-395j),(47-433j),(84-521j),(130-492j),(160-553j),(161-414j),(198-374j),(206-299j),(217-231j),(150-155j),(114-46j),(-7-3j),18j,(-42+42j),(-53+31j),(-26-2j),(-2011+0j),(-13824-32640j),(128+0j),(46-71j),(-40-47j),(6-3j),(899+299j),(878+168j),(830+211j),(738+284j),(608+153j),(446+72j),(292-32j),(116-119j),(-17-194j),(-161-211j),(-253-393j),(-354-470j),(-436-533j),(-462-569j),(-484-618j),(-529-705j),(-526-630j),(-440-586j),(-397-568j),(-294-521j),(-190-499j),(-108-387j),(-85-224j),(3-134j),(70+8j),(90+166j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
