time,1,2,3,4,5,6,7,8,9,0,csi_channel_0,csi_channel_1,csi_channel_2,csi_channel_3,csi_channel_4,csi_channel_5,csi_channel_6,csi_channel_7,csi_channel_8,csi_channel_9,csi_channel_10,csi_channel_11,csi_channel_12,csi_channel_13,csi_channel_14,csi_channel_15,csi_channel_16,csi_channel_17,csi_channel_18,csi_channel_19,csi_channel_20,csi_channel_21,csi_channel_22,csi_channel_23,csi_channel_24,csi_channel_25,csi_channel_26,csi_channel_27,csi_channel_28,csi_channel_29,csi_channel_30,csi_channel_31,csi_channel_32,csi_channel_33,csi_channel_34,csi_channel_35,csi_channel_36,csi_channel_37,csi_channel_38,csi_channel_39,csi_channel_40,csi_channel_41,csi_channel_42,csi_channel_43,csi_channel_44,csi_channel_45,csi_channel_46,csi_channel_47,csi_channel_48,csi_channel_49,csi_channel_50,csi_channel_51,csi_channel_52,csi_channel_53,csi_channel_54,csi_channel_55,csi_channel_56,csi_channel_57,csi_channel_58,csi_channel_59,csi_channel_60,csi_channel_61,csi_channel_62,csi_channel_63,csi_channel_64,csi_channel_65,csi_channel_66,csi_channel_67,csi_channel_68,csi_channel_69,csi_channel_70,csi_channel_71,csi_channel_72,csi_channel_73,csi_channel_74,csi_channel_75,csi_channel_76,csi_channel_77,csi_channel_78,csi_channel_79,csi_channel_80,csi_channel_81,csi_channel_82,csi_channel_83,csi_channel_84,csi_channel_85,csi_channel_86,csi_channel_87,csi_channel_88,csi_channel_89,csi_channel_90,csi_channel_91,csi_channel_92,csi_channel_93,csi_channel_94,csi_channel_95,csi_channel_96,csi_channel_97,csi_channel_98,csi_channel_99,csi_channel_100,csi_channel_101,csi_channel_102,csi_channel_103,csi_channel_104,csi_channel_105,csi_channel_106,csi_channel_107,csi_channel_108,csi_channel_109,csi_channel_110,csi_channel_111,csi_channel_112,csi_channel_113,csi_channel_114,csi_channel_115,csi_channel_116,csi_channel_117,csi_channel_118,csi_channel_119,csi_channel_120,csi_channel_121,csi_channel_122,csi_channel_123,csi_channel_124,csi_channel_125,csi_channel_126,csi_channel_127,csi_channel_128,csi_channel_129,csi_channel_130,csi_channel_131,csi_channel_132,csi_channel_133,csi_channel_134,csi_channel_135,csi_channel_136,csi_channel_137,csi_channel_138,csi_channel_139,csi_channel_140,csi_channel_141,csi_channel_142,csi_channel_143,csi_channel_144,csi_channel_145,csi_channel_146,csi_channel_147,csi_channel_148,csi_channel_149,csi_channel_150,csi_channel_151,csi_channel_152,csi_channel_153,csi_channel_154,csi_channel_155,csi_channel_156,csi_channel_157,csi_channel_158,csi_channel_159,csi_channel_160,csi_channel_161,csi_channel_162,csi_channel_163,csi_channel_164,csi_channel_165,csi_channel_166,csi_channel_167,csi_channel_168,csi_channel_169,csi_channel_170,csi_channel_171,csi_channel_172,csi_channel_173,csi_channel_174,csi_channel_175,csi_channel_176,csi_channel_177,csi_channel_178,csi_channel_179,csi_channel_180,csi_channel_181,csi_channel_182,csi_channel_183,csi_channel_184,csi_channel_185,csi_channel_186,csi_channel_187,csi_channel_188,csi_channel_189,csi_channel_190,csi_channel_191,csi_channel_192,csi_channel_193,csi_channel_194,csi_channel_195,csi_channel_196,csi_channel_197,csi_channel_198,csi_channel_199,csi_channel_200,csi_channel_201,csi_channel_202,csi_channel_203,csi_channel_204,csi_channel_205,csi_channel_206,csi_channel_207,csi_channel_208,csi_channel_209,csi_channel_210,csi_channel_211,csi_channel_212,csi_channel_213,csi_channel_214,csi_channel_215,csi_channel_216,csi_channel_217,csi_channel_218,csi_channel_219,csi_channel_220,csi_channel_221,csi_channel_222,csi_channel_223,csi_channel_224,csi_channel_225,csi_channel_226,csi_channel_227,csi_channel_228,csi_channel_229,csi_channel_230,csi_channel_231,csi_channel_232,csi_channel_233,csi_channel_234,csi_channel_235,csi_channel_236,csi_channel_237,csi_channel_238,csi_channel_239,csi_channel_240,csi_channel_241,csi_channel_242,csi_channel_243,csi_channel_244,csi_channel_245,csi_channel_246,csi_channel_247,csi_channel_248,csi_channel_249,csi_channel_250,csi_channel_251,csi_channel_252,csi_channel_253,csi_channel_254,csi_channel_255
2023-04-26 14:56:10.000000,,,,,,,,,,,(125+13j),(609-415j),(768-465j),(792-466j),(808-452j),(657-371j),(685-354j),(655-230j),(498-270j),(344-167j),(192-131j),(-2-93j),(-202-47j),(-404-39j),(-671-44j),(-742-82j),(-1043-113j),(-1075-199j),(-1279-125j),(-1152-131j),(-1266-102j),(-932-201j),(-934-157j),(-792-130j),(-662-126j),(-344-36j),(-146+5j),(-11-6j),(23+27j),(42+108j),(53+120j),(4+63j),(-2011+0j),(-13056-32640j),(128+0j),(-71+5j),(-7+54j),-3j,(-311-774j),(-395-694j),(-363-663j),(-248-617j),(-262-439j),(-203-221j),(-143-55j),(-103+128j),(-96+294j),(-57+428j),(-140+603j),(-145+700j),(-140+796j),(-145+786j),(-145+800j),(-167+804j),(-88+711j),(-102+566j),(-54+519j),(-58+362j),(-17+251j),(54+113j),(132-61j),(217-182j),(365-247j),(471-380j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:56:10.100000,,,,,,,,,,,(79-64j),(-246-660j),(-680-602j),(-890-184j),(-943+313j),(-496+594j),(-184+811j),(191+682j),(492+409j),(491+111j),(344-145j),(63-143j),(-60+66j),(8+296j),(298+435j),(585+306j),(914-72j),(852-531j),(446-1087j),(-145-1128j),(-804-950j),(-902-310j),(-920+139j),(-636+528j),(-241+656j),(113+412j),(175+158j),(15+5j),(-10-7j),(-81-8j),(-95+42j),(-36+27j),(-2011+0j),(-13056-32640j),(128+0j),(69-42j),(-37-49j),(9-16j),(733-667j),(158-931j),(-299-851j),(-542-566j),(-622-97j),(-354+150j),(-110+206j),(70+25j),(17-202j),(-254-303j),(-526-253j),(-735+99j),(-650+536j),(-303+807j),(139+846j),(605+756j),(790+235j),(726-148j),(426-435j),(163-431j),(-52-336j),(-128-129j),(-8+34j),(191+17j),(339-115j),(321-425j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:56:10.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:56:10.300000,,,,,,,,,,,(-117-19j),(-133+431j),(182+337j),(203+53j),(-11-52j),(-138+82j),(-54+351j),(329+434j),(677+134j),(724-386j),(338-998j),(-330-1038j),(-910-418j),(-975+274j),(-542+857j),(84+814j),(589+511j),(514-14j),(208-263j),(-81-73j),(46+207j),(338+168j),(594-208j),(407-747j),(-234-1065j),(-919-530j),(-1172+257j),(44-28j),(-75+147j),(30+230j),(129+121j),(35+36j),(-2011+0j),(-13056-32640j),(128+0j),(-40+5j),(9+15j),(3+9j),(-56-11j),(-88-136j),(-298-135j),(-502+68j),(-365+501j),(29+636j),(530+549j),(801-7j),(693-456j),(109-761j),(-280-711j),(-567-280j),(-475+172j),(-142+297j),(67+161j),(49-36j),(-164-56j),(-265+155j),(-140+443j),(197+487j),(578+340j),(709-134j),(399-586j),(-122-769j),(-495-588j),(-733-105j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:56:10.400000,,,,,,,,,,,(85-18j),(154-370j),(42-343j),(-42-162j),(-47+43j),(10+185j),(151+338j),(320+380j),(569+370j),(721+313j),(1024+143j),(1052-9j),(904-343j),(801-503j),(663-683j),(436-640j),(228-682j),(36-495j),(-111-295j),(-114-25j),(22+221j),(207+342j),(462+399j),(763+350j),(1036+204j),(984-147j),(1033-423j),(-33+13j),(154-51j),(197-91j),(133-97j),(47-8j),(-2011+0j),(-13056-32640j),(128+0j),(-26-20j),(-14+20j),(4+4j),(-29+104j),(61+272j),(198+403j),(353+506j),(624+435j),(759+286j),(819+97j),(829-191j),(819-271j),(614-511j),(534-506j),(299-506j),(77-458j),(-51-274j),(-95-82j),(-72+107j),(53+248j),(206+321j),(389+352j),(505+345j),(676+265j),(754+104j),(713-124j),(715-337j),(668-361j),(519-471j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:56:10.500000,,,,,,,,,,,(-81+66j),(-84+432j),(-69+372j),(-3+199j),(66+31j),(108-107j),(220-259j),(232-438j),(356-549j),(473-656j),(585-860j),(678-826j),(552-814j),(592-793j),(586-806j),(544-649j),(488-631j),(354-429j),(191-354j),(5-167j),(-174+15j),(-286+165j),(-475+313j),(-641+460j),(-835+598j),(-753+690j),(-839+787j),(27-21j),(-167+23j),(-227+15j),(-185+3j),(-40-37j),(-2011+0j),(-13056-32640j),(128+0j),(29-23j),(-9-14j),(11-2j),(2-100j),(-97-217j),(-187-360j),(-210-513j),(-327-588j),(-325-631j),(-398-668j),(-465-642j),(-387-721j),(-415-617j),(-295-652j),(-254-522j),(-218-367j),(-164-215j),(-102-70j),(-90+75j),(-26+224j),(-7+344j),(24+483j),(-7+568j),(-42+672j),(-49+721j),(6+723j),(12+759j),(-130+725j),(-106+711j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:56:10.600000,,,,,,,,,,,(-91+89j),(-81+765j),(-148+954j),(-156+984j),(-139+1009j),(-122+824j),(-149+865j),(-132+737j),(-76+657j),(-79+476j),(-4+332j),(60+133j),(130-101j),(228-306j),(354-562j),(445-648j),(592-941j),(678-968j),(676-1218j),(646-1122j),(642-1278j),(589-948j),(542-959j),(450-833j),(396-707j),(169-415j),(64-226j),-4j,(-21+5j),(-114+21j),(-126+31j),(-55-7j),(-2011+0j),(-13056-32640j),(128+0j),(65-40j),(-8-43j),(6-20j),(546+622j),(593+523j),(543+514j),(423+497j),(372+355j),(189+178j),(91+21j),(-18-109j),(-121-263j),(-238-345j),(-257-545j),(-311-653j),(-366-732j),(-375-748j),(-374-759j),(-366-792j),(-356-667j),(-283-572j),(-276-501j),(-183-371j),(-126-287j),(-93-106j),(-39+67j),(-6+228j),(-44+392j),(-35+595j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:56:10.700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:56:10.800000,0.121363,,,,,,,,,,(-20-107j),(-400-145j),(-340+41j),(-108+166j),(155+157j),(292-17j),(434-243j),(365-518j),(153-781j),(-118-918j),(-587-991j),(-823-805j),(-998-339j),(-1032-8j),(-946+359j),(-602+497j),(-308+640j),(-27+468j),(202+216j),(173-117j),(-71-398j),(-337-372j),(-679-340j),(-964-80j),(-1144+313j),(-820+765j),(-548+1104j),(14-44j),(-69+158j),(-29+214j),(28+168j),(-8+46j),(-2011+0j),(-13056-32640j),(128+0j),(16-37j),(-15-5j),(7-8j),(-172-80j),(-310+127j),(-340+374j),(-297+612j),(12+809j),(277+775j),(616+626j),(842+292j),(893+103j),(761-274j),(635-408j),(347-513j),(63-476j),(-132-283j),(-202-42j),(-161+199j),(70+330j),(288+331j),(526+239j),(646+21j),(749-166j),(682-432j),(389-663j),(145-805j),(-1-779j),(-309-668j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 14:56:10.900000,0.120718,,,,,,,,,,(107+57j),(755-79j),(929-66j),(987-69j),(1015-49j),(850-61j),(883-20j),(782-12j),(690-35j),(534+7j),(393-17j),(169-39j),(-80-60j),(-297-108j),(-577-179j),(-676-233j),(-995-320j),(-1007-385j),(-1304-356j),(-1208-352j),(-1351-322j),(-1090-281j),(-1018-279j),(-886-223j),(-777-205j),(-483-83j),(-279-15j),(-7-7j),(11+21j),(41+95j),(51+109j),(7+58j),(-2011+0j),(-13056-32640j),(128+0j),(-40-57j),(-51+10j),(-10-2j),(562-660j),(465-690j),(425-607j),(462-477j),(295-364j),(175-198j),(83-86j),(-34+58j),(-167+201j),(-258+315j),(-450+382j),(-552+452j),(-621+516j),(-644+521j),(-685+514j),(-722+495j),(-627+483j),(-553+369j),(-470+345j),(-382+214j),(-285+128j),(-125+53j),(20-10j),(189-83j),(356-76j),(554-134j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
