time,1,2,3,4,5,6,7,8,9,0,csi_channel_0,csi_channel_1,csi_channel_2,csi_channel_3,csi_channel_4,csi_channel_5,csi_channel_6,csi_channel_7,csi_channel_8,csi_channel_9,csi_channel_10,csi_channel_11,csi_channel_12,csi_channel_13,csi_channel_14,csi_channel_15,csi_channel_16,csi_channel_17,csi_channel_18,csi_channel_19,csi_channel_20,csi_channel_21,csi_channel_22,csi_channel_23,csi_channel_24,csi_channel_25,csi_channel_26,csi_channel_27,csi_channel_28,csi_channel_29,csi_channel_30,csi_channel_31,csi_channel_32,csi_channel_33,csi_channel_34,csi_channel_35,csi_channel_36,csi_channel_37,csi_channel_38,csi_channel_39,csi_channel_40,csi_channel_41,csi_channel_42,csi_channel_43,csi_channel_44,csi_channel_45,csi_channel_46,csi_channel_47,csi_channel_48,csi_channel_49,csi_channel_50,csi_channel_51,csi_channel_52,csi_channel_53,csi_channel_54,csi_channel_55,csi_channel_56,csi_channel_57,csi_channel_58,csi_channel_59,csi_channel_60,csi_channel_61,csi_channel_62,csi_channel_63,csi_channel_64,csi_channel_65,csi_channel_66,csi_channel_67,csi_channel_68,csi_channel_69,csi_channel_70,csi_channel_71,csi_channel_72,csi_channel_73,csi_channel_74,csi_channel_75,csi_channel_76,csi_channel_77,csi_channel_78,csi_channel_79,csi_channel_80,csi_channel_81,csi_channel_82,csi_channel_83,csi_channel_84,csi_channel_85,csi_channel_86,csi_channel_87,csi_channel_88,csi_channel_89,csi_channel_90,csi_channel_91,csi_channel_92,csi_channel_93,csi_channel_94,csi_channel_95,csi_channel_96,csi_channel_97,csi_channel_98,csi_channel_99,csi_channel_100,csi_channel_101,csi_channel_102,csi_channel_103,csi_channel_104,csi_channel_105,csi_channel_106,csi_channel_107,csi_channel_108,csi_channel_109,csi_channel_110,csi_channel_111,csi_channel_112,csi_channel_113,csi_channel_114,csi_channel_115,csi_channel_116,csi_channel_117,csi_channel_118,csi_channel_119,csi_channel_120,csi_channel_121,csi_channel_122,csi_channel_123,csi_channel_124,csi_channel_125,csi_channel_126,csi_channel_127,csi_channel_128,csi_channel_129,csi_channel_130,csi_channel_131,csi_channel_132,csi_channel_133,csi_channel_134,csi_channel_135,csi_channel_136,csi_channel_137,csi_channel_138,csi_channel_139,csi_channel_140,csi_channel_141,csi_channel_142,csi_channel_143,csi_channel_144,csi_channel_145,csi_channel_146,csi_channel_147,csi_channel_148,csi_channel_149,csi_channel_150,csi_channel_151,csi_channel_152,csi_channel_153,csi_channel_154,csi_channel_155,csi_channel_156,csi_channel_157,csi_channel_158,csi_channel_159,csi_channel_160,csi_channel_161,csi_channel_162,csi_channel_163,csi_channel_164,csi_channel_165,csi_channel_166,csi_channel_167,csi_channel_168,csi_channel_169,csi_channel_170,csi_channel_171,csi_channel_172,csi_channel_173,csi_channel_174,csi_channel_175,csi_channel_176,csi_channel_177,csi_channel_178,csi_channel_179,csi_channel_180,csi_channel_181,csi_channel_182,csi_channel_183,csi_channel_184,csi_channel_185,csi_channel_186,csi_channel_187,csi_channel_188,csi_channel_189,csi_channel_190,csi_channel_191,csi_channel_192,csi_channel_193,csi_channel_194,csi_channel_195,csi_channel_196,csi_channel_197,csi_channel_198,csi_channel_199,csi_channel_200,csi_channel_201,csi_channel_202,csi_channel_203,csi_channel_204,csi_channel_205,csi_channel_206,csi_channel_207,csi_channel_208,csi_channel_209,csi_channel_210,csi_channel_211,csi_channel_212,csi_channel_213,csi_channel_214,csi_channel_215,csi_channel_216,csi_channel_217,csi_channel_218,csi_channel_219,csi_channel_220,csi_channel_221,csi_channel_222,csi_channel_223,csi_channel_224,csi_channel_225,csi_channel_226,csi_channel_227,csi_channel_228,csi_channel_229,csi_channel_230,csi_channel_231,csi_channel_232,csi_channel_233,csi_channel_234,csi_channel_235,csi_channel_236,csi_channel_237,csi_channel_238,csi_channel_239,csi_channel_240,csi_channel_241,csi_channel_242,csi_channel_243,csi_channel_244,csi_channel_245,csi_channel_246,csi_channel_247,csi_channel_248,csi_channel_249,csi_channel_250,csi_channel_251,csi_channel_252,csi_channel_253,csi_channel_254,csi_channel_255
2023-04-26 15:45:32.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:45:32.100000,,,,,,,,,,,(38+44j),(495+79j),(745+172j),(865+219j),(1021+246j),(896+229j),(1050+296j),(941+284j),(1040+290j),(916+317j),(938+310j),(719+326j),(547+215j),(352+178j),(152+131j),(-65+82j),(-294+37j),(-491-83j),(-728-47j),(-816-89j),(-1055-67j),(-944-134j),(-1080-125j),(-1127-111j),(-1174-116j),(-924+25j),(-868+43j),(16+3j),(-93-47j),(-80-35j),(-40-13j),(10-1j),(-2011+0j),(-12544-32640j),(128+0j),(81-61j),(-16-59j),(9-19j),(1135+688j),(1243+540j),(1288+614j),(1175+730j),(1095+542j),(848+395j),(622+285j),(410+156j),(147+141j),(-65+49j),(-338-62j),(-560-146j),(-779-227j),(-891-268j),(-1014-317j),(-1156-368j),(-1121-262j),(-1065-285j),(-1066-279j),(-882-287j),(-838-361j),(-683-305j),(-455-175j),(-317-162j),(-70-146j),(150-83j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:45:32.200000,,,,,,,,,,,(168-2j),(-13-808j),(-699-442j),(-573+279j),(-50+415j),(189+98j),(17-78j),(-141+126j),(136+362j),(558+110j),(534-635j),(-190-906j),(-927-258j),(-822+641j),(81+1153j),(856+556j),(1021-477j),(214-973j),(-729-567j),(-666+229j),(-94+590j),(240+227j),(154-103j),(-124-19j),(-8+280j),(388+83j),(390-427j),(7+31j),(-76-81j),(-184+2j),(-99+137j),(-12+49j),(-2011+0j),(-12800-32640j),(128+0j),(47+55j),(8-38j),(7-10j),(35-174j),(-148+132j),(203+371j),(671+47j),(409-783j),(-511-859j),(-1117+17j),(-510+1073j),(509+1153j),(1245+46j),(840-886j),(-283-1051j),(-945-257j),(-534+499j),(109+500j),(289+60j),(-26-117j),(-121+158j),(197+343j),(537+29j),(434-600j),(-334-803j),(-898-38j),(-597+850j),(217+1068j),(1043+351j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:45:32.300000,,,,,,,,,,,(149-69j),(267-753j),(136-781j),(9-581j),(-72-423j),(-97-156j),(-79+3j),(17+165j),(152+325j),(285+436j),(551+535j),(658+585j),(816+374j),(930+313j),(1062+194j),(996+111j),(1089-53j),(937-155j),(836-355j),(596-373j),(432-423j),(199-269j),(43-194j),(-82-24j),(-164+165j),(-125+324j),(-74+510j),(4-33j),(-32+95j),(-60+163j),(-21+162j),(-22+51j),(-2011+0j),(-12800-32640j),(128+0j),(21+62j),(36-13j),(-5+9j),(69+211j),(271-7j),(435-250j),(546-474j),(447-807j),(391-900j),(101-1100j),(-226-1155j),(-288-1227j),(-624-1031j),(-581-1057j),(-692-819j),(-734-517j),(-616-266j),(-454-68j),(-308+57j),(-45+140j),(177+128j),(416+91j),(551-2j),(734-118j),(801-283j),(736-499j),(700-715j),(740-724j),(623-868j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:45:32.400000,0.16504,,,,,,,,,,(-136-128j),(-922-73j),(-944-54j),(-777-53j),(-604-53j),(-346+4j),(-194+22j),(6+23j),(200+57j),(377+94j),(627+122j),(745+229j),(825+141j),(929+203j),(1072+252j),(930+312j),(1086+350j),(938+350j),(964+286j),(760+223j),(698+172j),(435+85j),(284+56j),(125-15j),(-55-81j),(-203-96j),(-387-157j),(28+19j),(-58-60j),(-83-136j),(-75-139j),(1-63j),(-2011+0j),(-12800-32640j),(128+0j),(6+79j),(54+9j),(-2+13j),(-256+192j),(25+154j),(293+101j),(576+95j),(815-39j),(922-75j),(1106-175j),(1189-352j),(1338-220j),(1266-416j),(1370-185j),(1245-208j),(1114-275j),(868-229j),(661-194j),(468-155j),(196-124j),(-27-51j),(-267-45j),(-436-1j),(-646-21j),(-794-10j),(-844+78j),(-1021+147j),(-1099-54j),(-1152-30j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:45:32.500000,0.17181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:45:32.600000,0.172454,,,,,,,,,,(-11-29j),(-409+58j),(-483+411j),(-208+762j),(309+937j),(703+544j),(1039+127j),(1083-452j),(563-926j),(15-1041j),(-596-916j),(-786-444j),(-652+72j),(-388+289j),(-101+289j),(39+66j),(-83-130j),(-326-128j),(-587+172j),(-486+544j),(-99+947j),(432+819j),(838+522j),(1043+5j),(957-572j),(323-872j),(-200-870j),(2+32j),(-68-65j),(-99-23j),(-56+13j),-1j,(-2011+0j),(-12544-32640j),(128+0j),(101-14j),(-11-58j),(-7-11j),(993-915j),(156-1417j),(-612-1272j),(-1105-858j),(-1238+37j),(-792+580j),(-240+784j),(242+533j),(298+183j),(90-110j),(-229-88j),(-422+224j),(-274+655j),(181+829j),(731+685j),(1195+201j),(1053-556j),(586-989j),(-74-1126j),(-621-775j),(-860-469j),(-815+64j),(-434+426j),(-97+439j),(56+236j),(40-1j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:45:32.700000,0.179868,,,,,,,,,,(-40+5j),(-226+287j),(-405+416j),(-513+476j),(-647+568j),(-570+499j),(-715+565j),(-764+503j),(-750+551j),(-767+448j),(-818+466j),(-732+281j),(-517+215j),(-406+113j),(-264+15j),(-87-49j),(89-153j),(278-214j),(450-322j),(564-326j),(739-460j),(709-326j),(810-407j),(886-411j),(965-378j),(771-379j),(741-348j),(-14-6j),(92+19j),(81+30j),(50+20j),(-4+13j),(-2011+0j),(-12800-32640j),(128+0j),(41+70j),(57-17j),(-3+10j),(-722+927j),(-608+1053j),(-608+1072j),(-730+960j),(-549+924j),(-404+701j),(-347+594j),(-185+426j),(-151+209j),(-6+3j),(118-198j),(240-376j),(350-541j),(430-632j),(499-737j),(641-856j),(565-869j),(579-817j),(551-805j),(611-662j),(571-595j),(487-473j),(355-349j),(279-234j),(185-51j),(65+73j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:45:32.800000,0.176484,,,,,,,,,,(-180+37j),(-633+693j),(-605+704j),(-482+576j),(-397+448j),(-206+243j),(-152+104j),(-67-76j),(2-254j),(106-423j),(146-671j),(261-783j),(149-874j),(198-961j),(223-1098j),(246-1011j),(222-1151j),(235-984j),(119-1007j),(79-780j),(24-691j),(34-422j),(42-233j),(57-40j),(85+168j),(131+302j),(200+480j),(-7-35j),(-16+107j),(-40+178j),(-34+160j),(-37+50j),(-2011+0j),(-12800-32640j),(128+0j),(-35+70j),(30+24j),(-14+12j),(-208-49j),(25-15j),(276+8j),(554+54j),(789-51j),(877-35j),(1063-175j),(1145-353j),(1286-275j),(1186-467j),(1292-292j),(1161-333j),(979-362j),(763-304j),(570-222j),(437-154j),(198-50j),(14+97j),(-164+219j),(-322+333j),(-467+469j),(-556+567j),(-535+685j),(-583+836j),(-751+787j),(-770+871j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:45:32.900000,0.176806,,,,,,,,,,(17-46j),(-371-228j),(-670+46j),(-636+525j),(-222+1003j),(368+827j),(908+572j),(1101-151j),(809-722j),(261-995j),(-418-994j),(-720-521j),(-638+27j),(-388+272j),(-90+265j),45j,(-167-87j),(-376+6j),(-479+435j),(-177+747j),(444+882j),(865+407j),(1008-126j),(770-737j),(224-1135j),(-495-802j),(-844-326j),(34+5j),(-92+40j),(-64+80j),(-2+53j),(-6+1j),(-2011+0j),(-12544-32640j),(128+0j),(-87+20j),(28+63j),(3+8j),(-683+1171j),(352+1354j),(1076+907j),(1364+230j),(1013-666j),(309-937j),(-295-700j),(-472-202j),(-256+36j),(35+21j),(134-260j),(-134-549j),(-624-482j),(-934-1j),(-862+641j),(-363+1228j),(527+1136j),(1039+591j),(1156-165j),(885-607j),(288-958j),(-270-768j),(-529-286j),(-437+53j),(-201+96j),(-30-19j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
