time,1,2,3,4,5,6,7,8,9,0,csi_channel_0,csi_channel_1,csi_channel_2,csi_channel_3,csi_channel_4,csi_channel_5,csi_channel_6,csi_channel_7,csi_channel_8,csi_channel_9,csi_channel_10,csi_channel_11,csi_channel_12,csi_channel_13,csi_channel_14,csi_channel_15,csi_channel_16,csi_channel_17,csi_channel_18,csi_channel_19,csi_channel_20,csi_channel_21,csi_channel_22,csi_channel_23,csi_channel_24,csi_channel_25,csi_channel_26,csi_channel_27,csi_channel_28,csi_channel_29,csi_channel_30,csi_channel_31,csi_channel_32,csi_channel_33,csi_channel_34,csi_channel_35,csi_channel_36,csi_channel_37,csi_channel_38,csi_channel_39,csi_channel_40,csi_channel_41,csi_channel_42,csi_channel_43,csi_channel_44,csi_channel_45,csi_channel_46,csi_channel_47,csi_channel_48,csi_channel_49,csi_channel_50,csi_channel_51,csi_channel_52,csi_channel_53,csi_channel_54,csi_channel_55,csi_channel_56,csi_channel_57,csi_channel_58,csi_channel_59,csi_channel_60,csi_channel_61,csi_channel_62,csi_channel_63,csi_channel_64,csi_channel_65,csi_channel_66,csi_channel_67,csi_channel_68,csi_channel_69,csi_channel_70,csi_channel_71,csi_channel_72,csi_channel_73,csi_channel_74,csi_channel_75,csi_channel_76,csi_channel_77,csi_channel_78,csi_channel_79,csi_channel_80,csi_channel_81,csi_channel_82,csi_channel_83,csi_channel_84,csi_channel_85,csi_channel_86,csi_channel_87,csi_channel_88,csi_channel_89,csi_channel_90,csi_channel_91,csi_channel_92,csi_channel_93,csi_channel_94,csi_channel_95,csi_channel_96,csi_channel_97,csi_channel_98,csi_channel_99,csi_channel_100,csi_channel_101,csi_channel_102,csi_channel_103,csi_channel_104,csi_channel_105,csi_channel_106,csi_channel_107,csi_channel_108,csi_channel_109,csi_channel_110,csi_channel_111,csi_channel_112,csi_channel_113,csi_channel_114,csi_channel_115,csi_channel_116,csi_channel_117,csi_channel_118,csi_channel_119,csi_channel_120,csi_channel_121,csi_channel_122,csi_channel_123,csi_channel_124,csi_channel_125,csi_channel_126,csi_channel_127,csi_channel_128,csi_channel_129,csi_channel_130,csi_channel_131,csi_channel_132,csi_channel_133,csi_channel_134,csi_channel_135,csi_channel_136,csi_channel_137,csi_channel_138,csi_channel_139,csi_channel_140,csi_channel_141,csi_channel_142,csi_channel_143,csi_channel_144,csi_channel_145,csi_channel_146,csi_channel_147,csi_channel_148,csi_channel_149,csi_channel_150,csi_channel_151,csi_channel_152,csi_channel_153,csi_channel_154,csi_channel_155,csi_channel_156,csi_channel_157,csi_channel_158,csi_channel_159,csi_channel_160,csi_channel_161,csi_channel_162,csi_channel_163,csi_channel_164,csi_channel_165,csi_channel_166,csi_channel_167,csi_channel_168,csi_channel_169,csi_channel_170,csi_channel_171,csi_channel_172,csi_channel_173,csi_channel_174,csi_channel_175,csi_channel_176,csi_channel_177,csi_channel_178,csi_channel_179,csi_channel_180,csi_channel_181,csi_channel_182,csi_channel_183,csi_channel_184,csi_channel_185,csi_channel_186,csi_channel_187,csi_channel_188,csi_channel_189,csi_channel_190,csi_channel_191,csi_channel_192,csi_channel_193,csi_channel_194,csi_channel_195,csi_channel_196,csi_channel_197,csi_channel_198,csi_channel_199,csi_channel_200,csi_channel_201,csi_channel_202,csi_channel_203,csi_channel_204,csi_channel_205,csi_channel_206,csi_channel_207,csi_channel_208,csi_channel_209,csi_channel_210,csi_channel_211,csi_channel_212,csi_channel_213,csi_channel_214,csi_channel_215,csi_channel_216,csi_channel_217,csi_channel_218,csi_channel_219,csi_channel_220,csi_channel_221,csi_channel_222,csi_channel_223,csi_channel_224,csi_channel_225,csi_channel_226,csi_channel_227,csi_channel_228,csi_channel_229,csi_channel_230,csi_channel_231,csi_channel_232,csi_channel_233,csi_channel_234,csi_channel_235,csi_channel_236,csi_channel_237,csi_channel_238,csi_channel_239,csi_channel_240,csi_channel_241,csi_channel_242,csi_channel_243,csi_channel_244,csi_channel_245,csi_channel_246,csi_channel_247,csi_channel_248,csi_channel_249,csi_channel_250,csi_channel_251,csi_channel_252,csi_channel_253,csi_channel_254,csi_channel_255
2023-04-26 15:24:44.000000,,,,,,,,,,,(6+78j),(208+216j),(101+130j),(-45-1j),(-187-134j),(-266-203j),(-396-351j),(-521-471j),(-620-513j),(-659-627j),(-839-728j),(-760-780j),(-728-624j),(-692-629j),(-658-618j),(-478-512j),(-442-461j),(-234-315j),(-129-164j),(55+1j),(261+138j),(332+252j),(545+382j),(712+498j),(889+641j),(939+492j),(1038+539j),(-39-32j),(88+145j),(86+201j),(69+156j),(-19+53j),(-2011+0j),(-13056-32640j),(128+0j),(10-10j),(1-7j),(16+5j),(-95-289j),(-220-402j),(-303-548j),(-308-712j),(-435-742j),(-460-693j),(-513-729j),(-601-629j),(-501-667j),(-510-515j),(-408-491j),(-309-336j),(-193-161j),(-72+1j),(72+148j),(189+293j),(336+361j),(437+427j),(567+497j),(578+583j),(620+642j),(626+629j),(643+505j),(664+493j),(514+553j),(478+453j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:24:44.100000,,,,,,,,,,,(38+75j),(336+32j),(212-64j),(29-9j),(-71+164j),(-23+284j),(128+467j),(357+483j),(672+378j),(857+171j),(1067-249j),(947-523j),(511-817j),(196-924j),(-157-902j),(-353-658j),(-514-408j),(-410-134j),(-216+38j),(28+17j),(191-216j),(167-424j),(-61-672j),(-434-790j),(-865-722j),(-1066-207j),(-1165+249j),(25-22j),(-164+66j),(-170+145j),(-90+155j),(-36+32j),(-2011+0j),(-13056-32640j),(128+0j),(-8-6j),(-7-2j),0j,(144+256j),(370+238j),(601+150j),(744-8j),(745-417j),(428-649j),(213-848j),(-223-832j),(-403-728j),(-619-362j),(-613-205j),(-458+49j),(-233+162j),(-25+80j),(42-101j),(-20-295j),(-240-382j),(-475-326j),(-687-149j),(-789+107j),(-776+383j),(-573+653j),(-205+785j),(136+816j),(272+703j),(475+490j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:24:44.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:24:44.300000,,,,,,,,,,,(39+78j),(307+156j),(212+89j),(58-12j),(-109-104j),(-209-164j),(-363-273j),(-480-306j),(-623-381j),(-703-471j),(-889-544j),(-841-603j),(-808-458j),(-780-468j),(-784-446j),(-596-366j),(-558-314j),(-353-193j),(-214-63j),66j,(234+163j),(381+218j),(578+331j),(769+406j),(976+500j),(1010+337j),(1137+346j),(-39-22j),(112+129j),(139+175j),(101+144j),(-9+50j),(-2011+0j),(-13056-32640j),(128+0j),(13-9j),(-6-7j),2j,(-125-189j),(-270-270j),(-382-388j),(-433-536j),(-557-543j),(-601-539j),(-648-530j),(-709-444j),(-647-519j),(-621-359j),(-529-405j),(-405-267j),(-285-134j),(-130-27j),(25+70j),(177+184j),(331+224j),(443+260j),(576+308j),(611+357j),(693+427j),(711+430j),(707+313j),(723+307j),(626+387j),(597+324j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:24:44.400000,,,,,,2.640645,,,,,(76-96j),(-17-743j),(8-907j),(12-892j),(20-903j),(3-713j),(23-728j),(-5-591j),(-9-502j),(-5-339j),(-45-183j),(-95+10j),(-116+200j),(-183+375j),(-267+592j),(-326+651j),(-432+884j),(-522+907j),(-502+1085j),(-492+1002j),(-478+1106j),(-379+929j),(-390+821j),(-328+718j),(-267+600j),(-109+339j),(-18+153j),(-10+17j),(31-17j),(111-35j),(127-37j),(54+1j),(-2011+0j),(-13056-32640j),(1152+0j),(-62+10j),(-2+48j),(-10-1j),(-323-633j),(-358-547j),(-340-527j),(-238-461j),(-198-299j),(-93-127j),(-20+37j),(72+193j),(134+369j),(234+468j),(225+674j),(282+772j),(331+827j),(333+821j),(342+799j),(350+816j),(361+655j),(275+545j),(270+439j),(160+330j),(117+184j),(63+31j),(4-153j),(-31-310j),(-7-471j),(-53-634j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:24:44.500000,,,,,,2.713656,,,,,(-78-29j),(-186+288j),(34+237j),(50+20j),(-140-23j),(-213+147j),(-112+417j),(249+489j),(685+215j),(766-295j),(406-942j),(-233-1008j),(-806-462j),(-898+163j),(-546+710j),(4+716j),(447+446j),(413+44j),(158-152j),(-45+10j),(134+243j),(398+115j),(599-268j),(326-808j),(-375-1025j),(-998-361j),(-1085+462j),(21-34j),(-47+160j),(75+205j),(154+94j),(51+15j),(-2011+0j),(-13056-32640j),(128+0j),(-17-15j),(-1+13j),(-4+2j),(210+26j),(248-245j),(36-516j),(-348-557j),(-767-140j),(-672+374j),(-192+805j),(475+661j),(772+277j),(621-368j),(280-600j),(-163-461j),(-299-127j),(-117+73j),(53-19j),(27-236j),(-270-260j),(-500+2j),(-454+436j),(-109+692j),(427+662j),(787+214j),(638-419j),(185-750j),(-230-686j),(-593-296j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:24:44.600000,,,,,,2.726066,,,,,(82-85j),(81-704j),(126-880j),(134-884j),(143-912j),(103-729j),(138-754j),(138-696j),(94-560j),(89-395j),(35-265j),(-39-70j),(-102+122j),(-186+288j),(-310+498j),(-388+562j),(-530+776j),(-632+792j),(-663+977j),(-645+909j),(-675+1016j),(-572+813j),(-564+771j),(-503+691j),(-451+574j),(-234+357j),(-120+202j),(-6+13j),(16-13j),(98-12j),(116-15j),(57+11j),(-2011+0j),(-13056-32640j),(128+0j),(-64+14j),(-13+44j),(-4-2j),(-316-686j),(-386-614j),(-353-601j),(-247-549j),(-243-399j),(-123-197j),(-68-48j),(16+117j),(80+274j),(167+413j),(151+612j),(192+732j),(249+814j),(258+815j),(263+823j),(268+861j),(294+730j),(223+616j),(228+521j),(155+411j),(86+273j),(47+115j),(24-69j),(-8-229j),(37-397j),(20-564j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:24:44.700000,,,,,,2.730418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:24:44.800000,,,,,,2.732029,,,,,(-38-85j),(-363+13j),(-210+166j),(-2+72j),(-30-115j),(-196-153j),(-439-36j),(-465+336j),(-228+686j),(217+820j),(855+621j),(1041+85j),(758-576j),(286-889j),(-285-867j),(-550-450j),(-634-13j),(-354+240j),(-48+229j),(49-12j),(-192-172j),(-386-2j),(-538+351j),(-268+817j),(328+1020j),(892+484j),(1111-168j),(-34+26j),(112-119j),(37-210j),(-69-161j),(-18-52j),(-2011+0j),(-13056-32640j),(128+0j),(-2+21j),(8-3j),(2+5j),(8-255j),(-291-276j),(-556-86j),(-665+269j),(-344+759j),(180+805j),(679+547j),(865-70j),(715-477j),(165-749j),(-198-659j),(-426-294j),(-356+40j),(-85+124j),(45-37j),(-42-256j),(-342-214j),(-535+31j),(-494+448j),(-225+765j),(282+786j),(719+493j),(800-123j),(585-603j),(241-740j),(-252-662j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26 15:24:44.900000,,,,,,2.730095,,,,,(79+100j),(736+151j),(869+261j),(851+326j),(835+382j),(654+334j),(642+397j),(487+323j),(433+323j),(255+252j),(149+149j),(11-11j),(-103-164j),(-171-347j),(-250-580j),(-191-684j),(-235-947j),(-118-1018j),(-164-1193j),(-79-1120j),(-71-1227j),(81-934j),(82-932j),(117-811j),(168-673j),(100-391j),(74-190j),(-4-18j),(-11+18j),(-93+42j),(-115+51j),(-62+3j),(-2011+0j),(-13056-32640j),(128+0j),(-72-11j),(-20+38j),(-7-7j),(107-746j),(37-699j),(76-653j),(153-531j),(81-375j),(48-178j),(-18+2j),(-77+181j),(-191+332j),(-246+460j),(-463+556j),(-557+622j),(-621+668j),(-635+632j),(-658+586j),(-709+557j),(-589+492j),(-508+365j),(-431+306j),(-328+189j),(-209+75j),(-47+19j),(119-49j),(295-77j),(464-1j),(632+11j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
