mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127
505bc2d2e71b,1683713835.0932171,(33-176j),(-700-240j),(-577+257j),(-87+360j),(213+22j),(70-301j),(-358-425j),(-775-73j),(-837+581j),(-374+1126j),(532+1393j),(1212+897j),(1367-164j),(980-918j),(178-1333j),(-501-924j),(-936-347j),(-624+238j),(-66+457j),(293+86j),(168-416j),(-270-453j),(-801-235j),(-973+451j),(-599+1185j),(390+1191j),(1138+756j),(-43-15j),(182-24j),(189-158j),(47-171j),(13-53j),(-2011+0j),(-13568-32640j),(128+0j),(-13+20j),(18-4j),(-8+4j),(78-154j),(-138-336j),(-476-278j),(-772-11j),(-683+602j),(-207+949j),(480+937j),(1015+396j),(1092-159j),(649-799j),(218-980j),(-347-740j),(-586-282j),(-398+98j),(-88+149j),(73-71j),(-124-295j),(-452-243j),(-760+118j),(-689+643j),(-222+1072j),(507+1073j),(1083+442j),(1220-341j),(910-857j),(129-1193j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713835.2066646,(33-168j),(-545-946j),(-656-1261j),(-672-1318j),(-730-1409j),(-574-1145j),(-573-1237j),(-464-1080j),(-461-982j),(-305-759j),(-278-584j),(-131-261j),(-30+49j),(26+350j),(66+718j),(32+909j),(59+1290j),(-56+1403j),(73+1671j),(21+1606j),(80+1767j),(-21+1290j),(-54+1357j),(-61+1225j),(-90+1078j),(27+680j),(59+435j),(-4+14j),(4-5j),(90-35j),(111-57j),(61-10j),(-2011+0j),(-13312-32640j),(128+0j),(-40+73j),(36+37j),(-6+9j),(-894-266j),(-900-181j),(-867-227j),(-771-321j),(-635-200j),(-431-141j),(-242-31j),(-29+59j),(194+144j),(397+197j),(573+389j),(755+512j),(880+620j),(934+676j),(968+739j),(1054+835j),(1008+709j),(874+663j),(807+606j),(597+470j),(454+484j),(289+304j),(102+59j),(-89-118j),(-221-371j),(-425-631j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713835.332195,(-139+96j),(-114+1113j),(18+1421j),(246+1471j),(492+1501j),(594+1141j),(759+1146j),(820+938j),(865+653j),(725+429j),(644+160j),(352-43j),(2-209j),(-304-311j),(-692-352j),(-878-304j),(-1329-180j),(-1426-65j),(-1649+316j),(-1530+494j),(-1537+843j),(-1268+710j),(-980+905j),(-735+917j),(-525+894j),(-135+630j),(56+425j),(-7-2j),(26+5j),(111-40j),(118-76j),(58-23j),(-2011+0j),(-13312-32640j),(128+0j),(-66-33j),(-33+42j),(-14-4j),(-112-988j),(-344-932j),(-431-853j),(-405-814j),(-471-565j),(-388-344j),(-255-149j),(-108+18j),(143+124j),(395+158j),(652+247j),(898+205j),(1113+85j),(1190-66j),(1254-213j),(1344-378j),(1134-593j),(965-641j),(754-757j),(580-699j),(418-574j),(167-415j),(-39-173j),(-159+89j),(-268+349j),(-275+705j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713835.461149,(13+171j),(567+467j),(552+296j),(315+51j),(39-106j),(-201-161j),(-517-183j),(-829-84j),(-1032+64j),(-1202+212j),(-1425+562j),(-1406+672j),(-1113+918j),(-996+1037j),(-798+1178j),(-527+1000j),(-285+1026j),(-83+735j),(174+476j),(249+104j),(232-283j),(116-520j),(-41-803j),(-276-1007j),(-546-1201j),(-817-947j),(-1061-901j),(37+29j),(-99-163j),(-156-200j),(-136-143j),(-8-49j),(-2011+0j),(-13568-32640j),(128+0j),(-34-13j),(-14+4j),(-10-6j),(90+60j),(175+173j),(287+283j),(408+433j),(603+432j),(736+386j),(839+321j),(943+133j),(976+154j),(937-75j),(901-47j),(744-134j),(581-192j),(353-147j),(159-58j),(-21+74j),(-119+286j),(-173+468j),(-193+688j),(-223+933j),(-134+1071j),(15+1170j),(306+1103j),(507+1149j),(474+1147j),(650+978j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713835.5803392,(-132+117j),(-45+1053j),(-17+1357j),(94+1419j),(234+1493j),(274+1205j),(381+1264j),(430+1044j),(488+957j),(433+735j),(439+518j),(324+213j),(170-116j),(48-383j),(-143-724j),(-228-873j),(-485-1198j),(-553-1304j),(-930-1428j),(-974-1279j),(-1250-1296j),(-989-915j),(-1061-893j),(-1002-729j),(-936-593j),(-683-220j),(-476-11j),(-6-9j),(-14+14j),(-12+114j),(20+133j),(-3+67j),(-2011+0j),(-13312-32640j),(128+0j),(15+83j),(48+2j),(4+13j),(-780+469j),(-664+602j),(-620+595j),(-604+523j),(-395+489j),(-212+332j),(-51+225j),(96+47j),(226-152j),(293-376j),(479-547j),(545-740j),(560-930j),(527-1003j),(491-1098j),(464-1234j),(280-1170j),(211-1055j),(90-995j),(64-835j),(40-636j),(-39-417j),(-101-128j),(-112+131j),(-165+386j),(-140+711j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713835.7038095,(-132+135j),(341+741j),(560+361j),(387-79j),(-23-252j),(-339-53j),(-513+366j),(-349+876j),(242+1103j),(814+1039j),(1536+572j),(1674-81j),(1220-945j),(664-1378j),(-96-1519j),(-597-1030j),(-1024-531j),(-755+24j),(-355+435j),(156+304j),(431-147j),(219-558j),(-226-869j),(-827-774j),(-1376-370j),(-1275+463j),(-990+1133j),(33-73j),(-69+190j),(24+288j),(93+170j),(13+64j),(-2011+0j),(-13312-32640j),(128+0j),(22+29j),(21-11j),(4+2j),(131-185j),(-120-377j),(-485-363j),(-810-197j),(-885+330j),(-719+747j),(-187+1091j),(479+1034j),(839+831j),(1035+182j),(1041-167j),(671-534j),(228-621j),(-94-397j),(-158-85j),(-22+192j),(368+192j),(573-87j),(654-550j),(400-925j),(-51-1215j),(-663-1105j),(-1121-548j),(-1369+90j),(-1245+514j),(-770+1084j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713835.8290236,(75-178j),(-313-1070j),(-353-1353j),(-345-1377j),(-349-1467j),(-272-1165j),(-244-1249j),(-212-1102j),(-237-965j),(-181-754j),(-259-572j),(-308-290j),(-364+39j),(-478+273j),(-673+545j),(-744+620j),(-1003+880j),(-1135+867j),(-1218+1101j),(-1181+991j),(-1226+1119j),(-965+811j),(-988+748j),(-839+688j),(-719+610j),(-362+463j),(-126+400j),(-20-17j),(9+45j),(73+130j),(80+142j),(18+58j),(-2011+0j),(-13568-32640j),(128+0j),(41+62j),(51-13j),(3+18j),(-747+532j),(-669+584j),(-653+529j),(-644+387j),(-451+350j),(-264+241j),(-99+201j),(138+135j),(333+119j),(553+39j),(769+162j),(944+195j),(1104+215j),(1132+258j),(1159+300j),(1258+377j),(1148+301j),(997+302j),(900+226j),(622+214j),(551+177j),(374+38j),(162-135j),(-17-338j),(-91-543j),(-253-798j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713835.95455,(5+164j),(677+149j),(556-273j),(85-397j),(-315-165j),(-312+235j),(-77+624j),(451+708j),(949+365j),(1169-200j),(1059-1040j),(461-1442j),(-476-1284j),(-1062-869j),(-1359-150j),(-1016+449j),(-507+918j),(104+782j),(557+332j),(431-228j),(-47-556j),(-537-315j),(-815+132j),(-698+751j),(-210+1253j),(610+1039j),(1189+579j),(-46-1j),(183-12j),(223-136j),(85-179j),(23-47j),(-2011+0j),(-13568-32640j),(128+0j),(-5+23j),(8+5j),(-3+3j),(123-150j),(-37-335j),(-308-396j),(-596-309j),(-780+144j),(-621+572j),(-246+861j),(342+859j),(662+673j),(862+122j),(795-205j),(454-506j),(57-523j),(-186-267j),(-172+22j),(45+231j),(384+95j),(490-212j),(386-637j),(-23-862j),(-467-921j),(-951-582j),(-1069+123j),(-913+748j),(-548+1014j),(142+1092j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713836.082236,(113+147j),(795+11j),(713-126j),(369-244j),(30-304j),(-248-180j),(-568-38j),(-756+164j),(-911+505j),(-1002+751j),(-1048+1236j),(-964+1323j),(-510+1431j),(-279+1506j),(3+1500j),(170+1262j),(425+1121j),(490+787j),(606+374j),(459-5j),(261-344j),(-63-479j),(-399-625j),(-714-751j),(-1076-737j),(-1222-375j),(-1395-143j),(50+9j),(-169-86j),(-260-73j),(-217-20j),(-52-32j),(-2011+0j),(-13568-32640j),(128+0j),(-39+25j),(25+14j),(18-34j),(-58+83j),(139+161j),(369+208j),(560+260j),(769+155j),(782+84j),(915-182j),(918-387j),(929-473j),(770-629j),(734-637j),(517-656j),(292-578j),(107-437j),(-34-217j),(-168-21j),(-132+252j),(-65+490j),(40+737j),(166+848j),(348+1009j),(583+1030j),(804+867j),(1050+755j),(1024+796j),(1141+489j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683713836.2105074,(117-110j),(-153-698j),(-356-535j),(-361-151j),(-234+174j),(36+334j),(352+437j),(709+371j),(973+56j),(1120-214j),(1265-770j),(1094-1024j),(544-1239j),(208-1342j),(-209-1321j),(-423-1050j),(-715-769j),(-673-348j),(-591+61j),(-260+305j),(147+390j),(431+249j),(735-10j),(903-397j),(916-806j),(479-1034j),(155-1247j),(8+38j),(35-191j),(-17-247j),(-59-181j),-50j,(-2011+0j),(-13568-32640j),(128+0j),(-9-46j),(-23+3j),(5-15j),(-118-17j),(-160+184j),(-112+428j),(-9+624j),(305+716j),(521+664j),(789+522j),(981+174j),(1031+47j),(911-356j),(843-440j),(554-571j),(246-587j),(-14-426j),(-145-201j),(-200+45j),(-61+312j),(171+458j),(459+516j),(724+475j),(971+314j),(1110+40j),(1038-392j),(927-753j),(820-837j),(480-1030j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
