mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127
505bc2d2e71b,1683711743.675864,(-22-50j),(-330-98j),(-485-24j),(-509+54j),(-567+112j),(-454+176j),(-468+215j),(-421+235j),(-327+247j),(-269+204j),(-183+187j),(-94+83j),(7-43j),(60-134j),(110-252j),(125-258j),(159-407j),(159-459j),(103-521j),(78-478j),(9-499j),(-2-378j),(-23-316j),(-26-227j),(10-139j),(46-32j),(113+63j),(-13-8j),(25+40j),(21+86j),(23+84j),(-10+33j),(-2011+0j),(-13312-32640j),(128+0j),(-29-70j),(-55+17j),(10-11j),(322-696j),(75-739j),(-80-733j),(-121-685j),(-296-521j),(-391-362j),(-389-182j),(-387+20j),(-347+134j),(-196+320j),(-189+416j),(-54+517j),(131+581j),(246+567j),(350+547j),(448+575j),(536+441j),(543+341j),(571+208j),(489+182j),(476+108j),(370+23j),(259-88j),(111-128j),(9-134j),(-120-162j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683711743.8044293,(-49-73j),(-382-115j),(-360-40j),(-256+17j),(-174+30j),(-18+42j),(79+17j),(189-36j),(262-98j),(276-128j),(339-229j),(353-258j),(278-336j),(259-325j),(238-318j),(193-226j),(176-200j),(126-88j),(133-37j),(119+71j),(174+165j),(160+182j),(229+324j),(287+371j),(358+398j),(331+258j),(356+243j),(-12-21j),(16+41j),(17+47j),(6+47j),(-14-1j),(-2011+0j),(-13312-32640j),(128+0j),(-31-54j),(-27+0j),(8-10j),(50-513j),(-174-460j),(-344-380j),(-445-311j),(-547-99j),(-495+65j),(-547+222j),(-447+414j),(-459+494j),(-248+586j),(-275+618j),(-137+634j),(14+582j),(120+468j),(163+378j),(235+294j),(233+129j),(184+13j),(120-150j),(34-226j),(-42-304j),(-135-353j),(-243-325j),(-373-305j),(-401-331j),(-455-273j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683711743.929204,(86+21j),(309-201j),(221-250j),(85-203j),(-12-125j),(-106-33j),(-169+63j),(-197+183j),(-184+302j),(-138+362j),(-76+493j),(-68+498j),(28+485j),(65+457j),(106+429j),(64+302j),(63+260j),(9+143j),(-59+90j),(-132+13j),(-254-12j),(-301-35j),(-405-64j),(-483-46j),(-552+3j),(-448+132j),(-451+152j),(16+7j),(-60-7j),(-57-22j),(-32-25j),(1-8j),(-2011+0j),(-13312-32640j),(128+0j),(57+27j),(20-24j),(3+0j),(293+468j),(484+302j),(596+131j),(645+31j),(614-241j),(471-367j),(339-488j),(148-606j),(90-647j),(-146-626j),(-167-621j),(-284-519j),(-398-374j),(-402-219j),(-373-85j),(-358+18j),(-225+156j),(-101+193j),(51+298j),(159+287j),(283+299j),(390+240j),(421+77j),(520-9j),(534-23j),(502-136j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683711744.0411909,(34-49j),(-124-324j),(-211-447j),(-293-432j),(-368-393j),(-339-334j),(-382-324j),(-372-268j),(-342-189j),(-248-133j),(-193-72j),(-89-12j),(-5+67j),(96+125j),(202+182j),(283+172j),(406+225j),(393+292j),(509+222j),(448+215j),(474+201j),(351+169j),(278+158j),(180+133j),(93+117j),(-47+78j),(-173+60j),(15+1j),(-42-17j),(-71-57j),(-70-59j),(-15-36j),(-2011+0j),(-13312-32640j),(128+0j),(-78-33j),(-32+44j),(-7-6j),(-216-670j),(-410-561j),(-512-501j),(-536-475j),(-625-271j),(-580-119j),(-505+37j),(-429+218j),(-391+256j),(-251+401j),(-216+453j),(-86+527j),(33+605j),(152+584j),(247+576j),(364+577j),(448+456j),(448+380j),(521+320j),(446+225j),(462+204j),(432+105j),(314-27j),(269-129j),(193-188j),(67-256j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683711744.1713266,(-64-7j),(-267+305j),(-333+384j),(-303+447j),(-283+506j),(-211+413j),(-217+456j),(-180+390j),(-131+377j),(-91+274j),(-33+207j),(26+97j),(67+17j),(144-69j),(229-167j),(254-263j),(360-353j),(399-305j),(410-429j),(384-375j),(394-393j),(324-238j),(283-200j),(222-131j),(165-55j),(29+43j),(-52+121j),(11-10j),(-39+7j),(-75+2j),(-83+0j),(-30-19j),(-2011+0j),(-13312-32640j),(128+0j),(74+10j),(23-45j),(10+4j),(231+660j),(376+539j),(441+491j),(466+476j),(541+295j),(484+146j),(493+9j),(467-163j),(453-214j),(384-343j),(378-393j),(332-483j),(293-561j),(199-586j),(124-624j),(47-684j),(-65-639j),(-93-566j),(-155-576j),(-155-526j),(-171-466j),(-197-371j),(-218-209j),(-273-127j),(-276-49j),(-275+119j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683711744.300486,(41+32j),(316-150j),(283-315j),(132-438j),(-47-513j),(-180-361j),(-312-316j),(-352-193j),(-359-40j),(-272+49j),(-178+113j),(-69+63j),(-70-24j),(-74-106j),(-126-191j),(-191-236j),(-352-235j),(-393-126j),(-489+13j),(-440+136j),(-364+276j),(-206+297j),(-123+258j),(-61+203j),(-44+148j),(-56+63j),(-138+36j),(16-2j),(-35+2j),(-85+0j),(-77+27j),(-33+5j),(-2011+0j),(-13312-32640j),(128+0j),(7+74j),(48-3j),(2+9j),(13+718j),(396+550j),(579+334j),(628+94j),(502-258j),(256-430j),(-63-447j),(-330-305j),(-449-107j),(-423+176j),(-366+399j),(-130+550j),(149+544j),(382+433j),(547+229j),(688-25j),(540-321j),(353-469j),(124-548j),(-70-480j),(-198-393j),(-296-221j),(-262+35j),(-158+126j),(-31+169j),(198+158j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683711744.4304466,(-43-27j),(-297+142j),(-281+350j),(-196+475j),(-76+531j),(66+466j),(161+478j),(214+375j),(284+296j),(268+229j),(255+147j),(141+86j),(13+63j),(-68+96j),(-167+151j),(-171+163j),(-229+296j),(-209+371j),(-143+454j),(-79+427j),480j,(49+357j),(85+317j),(83+260j),(24+201j),(-9+159j),(-78+148j),(13-4j),(-36+18j),(-79+10j),(-79+13j),(-31-1j),(-2011+0j),(-13312-32640j),(128+0j),(40+70j),(56-26j),(2+4j),(140+798j),(455+626j),(611+416j),(690+270j),(650-78j),(490-309j),(292-419j),(15-470j),(-153-428j),(-369-223j),(-506-137j),(-542+83j),(-477+380j),(-325+528j),(-169+636j),(20+745j),(274+649j),(405+518j),(536+352j),(521+181j),(506+85j),(422-64j),(255-200j),(82-212j),(-30-180j),(-192-127j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683711744.5560775,(38-43j),(-69-380j),(-150-455j),(-181-496j),(-216-550j),(-209-435j),(-203-486j),(-198-459j),(-154-389j),(-111-334j),(-73-267j),(-22-138j),(62-27j),(93+98j),(121+235j),(35+300j),(58+429j),(42+467j),(21+549j),(-11+506j),(-25+538j),(-85+373j),(-103+355j),(-122+247j),(-167+160j),(-139+46j),(-140-72j),(9+17j),(-1-50j),(38-80j),(59-70j),(36-8j),(-2011+0j),(-13312-32640j),(128+0j),(-37+70j),(39+37j),(-9+6j),(-779-40j),(-725+137j),(-675+210j),(-660+213j),(-512+325j),(-394+361j),(-261+433j),(-99+473j),(-32+495j),(132+426j),(167+526j),(289+514j),(392+461j),(458+431j),(514+396j),(611+431j),(620+310j),(579+266j),(582+208j),(529+179j),(473+180j),(397+102j),(297-30j),(204-80j),(145-128j),(86-265j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683711744.6827607,(6+70j),(316+134j),(327-24j),(196-126j),(81-147j),(-59-70j),(-104+39j),(-59+139j),(53+233j),(175+216j),(350+148j),(395+31j),(366-155j),(288-273j),(172-351j),(51-314j),(-56-282j),(-93-172j),(-87-100j),(-27-50j),(45-71j),(78-108j),(101-207j),(38-306j),(-85-365j),(-234-234j),(-309-155j),(8+9j),(-49-15j),(-53-12j),(-42+1j),(-2-2j),(-2011+0j),(-13056-32640j),(128+0j),(-47+5j),(7+22j),(-10+7j),(-402+206j),(-180+422j),(97+508j),(331+443j),(551+161j),(554-160j),(393-393j),(85-557j),(-117-567j),(-416-388j),(-516-247j),(-515+30j),(-387+271j),(-162+355j),(32+308j),(172+244j),(193+27j),(148-105j),(-5-238j),(-148-219j),(-307-131j),(-385+41j),(-293+246j),(-170+412j),(-51+458j),(158+429j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683711744.8072715,(-77+20j),(-70+351j),(89+339j),(185+200j),(190+66j),(125-68j),(24-143j),(-109-133j),(-239-65j),(-276+82j),(-285+252j),(-222+338j),(-63+394j),(78+395j),(216+348j),(241+209j),(291+118j),(218+8j),(137-48j),(33-22j),(-29+48j),(-30+117j),(-23+224j),(66+294j),(193+308j),(301+157j),(358+64j),(-15-6j),(51+11j),(58-1j),(39-11j),(9+3j),(-2011+0j),(-13056-32640j),(128+0j),(-50+10j),(7+31j),(2-7j),(-431+169j),(-233+400j),503j,(205+494j),(458+302j),(501+27j),(456-233j),(267-441j),(117-538j),(-171-507j),(-306-447j),(-442-258j),(-487-12j),(-376+167j),(-214+281j),(-64+306j),(126+213j),(180+65j),(211-114j),(143-229j),(7-314j),(-169-321j),(-311-174j),(-427-35j),(-443+63j),(-376+257j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
