mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116,_117,_118,_119,_120,_121,_122,_123,_124,_125,_126,_127
505bc2d2e71b,1683712249.2247467,(39+10j),(64-265j),(-65-466j),(-263-509j),(-486-433j),(-540-254j),(-676-101j),(-648+156j),(-547+300j),(-410+333j),(-270+407j),(-145+306j),(-10+163j),(-13+40j),(-95-93j),(-190-99j),(-369-118j),(-469-79j),(-574+145j),(-507+277j),(-453+485j),(-267+482j),(-134+521j),(26+485j),(130+397j),(147+187j),(96+55j),(6+5j),(-17-4j),(-45-37j),(-68-25j),(-27-16j),(-2011+0j),(-13568-32640j),(128+0j),(58-10j),(-17-57j),(5+7j),(801+21j),(735-385j),(576-692j),(405-827j),(-17-840j),(-211-650j),(-442-433j),(-503-101j),(-402+63j),(-171+270j),(5+286j),(270+219j),(486+5j),(523-243j),(449-504j),(313-730j),(-33-798j),(-263-732j),(-547-627j),(-566-454j),(-683-229j),(-620+13j),(-412+190j),(-229+283j),(-77+212j),(50+82j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712249.3397038,(-7-11j),(-163-40j),(-316-129j),(-394-201j),(-441-270j),(-396-273j),(-432-351j),(-388-398j),(-366-378j),(-255-392j),(-220-389j),(-85-296j),(-25-139j),(66-36j),(135+92j),(140+160j),(202+308j),(156+442j),(203+492j),(154+515j),(161+574j),(90+500j),(56+477j),(33+417j),(8+338j),(-4+187j),(21+85j),(-8+13j),(11-16j),(62-29j),(66-31j),(24-1j),(-2011+0j),(-13824-32640j),(128+0j),(9+56j),(28+9j),(-18-1j),(-464+480j),(-405+604j),(-424+670j),(-524+636j),(-436+664j),(-376+514j),(-332+514j),(-238+458j),(-210+341j),(-60+238j),(-10+162j),(133+84j),(279-20j),(395-62j),(498-87j),(631-81j),(656-110j),(673-69j),(706-85j),(653-32j),(662+73j),(572+83j),(453+58j),(350+62j),(208+106j),(96+95j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712249.4642704,(105-82j),(46-646j),(-61-619j),(-138-482j),(-178-359j),(-128-151j),(-79-27j),(39+58j),(176+114j),(275+150j),(447+115j),(546+101j),(583-98j),(598-172j),(594-276j),(474-272j),(429-356j),(281-278j),(175-282j),(50-162j),(18-19j),(23+97j),(72+263j),(144+367j),(251+450j),(313+338j),(421+325j),(-18-19j),(38+54j),(57+66j),(59+38j),(1+13j),(-2011+0j),(-13568-32640j),(128+0j),(-4+80j),(58+12j),(9+7j),(-247+589j),(47+567j),(216+405j),(358+264j),(440-17j),(434-246j),(352-484j),(139-681j),(40-816j),(-242-749j),(-322-841j),(-486-744j),(-616-567j),(-621-371j),(-603-209j),(-552-41j),(-382+106j),(-206+136j),(-1+134j),(150+76j),(272-23j),(384-141j),(372-286j),(353-485j),(395-562j),(303-704j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712249.5798895,(-64+124j),(176+609j),(221+579j),(224+437j),(211+326j),(107+148j),(48+37j),(-56-56j),(-181-124j),(-233-202j),(-397-250j),(-476-298j),(-529-190j),(-569-168j),(-610-141j),(-507-125j),(-530-86j),(-381-51j),(-313-12j),(-150+4j),(-21-26j),(82-66j),(219-153j),(318-235j),(400-308j),(325-311j),(344-395j),(-18+18j),(59-32j),(79-35j),(56-31j),(18+2j),(-2011+0j),(-13312-32640j),(128+0j),(-27+67j),(31+25j),(3+11j),(-454+341j),(-247+451j),(-74+445j),(52+456j),(294+371j),(461+271j),(599+131j),(669-85j),(769-135j),(709-346j),(799-372j),(700-465j),(582-537j),(433-531j),(311-490j),(194-493j),(50-358j),(-49-210j),(-113-30j),(-151+97j),(-161+264j),(-144+397j),(-75+500j),(25+627j),(-17+702j),(81+763j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712249.7116191,(19-20j),(-100-221j),(-193-335j),(-312-394j),(-433-436j),(-396-397j),(-474-461j),(-470-453j),(-499-427j),(-407-385j),(-400-336j),(-257-271j),(-157-177j),(-48-94j),(79+4j),(222+101j),(346+192j),(358+287j),(538+327j),(517+325j),(594+358j),(448+313j),(418+325j),(354+300j),(317+275j),(181+141j),(79+89j),(-4+1j),(-16-1j),(-24-44j),(-25-57j),(5-38j),(-2011+0j),(-13312-32640j),(128+0j),(-71-12j),(-5+51j),(-12-1j),(-482-617j),(-659-484j),(-751-472j),(-774-482j),(-820-299j),(-755-133j),(-672-22j),(-576+143j),(-499+159j),(-358+279j),(-255+321j),(-92+397j),(32+484j),(178+508j),(319+530j),(485+597j),(571+512j),(607+468j),(674+463j),(622+524j),(606+449j),(567+373j),(461+194j),(446+131j),(305+90j),(159-48j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712249.8358734,(-125-24j),(-554+396j),(-521+513j),(-367+462j),(-278+398j),(-90+253j),(-34+153j),(19+9j),(38-148j),(8-285j),(-82-465j),(-79-563j),(-196-580j),(-260-607j),(-332-620j),(-309-519j),(-368-495j),(-304-386j),(-283-297j),(-153-189j),(-47-136j),(78-95j),(211-54j),(331-77j),(463-134j),(407-246j),(447-297j),(-21-2j),(78-12j),(107-20j),(73-7j),(15+10j),(-2011+0j),(-13568-32640j),(128+0j),(-57-53j),(-47+26j),(8-12j),(-106-575j),(-305-409j),(-434-222j),(-470-68j),(-474+225j),(-353+399j),(-235+584j),(-20+721j),(45+816j),(318+827j),(333+891j),(459+794j),(609+669j),(603+487j),(573+350j),(569+262j),(421+65j),(258-4j),(101-127j),(-64-116j),(-234-129j),(-392-89j),(-479+44j),(-622+173j),(-699+175j),(-717+320j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712249.962165,(128+5j),(280-601j),(45-744j),(-213-576j),(-341-357j),(-288-98j),(-201+42j),(-25+44j),(103-35j),(151-241j),(28-477j),(-122-547j),(-361-444j),(-540-312j),(-674-80j),(-562+125j),(-482+344j),(-281+378j),(-79+349j),(8+189j),(-27+62j),(-107+0j),(-226+24j),(-319+138j),(-361+351j),(-150+521j),(51+599j),(-3-12j),(12+92j),(57+94j),(57+57j),(17+19j),(-2011+0j),(-13312-32640j),(128+0j),(-64+46j),(27+39j),(2+6j),(-486+484j),(-78+591j),(250+499j),(422+245j),(433-150j),(160-355j),(-181-480j),(-537-296j),(-730-94j),(-735+348j),(-650+640j),(-317+854j),(91+939j),(430+716j),(620+429j),(657+126j),(464-163j),(237-234j),(9-239j),(-111-66j),(-132+127j),(-5+316j),(271+322j),(512+243j),(661+118j),(713-241j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712250.0765202,(46+114j),(622-128j),(475-508j),(70-605j),(-236-409j),(-292-131j),(-227+30j),(-62+36j),(-33-61j),(-176-178j),(-417-66j),(-488+178j),(-250+437j),(40+565j),(407+492j),(513+145j),(529-195j),(280-326j),(8-340j),(-73-155j),(-10-93j),(67-135j),(9-241j),(-165-308j),(-424-256j),(-537+102j),(-421+437j),(15-20j),(-11+87j),(41+94j),(66+46j),(12+12j),(-2011+0j),(-13312-32640j),(128+0j),(-24-80j),(-48+26j),(-1-3j),(-577-329j),(-537+234j),(-166+517j),(223+440j),(427-13j),(155-371j),(-271-423j),(-611-40j),(-599+396j),(-160+756j),(308+817j),(753+438j),(876-140j),(539-586j),(45-721j),(-335-531j),(-455-116j),(-287+115j),(-64+194j),(48+46j),(-12-104j),(-214-139j),(-372+109j),(-316+381j),(-115+598j),(365+610j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712250.2018466,(113+63j),(669-153j),(800-147j),(739-110j),(666-98j),(502-74j),(442-31j),(315+12j),(195+20j),(15+86j),(-149+108j),(-285+71j),(-338+57j),(-430+18j),(-543-8j),(-508-56j),(-579-101j),(-503-178j),(-474-170j),(-334-199j),(-259-234j),(-96-228j),(-30-237j),(78-235j),(215-224j),(299-211j),(354-185j),(-14+1j),(60+17j),(68+40j),(40+42j),(1+11j),(-2011+0j),(-13312-32640j),(128+0j),(-96-52j),(-51+35j),(-17+1j),(3-857j),(-154-762j),(-217-708j),(-225-591j),(-356-385j),(-363-124j),(-448+40j),(-491+255j),(-575+348j),(-594+498j),(-724+540j),(-739+601j),(-757+671j),(-686+636j),(-650+604j),(-609+595j),(-456+547j),(-352+391j),(-225+366j),(-160+252j),(-11+156j),(129+75j),(255-65j),(417-113j),(557-97j),(653-191j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505bc2d2e71b,1683712250.3264782,(-15+28j),(81-78j),(-96-205j),(-315+26j),(-138+372j),(216+328j),(471+12j),(281-388j),(-184-463j),(-419-130j),(-359+271j),(-42+352j),(209+162j),(168-31j),(51-50j),(98+0j),(174-91j),(118-210j),(-199-298j),(-372-40j),(-279+323j),(35+335j),(290+184j),(311-98j),(109-267j),(-81-148j),(-105-55j),(2+9j),(-9-10j),(-31-5j),(-37+21j),(-14+14j),(-2011+0j),(-13056-32640j),(128+0j),(44+31j),(3-37j),(2+13j),(203-597j),(-525-417j),(-697+288j),(-202+790j),(624+489j),(593-255j),(62-645j),(-517-289j),(-487+221j),(61+457j),(371+157j),(212-280j),(-257-291j),(-356+178j),(39+476j),(526+201j),(426-416j),(-122-590j),(-634-239j),(-545+351j),(-39+671j),(494+358j),(423-210j),(18-452j),(-266-249j),(-211+90j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
